Game_Id,Game_Name,Game_price,Game_Modes,Game_PlayerModes,Game_Controllers,Game_Platforms,Category,Game_Genres,Game_Languages,Game_Version,Game_Developer,Game_Publisher,Game_Website,Game_ReleaseDate,Game_Policy,Game_Space
4220006248051477,Warhammer Age of Sigmar: Tempestfall,"¥2,490",Single User,"Sitting, Standing",Oculus Touch,Quest 2,Games,"Action, Adventure, Exploration",English,0.23(LIVE),Carbon Studio,Carbon Studio,https://tempestfall.com/,"May 20, 2022",Privacy Policy,7.8 GB
4988470131168299,Little Cities,"¥2,208",Single User,"Sitting, Standing, Roomscale",Oculus Touch,"Quest, Quest 2",Games,"Casual, Simulation","English, French (France), German, Japanese, Korean, Spanish (Spain)",1.0,Purple Yonder,nDreams,https://ndreams.com/games/little-cities,"May 13, 2022",Privacy Policy,593 MB
2821509184606966,AREA MAN LIVES,"¥2,208",Single User,"Sitting, Standing",Oculus Touch,"Quest, Quest 2",Games,"Narrative, Puzzle",English,1.0.32,Numinous Games,Cyan Ventures /  CityLights ,http://areamanlives.com/,"May 13, 2022",Privacy Policy,537 MB
3890197214406211,BlazeRush: Star Track,"¥1,490","Single User, Multiplayer","Sitting, Standing",Touch (as Gamepad),"Quest, Quest 2",Games,"Action, Arcade, Racing","English, Russian",1.0.262,Targem Games,Gaijin Distribution Kft,http://blazerush.com/,"May 13, 2022",Privacy Policy,1.0 GB
4046879905345967,Cities: VR,"¥2,990",Single User,"Sitting, Roomscale, Standing",Oculus Touch,Quest 2,Games,Simulation,"English, English (US), French (France), German, Japanese, Korean, Spanish (Argentina), Spanish (Chile), Spanish (Colombia), Spanish (Mexico), Spanish (Peru), Spanish (Puerto Rico), Spanish (Venezuela)",1.00.240,Fast Travel Games AB,Fast Travel Games,https://fasttravelgames.com/,"April 29, 2022",Privacy Policy,3.2 GB
5230505793640167,Cities: VR,"¥2,990",Single User,"Sitting, Roomscale, Standing",Oculus Touch,Quest 2,Games,Simulation,"English, English (US), French (France), German, Japanese, Korean, Spanish (Argentina), Spanish (Chile), Spanish (Colombia), Spanish (Mexico), Spanish (Peru), Spanish (Puerto Rico), Spanish (Venezuela)",1.00.240,Fast Travel Games AB,Fast Travel Games,https://fasttravelgames.com/,"April 29, 2022",Privacy Policy,3.2 GB
3106117596158066,Painting VR,"¥2,208",Single User,Roomscale,Oculus Touch,"Quest, Quest 2",Games,"Art/Creativity, Educational, Productivity",English,.651,Oisoi Studio,Oisoi Studio,https://paintingvr.xyz/,"April 15, 2022",Privacy Policy,393 MB
3815577785147028,Green Hell VR,"¥2,990",Single User,"Sitting, Standing, Roomscale",Oculus Touch,Quest 2,Games,"Adventure, Exploration, Simulation","English, Chinese (China), Chinese (Hong Kong), Czech, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Spanish (Spain)",1.0.136,Incuvo S.A.,Incuvo S.A.,https://greenhellvr.com/,"April 8, 2022",Privacy Policy,2.9 GB
5437449896288644,iB Cricket,"¥2,990","Single User, Multiplayer","Standing, Roomscale",Oculus Touch,Quest 2,Games,"Casual, Simulation, Sports",English,4.2.0,ProYuga Advanced Technologies Limited,ProYuga Advanced Technologies Limited,https://ib.cricket/,"April 8, 2022",Privacy Policy,5.0 GB
3158342884265828,Liminal ,Get,Single User,"Sitting, Standing, Roomscale",Oculus Touch,"Quest, Quest 2",Apps,"360 Experience (non-game), Casual, Relaxation/Meditation",English,2.8.45,Liminal VR,Liminal VR,https://api.liminalvr.com/,"April 8, 2022",Privacy Policy,776 MB
