Game_Id,Game_Name,Game_price,Game_description,Game_Modes,Game_PlayerModes,Game_Controllers,Game_Platforms,Category,Game_Genres,Game_Languages,Game_Version,Game_Developer,Game_Publisher,Game_Website,Game_ReleaseDate,Game_Policy,Game_Space
4988470131168299,Warhammer Age of Sigmar: Tempestfall,"¥2,490","Embark on an epic voyage across the realm of Death in this action-adventure Warhammer Age of Sigmar game. Master immersive motion-based melee and magic possible only in VR! Walk the dreadful lands of Shyish and fight your way through Nighthaunt forces with the iconic weapons of a Lord-Arcanum and powerful spells at your disposal.


THREE GAME MODES
Put your skills to the ultimate test in three game modes: Story, Hardcore, and the Storm Trials mode


TRAVERSE THE REALM OF DEATH  
Experience an amazing adventure full of fast-paced action and breathtaking views, discover the secrets of the undead, and deliver justice in the name of Sigmar!


SEARCH FOR COLLECTIBLES
Collect volumes full of knowledge about the Warhammer universe and other loot such as Sigmarite Ore and Ancient Scrolls


ENHANCE YOUR WEAPONS
Upgrade your weapons using the hammer and anvil to unlock numerous abilities   
",Single User,"Sitting, Standing",Oculus Touch,Quest 2,Games,"Action, Adventure, Exploration",English,0.23(LIVE),Carbon Studio,Carbon Studio,https://tempestfall.com/,"May 20, 2022",Privacy Policy,7.8 GB
2821509184606966,Little Cities,"¥2,208","The cozy city creator

Put on your headset and escape to the charming world of Little Cities, the cozy VR city building simulation game.

Create your own little city and lean in to watch it come to life. See residents move in and populate your island as it grows from a humble village to a bustling metropolis. Design the layout, strategically plot amenities, and make a perfect city where your citizens love to live. Easy to pick up and play but with lots to discover, Little Cities makes your biggest creations possible!

● A relaxing VR game with exquisitely composed music, charming island setting & accessible gameplay.
● Draw out roads, plot out houses and watch your residents move in. Keep your city happy and you’ll see your creation thrive!
● Comfortably move around and lean into your diorama cities, whether roomscale, standing or seated. View the world you created up close and watch your city come to life.
● Intuitive Quest Touch controls make city creation simple, unfussy, and fun.",Single User,"Sitting, Standing, Roomscale",Oculus Touch,"Quest, Quest 2",Games,"Casual, Simulation","English, French (France), German, Japanese, Korean, Spanish (Spain)",1.0,Purple Yonder,nDreams,https://ndreams.com/games/little-cities,"May 13, 2022",Privacy Policy,593 MB
3890197214406211,AREA MAN LIVES,"¥2,208","AREA MAN LIVES. Or does he? If you could join a radio drama already in progress, talk to the characters and interact with the environments the story painted in your mind, you might find yourself in the world of the area man.

A quirky radio drama unfolds around you in VR while you do your best to keep the radio station humming along as its new DJ. You record commercials, interview callers and try your best to piece together how your actions inside the station impact your listening audience in scenarios so wild they can only live in your imagination.

If it all feels like too much, don’t worry, you’ll have your lonely producer, the resident skeptic, to guide you on your way, not to mention the vaguely British female voice inside your head.

When an unusual area man calls into the station asking for your help, you have to act fast. Will you trust the area man, or do your best to thwart his plans? Is there anything you can do to save the area man from himself?",Single User,"Sitting, Standing",Oculus Touch,"Quest, Quest 2",Games,"Narrative, Puzzle",English,1.0.32,Numinous Games,Cyan Ventures /  CityLights ,http://areamanlives.com/,"May 13, 2022",Privacy Policy,537 MB
4046879905345967,BlazeRush: Star Track,"¥1,490","BlazeRush: Star Track is a dynamic arcade survival racing game in a new space-themed setting. In this game, everyone can assemble a team of friends in local or online multiplayer. Choose a car to your taste and chase, blow up and cut your opponents off — welcome to the world of racing and frantic fun!

The special BlazeRush update for Oculus Quest 2 features:
- A campaign that includes 30 missions
- New type of vehicles — spaceships
- New types of weapons: laser, mines and chain lightning
- Special space-themed race track for multiplayer
- New powerful enemy — a massive spaceship. Use new weapons and come up with your own strategy to win!

Key features of the BlazeRush game:

- Up to 4 players locally and up to 8 players online
- The option for local players to arrange races online
- The ability to join the game at any time
- Dozens of vibrant race tracks on three planets, 20 cars and a variety of cool guns
- Many medals for various tricks and frills","Single User, Multiplayer","Sitting, Standing",Touch (as Gamepad),"Quest, Quest 2",Games,"Action, Arcade, Racing","English, Russian",1.0.262,Targem Games,Gaijin Distribution Kft,http://blazerush.com/,"May 13, 2022",Privacy Policy,1.0 GB
5230505793640167,Cities: VR,"¥2,990","Be the mayor in Cities: VR, the ultimate VR city-building and management simulator. Design neighborhoods, construct buildings, direct the flow of traffic - all while you handle economics, emergency services, and more. Step inside this VR adaptation of the leading city-builder, Cities: Skylines.

BUILD AND MANAGE YOUR IDEAL CITY
Control every aspect of city planning, from construction to utility planning, and provide healthcare, education, and more to your population.

AN IMMERSIVE & SCENIC SIMULATOR
Cities: VR allows for an unparalleled level of presence, immersion and hands-on gameplay. See your skyline rise from an expansive bird's eye view, or watch your city come alive from the streets.

THE DEFINITIVE CITY-BUILDING VR GAME
Cities: VR is both a great entry-point to the franchise and a compelling new experience for Cities: Skylines veterans. Precise and tactile feedback and a palette of tools at your fingertips makes for an easy-to-use control system.",Single User,"Sitting, Roomscale, Standing",Oculus Touch,Quest 2,Games,Simulation,"English, English (US), French (France), German, Japanese, Korean, Spanish (Argentina), Spanish (Chile), Spanish (Colombia), Spanish (Mexico), Spanish (Peru), Spanish (Puerto Rico), Spanish (Venezuela)",1.00.240,Fast Travel Games AB,Fast Travel Games,https://fasttravelgames.com/,"April 29, 2022",Privacy Policy,3.2 GB
3106117596158066,Cities: VR,"¥2,990","Be the mayor in Cities: VR, the ultimate VR city-building and management simulator. Design neighborhoods, construct buildings, direct the flow of traffic - all while you handle economics, emergency services, and more. Step inside this VR adaptation of the leading city-builder, Cities: Skylines.

BUILD AND MANAGE YOUR IDEAL CITY
Control every aspect of city planning, from construction to utility planning, and provide healthcare, education, and more to your population.

AN IMMERSIVE & SCENIC SIMULATOR
Cities: VR allows for an unparalleled level of presence, immersion and hands-on gameplay. See your skyline rise from an expansive bird's eye view, or watch your city come alive from the streets.

THE DEFINITIVE CITY-BUILDING VR GAME
Cities: VR is both a great entry-point to the franchise and a compelling new experience for Cities: Skylines veterans. Precise and tactile feedback and a palette of tools at your fingertips makes for an easy-to-use control system.",Single User,"Sitting, Roomscale, Standing",Oculus Touch,Quest 2,Games,Simulation,"English, English (US), French (France), German, Japanese, Korean, Spanish (Argentina), Spanish (Chile), Spanish (Colombia), Spanish (Mexico), Spanish (Peru), Spanish (Puerto Rico), Spanish (Venezuela)",1.00.240,Fast Travel Games AB,Fast Travel Games,https://fasttravelgames.com/,"April 29, 2022",Privacy Policy,3.2 GB
3815577785147028,Painting VR,"¥2,208","Painting in virtual reality is easy: mix your colors, dip in your brush and start painting. 

This experience is very hands-on, easy to understand, and aimed at all ages. Play around and feel the relaxing satisfaction of putting unlimited amounts of fresh paint on a canvas. Teach yourself the basics of colors, the painting process, and composition. Sharpen your skills by experimenting with the tools and techniques at hand, and become part of a new wave of digital artists. All without having to bother about cleaning up afterward! 

Curious to see what you'll paint today...

",Single User,Roomscale,Oculus Touch,"Quest, Quest 2",Games,"Art/Creativity, Educational, Productivity",English,.651,Oisoi Studio,Oisoi Studio,https://paintingvr.xyz/,"April 15, 2022",Privacy Policy,393 MB
5437449896288644,Green Hell VR,"¥2,990","Follow the story of Jake Higgins, a famous anthropologist, who is thrown deep into the emerald and impenetrable Amazonian rain forest - the green hell. What you discover will be worse than what you fought so hard against to survive. Find yourself stranded in a dangerous jungle, surrounded by predators with only a trusty smartwatch, backpack, and the survival guide, so craft away! VR makes crafting even more realistic as you need to find the right elements and put them together in a specific way to make tools, spears, and shelter - all by hand! Watch your vitals and discover herbs with their medical potential to stay healthy. Hunt wild animals to secure the next meal and defend yourself with a bow and arrow - work on your aim and level up your skill. With mechanics adjusted to virtual reality, Green Hell VR: Quest Edition is a truly immersive and demanding game - Find out how long you can stay alive.",Single User,"Sitting, Standing, Roomscale",Oculus Touch,Quest 2,Games,"Adventure, Exploration, Simulation","English, Chinese (China), Chinese (Hong Kong), Czech, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Spanish (Spain)",1.0.136,Incuvo S.A.,Incuvo S.A.,https://greenhellvr.com/,"April 8, 2022",Privacy Policy,2.9 GB
3158342884265828,iB Cricket,"¥2,990","A sport with 2.5 billion fans across the world is now in VR as iB Cricket (vSport). Step into immersive world-class stadiums with thousands cheering for you and hit the ball out of the park. Our realistic physics makes it intuitive to learn the sport within 10 mins. 

Till date, over 60 million balls have been played by people from 40+ countries, including both cricketing & non-cricketing nations. 98% of them said that iB Cricket is amazing! iB Cricket has also received appreciation from 100+ world-class Cricketers.
- Numerous Bowling Options: Right arm, left arm; Fast, medium pace, off spin, leg spin & more.
- Intelligent fielding based on built-in AI
- Multiple Stadiums
- PvP:  Bowl to your friends & challenge them in a one-on-one match. 
- Leagues & Tournaments
- Multiple Cricket Formats: 20, 50, unlimited overs 
- Coaching Module 

Hone your skills, compete in global tournaments & become a vSport star.","Single User, Multiplayer","Standing, Roomscale",Oculus Touch,Quest 2,Games,"Casual, Simulation, Sports",English,4.2.0,ProYuga Advanced Technologies Limited,ProYuga Advanced Technologies Limited,https://ib.cricket/,"April 8, 2022",Privacy Policy,5.0 GB
5077315605654672,Liminal ,Get,"Alter your state of mind and choose how you feel and perform. Explore a range of experiences which apply research by neuroscientists and psychologists to induce and augment emotional and cognitive states.

There are currently over 60 experiences to calm, invigorate or leave you in awe.

Relax with hypnotic experiences, guided meditations, beautiful rainswept vistas or ethereal landscapes and breathing visualisations.

Conquer the stars, fight killer bots, destroy asteroids or launch yourself into space to perk you up during the day.

Expect the unexpected and defy the laws of physics in weird and wonderful awe inspiring adventures, from hidden caves to space whales to blasting off and floating in Earth’s orbit.

We display how effective each experience is based on user feedback so you can see how it has affected others.

What will you experience today?",Single User,"Sitting, Standing, Roomscale",Oculus Touch,"Quest, Quest 2",Apps,"360 Experience (non-game), Casual, Relaxation/Meditation",English,2.8.45,Liminal VR,Liminal VR,https://api.liminalvr.com/,"April 8, 2022",Privacy Policy,776 MB
