scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 09:45:29.827503,"
Read through the negative reviews, don't agree at all. Graphics are stunning, God rays haven't come across any but I don't go around looking for a white board. Came from quest 2 and now I'm spoiled with picture quality.
",Reviewed in Canada on 1 September 2021,5, Pro 2 Headset Only,"
Awesome headset
"
2022-05-23 09:45:30.020985,"
I keep in HTC vive brand as my car in Ford family. Well I had vive, vive pro. Then I got vive pro2. What concerning the headset graphic is probably the best on market. Problem was shaking picture and sometime frozen in game. Returned through Amazon (very easy)Then I got full kit Pro 2 from Vive Canada. Same problem.This time I did not consider to return without trying to fix it. And : fix was simple, disconnected cable on head side and reconnected. It did wor for that session. But when after session I unplaged head from pc and tried again Igot the same problem. Anyway to make it short seems problem is not a cable itself. Just the connection between headset and cable I think. When I did the same disconnect /reconnect dancing it did work again. Then after sesion I did not unplug headset from pc and next session did work again fine.Coincidence? Maybe. I like vive pro2 and I recommend this product. Just letting you know what you may expect.
",Reviewed in Canada on 4 January 2022,4, Pro 2 Headset Only,"
Sure it needs some work
"
2022-05-23 09:45:30.032953,"
its not the worst vr headset like other comment explain but its not perfect. first the audio is not that good like a valve he need more bass because when you play its sound like a cane or like it was far away. but the clarity on this is wow and really i come from a quest 2 and the quality of the lentile to its better. not that worst but all is good for me but the only remaing for me its the audio its not trash but its like 7/10 and valve its 10/10.
",Reviewed in Canada on 8 November 2021,4, Pro 2 Headset Only,"
good headset overall but audio need bass
"
2022-05-23 09:45:30.058883,"
Purchased vivepro2 for Xmas, was blurry. Contacted Vive support and promptly forgotten about (thanks Lucas) returned to Amazon for quick replacement. 2nd hmd (vivepro2) just as blurry. Meet all system requirements (easily) Contacted support again and again horrible disappointed. All the hoops Vive support puts you through and than your discarded and never helped in any fashion.Just ordered my 8kx.
",Reviewed in Canada on 17 January 2022,1, Pro 2 Headset Only,"
Blurry, blurry,blurry…horrible. I’ve support
"
2022-05-23 09:45:30.077834,"
The quality is good. The resolution is amazing. The thing I was most worried about was fit and I was very happy with the range of people that it fit. Adult male, adult genial and both kids youths (boy & girl). This has made VR experiences first rate.
",Reviewed in Canada on 18 December 2021,5, Pro 2 Headset Only,"
Fits a broad range of people
"
2022-05-23 09:45:30.097779,"
Was hoping the negative reviews were over-exaggerated but uh, they're pretty on point.  I wanted to try this out coming from the Valve Index at a time when my cable has gone bad.  Waiting for a replacement, decided to order a backup headset and thought I'd try this out instead of getting a second Index.  But wow.Pros--It weighs less than the Index-Somewhat more comfortable than the Index-Can't really notice a screen door effectNegatives--The closest setting for the lenses is still too far, field of view seems compromised-hard to get everything in good focus, seems to have excessively more glare than the Index, outside a very narrow spot in the center everything else is just too blurred.  Hard to enjoy the sharper resolution.-display is too dim, can't find a way to brighten it-seems to only have 90 or 120 hz modes.  The Index has a 80 hz mode which is particularly useful for certain games.-Terrible audio-Didn't test mic but have heard that is terrible too-$300 more expensive than the Index headsetNot really sure what you're paying for here as an improvement over the Index, the experience is very sub par.  Stick with the Index.
",Reviewed in the United States on 6 August 2021,2, Pro 2 Headset Only,"
Very disappointing
"
2022-05-23 09:45:30.114734,"
Every VR headset has major flaws and shortcomings, but all things considered I believe the HTC Vive Pro 2 is the best consumer VR gaming headset there is. I upgraded to it from the Valve Index, I'd do it again but there are many things wrong with the Vive Pro 2 as well.Pros:- The fact that it's a SteamVR headset with outside-in tracking and Valve Index controller compatibility- The 4896 x 2448 combined resolution which not only looks far better than 2880 x 1600 screens, it enables you to play games more effectively. This was one of the two main reasons I upgraded to the Vive Pro 2.- Aftermarket addons - from new pads and cushions (which I need) to the HTC Vive Tracker 3.0 for full body tracking (be warned about unreliability and inconsistency with these devices though), Vive Wireless Adapter, Vive Facial Tracker, and hopefully the Droolon F2 soon. The other main reason I purchased this.- Mildly improved FOV compared to the outgoing model- Easily available replacement parts from authorized dealers unlike Valve- Fairly breathable design, doesn't make you sweat profusely. Big improvement over the Index here.Cons:- Poorly calibrated with too much brightness and too little gamma correction. Probably calibrated for 1.8 gamma, and because the overwhelming majority of VR ""games"" lack adjustments for this, I'm stuck with it. Valve Index appears calibrated for the proper 2.2 gamma.- Very expensive, especially considering it doesn't even come with eye tracking despite the fact that the Vive Pro Eye does, and considering it doesn't come with the wireless adapter which still hasn't been updated to support a larger resolution- Very narrow focal sweet spot- Screen uses out of date LCD technology with poor contrast which cannot deliver true blacks- FOV still lower than ideal- Inferior headphone solution compared to the Valve Index- Poor microphone quality- Cable sleeving quality isn't great, seems like it will undergo the same kinking and wear and tear that my Index did, for which the cable is damaged enough to occasionally lose video signal entirely after just 1 year of use. For $799 you'd expect quality sleeving.- Headset cable is prone to being accidentally disconnected from the Link Box very easily- Comfort issues - creates relatively small concentrated pressure points on your head that build discomfort over time- Comfort issues - creates relatively small concentrated pressure points on your head that build discomfort over time. Also, I can't get an ideal fit, which results in the headset being prone to moving around during intense gameplay in games such as Blade & Sorcery (thus losing the focal sweet spot).- Not a weakness of the headset, but HTC has yet to come up with a competitor to the Valve Index controller which themselves are far from perfectDespite all the flaws, this is still my most recommended VR headset for the clarity, addons, and because I only recommend SteamVR headsets due to Valve Index controller compatibility and SteamVR base stations which are as good as tracking gets right now. Also, despite all the flaws, I still consider VR gaming to be a must-have, and it is the way I'd want to play most of my favorite games if it were possible. A lower price could have resulted in a 4 star rating from me.
",Reviewed in the United States on 22 August 2021,3, Pro 2 Headset Only,"
HTC Vive Pro 2 - The Best of a Bad Situation
"
2022-05-23 09:45:30.132686,"
The cable that runs from the headset to the PC seems to have some defects. I may have gotten just a bad cable but their customer service made me want to pull my hair out. And I am a streamer too, not that that should matter, but it made no difference to them in terms of wanting to keep a happy customer that was promoting this very headset until I ran into the cable issue and spoke to customer service. They just don't seem to care about backing up what they sell from defects in production or design. It's a shame too.
",Reviewed in the United States on 25 August 2021,1, Pro 2 Headset Only,"
The cables are not warrantied like the headset and their customer service needs help.
"
2022-05-23 09:45:30.148643,"
I am a long time user of the original Vive. I got irritated with the weird gradient lenses so opted for nice clear replacement lenses I found for $50 on the internet. They made the Vive a joy to use. I recently upgraded to the Pro 2 and feel like I took a step back. With all the complaints I’ve read over the years regarding the weird lenses, I find the same lens design in the Pro 2. The only difference is that they are a different shaped lens which says I can’t use the upgraded lenses from the Vive.It’s just an $800 disappointment that with all HTC knows about the poor lens design that they still push a bad idea forward. Nowwe wait for some crafty person to build replacements for the new style. Or maybe return it and move to another brand.
",Reviewed in the United States on 30 July 2021,3, Pro 2 Headset Only,"
A bit disappointed in the lenses
"
2022-05-23 09:45:30.165597,"
I purchased this as an upgrade for my original Vive System, primarily to play Fallout 4 and Skyrim. I've got about 100 hours into it.The Good:I'm very happy with the upgraded video. The screen door effect is barely noticeable and the game graphics look significantly better, even though I can't even use the full 4896x2448 resolution with my GTX 1080ti. I look forward to replacing my video card and seeing the full headset resolution.The headset is wider than the original, so it fits better and is more comfortable when wearing glasses.Adding the headset was easy, and only took about 15 minutes. Steam VR also support both headsets, so I can swap back and forth easily if I want to.The IPD adjustment process is a definite improvement over the original, and makes it much easier to adjust correctly, especially when used by multiple people.The Bad:My GTX 1080ti can only run the headset at 3672x1836 @ 90Hz.The headset isn't uncomfortable, but it's not as comfortable as the original Vive. I could wear the original headset all day and never notice. This one becomes uncomfortable after a few hours. This may actually be due to the headset being wider to accommodate glasses. When I don't wear them I have to wear it tighter than I'd like since the headset doesn't fit the shape of my head as well as the original headset. I knocked off half a star for this.The Audio from the built-in headphones is bad, and HTC should feel bad given the price. I had to do a ton of tweaking with the Windows Audio Equalizer attached to the sound device to get the audio to sound decent through the headphones. It's noticeably worse than the Original Vive's Deluxe Audio Strap. I knocked off a star for this.Although you can remove the headphones, the head strap is permanent, so you can't wear other over-ear headphones like you can with the original Vive - you'd have to wear earbuds or stick with the included headphones. I knocked off another half start for this.Overall:I did end up keeping the headset as the video upgrade was worth it to me, but I'm still looking for a better audio solution.
",Reviewed in the United States on 10 November 2021,3, Pro 2 Headset Only,"
Video quality is great, the audio quality is poor and it's not as comfortable as the original Vive
"
