scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-21 20:15:59.303154,"
I was very excited to take delivery of this product, which I wanted mostly so I could play existing, VR capable, games on PC.However, despite ""PC VR Compatible"" being one of the supposed selling points of the Quest 2, setting up to use the PC for playing games on Steam requires the purchase of a piece of software called ""Virtual Desktop"" and then requires you to ""sideload"" a patch on top of this. I ended up having to rely on a VR savvy friend to come over and use a Youtube walkthrough to help get this done.There is also an Oculus app to download to your PC and this will allow you to buy games. Only problem is that games bought through this app aren't downloadable to the Quest and must be played tethered to the PC. WTF, especially, when this isn't stated clearly on the purchase page?Intriguingly, while there are sales on the non-transferable games that you can buy using the oculus PC app, literally none of the games inside the oculus version of the store are on sale. For example, I bought one game through the PC app (50% off) expecting to be able to download and play it through my oculus, but when I discovered I could not I also discovered that the same app was still full price inside the Quest version of the store.A major problem is that there really isn't any good content for the Quest at this stage. What little there is, is hugely expensive, charging AAA prices for CCC games. I'm very much into open world games, for which VR should be perfect, but most Quest games seem to involve standing still and overcoming waves of enemies. Expect to spend hundreds of dollars in the search of good VR content.I was also quite disappointed with the quality of the build. At the very least, I would have expected glass, rather than easily damaged plastic for the lenses, especially given how easily they fog up. The headband is a disaster, forcing you to spend yet more money and the price that Oculus wants for both this and its ""Link"" cable is criminal.My advice? This device (and probably VR as a whole) simply isn't ready for prime time. Hold off until the next generation of VR, or if you must buy it, wait until there is some halfway decent content.The fact that most of my time with the unit has been spent watching Amazon Prime inside a Virtual cinema says much about the current capabilities of the technology.
",Reviewed in Australia on 19 November 2020,1,256GBStyle,"
There simply isn't enough decent content to make this a worthwhile investment.
"
2022-05-21 20:15:59.437793,"
Buyer beware.....it was good while it lasted.  My $600 paperweight has a headset tracking error that Oculus Support have not been able to solve or repair/replace under warranty in over 3 weeks. I am not confident they know what to do nor care to fix my problem. What ever the answer is, I can say that a reset back to factory default is NOT the answer.  Maybe I was just unlucky, perhaps you will be ok. I think its important to note how many head tracking errors have been popping up that Oculus is slow to acknowledge and respond to.After weeks of waiting I finally was advised to return the headset and all components to an address in Hong Kong.I spend $85 to send back and was promised a replacement Oculus Quest 2 would be sent out. Its now 2 months later and I have no replacement! Emails to Oculus support has not provided me with any satisfaction as what the status is. Cannot recommend dealing with Oculus
",Reviewed in Australia on 3 February 2021,1,256GBStyle,"
After only 3 months its a paperweight
"
2022-05-21 20:15:59.448764,"
My complaint with this purchase is that there was no warning that the product requires the “ADDITION” of a Facebook account for it to work. This is a sneaky and stealthy approach in selling the product without warning. Not to mention unethical.To me this product is now absolutely useless….
",Reviewed in Australia on 11 September 2021,1,256GBStyle,"
Deceptive sale
"
2022-05-21 20:15:59.457740,"
With the ability to play PC VR as well as standalone at near 2k per eye with zero screen door affect it's worth it. The tracking is perfect and the guarding system is one of the best and this is coming from a former light house lazer tracking user having owned a HTC Vive.It, however, needs the elite head strap for comfort so spend the extra money and if you have any left get the KIWI design or the VR power Battery Pack for the Quest Headset. This will not only double or triple your battery life but it'll act as a counter weight to the headset and make it even more comfortablemust have apps:Virtual DesktopOnwardSaints and SinnerArizona Sunshine
",Reviewed in Australia on 18 October 2020,5,256GBStyle,"
exceeds expectations in every day and future proofed with the large file capacity
"
2022-05-21 20:15:59.466716,"
I wasn’t really impressed with purchasing the oculus quest 2 I thought it would have different stuff also maybe some different songs in Beatsaber but it’s all exactly the same as the original oculus quest that my son has also the head strap for the Oculus quest 2 is very uncomfortable and I can never get it to sit on my head properly and it’s blurry. The Oculus quest head strap for the original is a little better than they have made for the Quest 2. Not really happy with it.
",Reviewed in Australia on 19 October 2020,2,256GBStyle,"
Same as Oculus Quest
"
2022-05-21 20:15:59.475692,"
This is my 3rd VR headset (not including Gear VR)and it is by far my favourite. I have owned the PSVR and Vive Cosmos and despite this being the cheapest it has a better display and controller tracking. With the recent link cable update this works great as a PCVR Headset. The only drawbacks are the strap is meh and the foam cover is pretty bad which means you need to buy some additional accessories if you intend to use this more than casually. Despite this, I strongly recommend buying this if you have even a slight curiosity about VR.
",Reviewed in Australia on 25 October 2020,5,256GBStyle,"
Worth the hype
"
2022-05-21 20:15:59.483670,"
I love it, best VR headset I have ever experienced
",Reviewed in Australia on 25 August 2021,5,128GBStyle,"
Excellent experience and very good value for money
"
2022-05-21 20:15:59.492646,"
Plays games in VR. Check. Looks decent in game. Check. Great range of games to play (Half Life Alyx I'm looking at you). Check. Crappy strap that comes with the unit. Yep. Don't like the strap at all. Will invest in the QUEST 2 ELITE STRAP. The weight of this unit feels as if it's constantly falling forward. Hopefully the replacement strap will help with that.Overall the Quest 2 is awesome. I had the PSVR and the original HTC Vive which were both ok but in comparison the Quest 2 is soooooooooo much better. And the option to play both wireless and tethered is a HUGE bonus.
",Reviewed in Australia on 1 November 2020,4,256GBStyle,"
It's...pretty good
"
2022-05-21 20:15:59.500625,"
A day spend on activation.Evening on pairing.Account creation.Not good, too fresh account. ""community rules""Which rule exactly? Facebook cannot say.You can humbly beg for ""review"", until then can't I just use what I have paid for??
",Reviewed in Australia on 24 November 2021,1,128GBStyle,"
DON'T BUY IT
"
2022-05-21 20:15:59.508604,"
No matter what I do (changing where it rests on my head, the pupil distance, cleaning the lenses etc) everything remains slightly blurred and the text will constantly have a glow/halo effect, making it hard to read and or focus in games. Watching supposedly 4K videos isn't very awe-inspiring as everything looks 480p, maybe choppy 720p at best.There is also barely any games or apps on the actually Oculus app making the headset basically useless unless it's linked to a computer. Not an ""expansive"" Quest content library by any means.I personally regret having wasted my money and will be returning the product. If you're sensitive to motion sickness, bright lights, migraines etc, definitely don't buy even if you only get those things every once in a while. Hell, if you get sinus problems or hate how certain materials feel on your face this headset will probably bother you. I also received an email from Amazon about an ""Important Product Safety Notification"" about the foam used with the removable foam facial interface. Apparently on some products, the foam part has been causing people to have skin irritations and is being recalled.
",Reviewed in Australia on 6 July 2021,1,256GBStyle,"
Refund Requested
"
2022-05-21 20:16:09.680394,"
Being my first VR device, I've had great experience with this device so far. I don't have any issues with signing in with Facebook and the black levels are awesome, despite being a LCD panel instead of OLED! The only downside I've noticed is that there is some significant godrays, but I don't have anything to compare it to, so it's not something I'm too picky about. Another thing to mention is that it only has 3 IPD settings to choose from, which is quite general and may not cater perfectly for everyone unfortunately. The included fabric/elastic strap is quite comfortable actually, though I do have the Elite strap on pre-order, I'm quite comfortable to use this on my own. The only reason I'm getting the Elite strap is because I will be sharing this device with my family, so quick adjustments with the elite strap would just make it so much easier.
",Reviewed in Australia on 31 October 2020,4,256GBStyle,"
Amazing for first time VR users
"
