scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-21 21:00:34.134339,"
The ""new"" 128Gb Quest 2 is a welcome increase in storage space over the prior 64Gb model, as the OS eats up a fair bit of space on that storage.  Fortunately the apps and games are mostly small in install size.For a standalone VR headset (with ability to connect to a gaming PC for PCVR), it does a fantastic job at bringing you this experience.  However, the requirement for Facebook is a sour note to using it as it is tied to your real life social media account.  You can make a alias for it though so other gamers don't see your real name.. but still, the writing is on the wall that this is for personal data collection while you use it.  Take that for what it's worth, as the low cost is clearly subsidized from Facebook's personal data collection as the unit is sold at a loss otherwise.The Pros:-Small and portable.-VR capability is great.  It's not powerful to provide realistic graphics, but the games are really effective at giving you a sense of scale and being in the VR world.  Framerates are fast and colors are vivid.  It works great.-Low cost compared to everything else on the market (which requires a PC - which this doesn't).-Ability to cast gameplay to a chromecast type device for others to see.-Install sizes are small (most),Cons:- Facebook required.- The strap is uncomfortable and doesn't do a good job of keeping the weight off your face. It's essentially a fabric belt, so you'll want to invest in a better headband for more support.- Battery capacity gives you about 2+ hours playtime so it's quite low.  If you supplement with an external battery, the Quest will run off of that before it goes to it's own battery, so you'll want to invest in a battery pack for more playtime.- Lenses have a small focal ""sweet spot"" and this coupled with the troublesome headstrap means that you will frequently adjust the headset to reduce fatigue to your eyes.- Resolution varies in standalone games as the headset may need to lower resolution to allow for appropriate processing power - depending on the app.  While the headset is ""almost 2K per eye"", there will still be some blur, and in some games, you will notice a fair amount if the game drops the resolution as needed. This is not a frequent issue, but I am mentioning it just in case some owners wonder why game X is clearer than game Y.  Having said this, a number of titles have been patched for the higher processing power of the Quest 2's headset and do have increased resolution over the original Quest 1.- The Oculus game store does not have big-discount sales like Steam or Playstation for their VR headsets.  There is a daily deal and sometimes weekly deals with a couple of games in them, but the discounts range from about 9% to 30%.  Overall, games on Quest 2 will cost you more to purchase as most will stay at full price.In conclusion ..  don't look at the small list of Pros as a negative as what it does, it does great and is well worth the cost.  Just know that the cons show that it does have limitations so don't expect the moon, and the basic headset will likely need a better headband and external battery to get the best enjoyment out of it.  It's a 5 star headset absolutely - but Facebook's requirement is something to understand, as if your account is ever banned on Facebook... you will lose all your purchases and the headset will become useless.
","Reviewed in Canada on September 1, 2021",4,Style: 128 GB Headset,"
If it weren't for Facebook, it'd be 5 stars.
"
2022-05-21 21:00:34.309694,"
I had the elite strap on for a few weeks and had gotten to use my headset roughly around 20 hours in those two weeks. It was fine during that time, fit well, seemed firm. However my computer's graphics card failed, and so I left my VR headset on the desk, next to my computer for several weeks while I got the warranty for my card to replace it. After I had my computer up and running again, again after the VR headset was sitting not being touched for several weeks, I picked it up (from the front, heavy side, not the strap) and the snap just snapped in half under its own weight. This is absolutely unacceptable for the price they are charging.  I had read the reviews of others saying the band snapped, figured it couldn't be as bad as they said, but sure enough, it's true, with no pressure, no force, just leave it on a desk for a few weeks and it will snap all on its own. Extremely disappointed.
","Reviewed in Canada on June 13, 2021",1,Style: Elite 2 Strap,"
Product broke with absolutely no force or impact
"
2022-05-21 21:00:34.323989,"
I've been having disconnect issues with the Oculus disconnecting from my PC when using the link cable, since i bought it, when playing PC VR games.  I've seen the issues repeated by multiple users all over the net the past few months, with different ""fixes"" or reasons, from my USB port being loose, or software updates causing the problem.  It's none of these, its the cable itself thats the problem.  Look online into getting an Anker cable, or some other cable that is up to par with the transfer rates to play using your PC.  DO NOT BUY THE OFFICIAL CABLE, it is cheap crap.  I switched to an anker cable and extension, and it runs fine now.  IT was literally the Quest 2 link cable that was disconnecting.  What a waste of $120.  This cable is a legit scam.
","Reviewed in Canada on April 24, 2021",1,Style: Headset Cable,"
Official Link cable is an overpriced scam
"
2022-05-21 21:00:34.338857,"
While the link cable looks nice, feels nice, and works part of the time, it's incredibly faulty to justify the ridiculous pricetag.  I bought it thinking this would ensure the best connection for using my Quest 2 for PCVR, but no, it's junk.  I can't go more than half an hour without a random ""PC Disconnected"" message, which is insanely frustrating when playing lengthier games like Halflife Alyx.  Whenever this happens I have to take off the headset, shut down the game, shut down Steam, restart the Oculus app on my PC and start again.  This happens regularly using either the USBC port on my 2080TI, or on the motherboard itself.  Not sure if it's a faulty cable, bad link software, or what, but Oculus has been zero help in correcting the issue.  Spent two weeks dealing with support, sending logs back and forth, over and over, went through their standardized checklist of generic possible fixes(most of which having nothing to do with link, but humored them anyway), just to have them say ""will have to look into this further"" and stop responding.This is what I get for buying the first run of new hardware before they work out the faults.  Don't buy this cable.  Quest 2 is still good on it's own(for low level games/apps), but if you're wanting something for PCVR I'd highly recommend a different headset.  They might be pricier, but well worth it to avoid this headache.
","Reviewed in Canada on November 7, 2020",1,Style: Headset Cable,"
Cable is expensive junk
"
2022-05-21 21:00:34.355812,"
I bought the Elite strap when I pre-ordered my Quest-2.It is much better than the standard strap that comes with the headset but at it's price point isn't that great. Yes, it does improve comfort, the strap tightening mechanism feels really cheap and it has no built in headphones (Something the Quest-2 desperately needs). Since getting this, I bought a Vive Deluxe Audio Strap and used 3D printed parts to attach it to my Quest-2 (Now called a FrankenQuest2), this is a amazing solution, yes, more expensive but you get what you pay for, this is very comfortable and the the built in headphones sound great. Personally, I'd skip the Oculus Elite strap and put that money towards a Vive Deluxe Audio Strap and make your own FrankenQuest2. :)
","Reviewed in Canada on December 1, 2020",3,Style: Elite 2 Strap,"
Good but not great
"
2022-05-21 21:00:34.372657,"
Initially I was planning to send this unit back, it gave me a headache after prolonged use and found the original strap sufficient, however, for programs demanding intense or medium movements the Elite strap is an absolute must. I purchased a couple of additional padding products to make it more comfortable. The back portion of the Elite strap is made of flexible rubber material which, in my opinion needs a bit more cushioning to make it  more comfortable, especially if the program demands the strap to be fairly tight to prevent movement of the headset. With these alterations I would happily recommend the Elite strap.
","Reviewed in Canada on November 7, 2020",1,Style: Elite 2 Strap,"
Broke on the site, without any pressure....not fixable.
"
2022-05-21 21:00:34.388437,"
I didn't get the $70 credit with the purchase
","Reviewed in Canada on November 26, 2021",1,Style: 256 GB Headset,"
No $70 credit... not automatically added
"
2022-05-21 21:00:34.403066,"
Where are the$70. This thing doesn't work for me. Also I didn't receive the$70 as promised.
","Reviewed in Canada on December 4, 2021",1,Style: 128 GB Headset,"
Where are$70?
"
2022-05-21 21:00:34.416389,"
I first purchased a 128GB model at the end of September and it functioned well with my use of the Supernatural VR fitness program.  Then one day after my return window expires, the right controller became unresponsive and could not connect to the headset.  Oculus customer service took forever to connect and I  didn't receive a response.  When tried to factory reset the headset following Oculus's official instructions, the reset stuck on the initial page and could not progress further, and the right controller still remained as unconnected.  Out of frustration, I contacted Amazon to express my frustration and Amazon very kindly offered me a replacement unit despite my return/exchange window had expired the day before.  Hooray for Amazon!  Boooo for Oculus.
","Reviewed in Canada on November 25, 2021",3,Style: 128 GB Headset,"
Amazon service is amazing, Oculus is not.
"
2022-05-21 21:00:34.432287,"
When I first got my Quest 2, it only took 20 minutes for it to feel completely uncomfortable on my face. Once I put the Elite Strap on, I was able to leave the headset on for over an hour. What a difference it makes! It really does help to balance the weight off your face. Highly recommend this. I did read that some people have had theirs crack, I've had no issues so far, but I'm also very careful when I take it off. I make sure to loosen it up first. UPDATE: Its only been a month and no matter how careful I was, mine ended up cracking and breaking.
","Reviewed in Canada on November 3, 2020",5,Style: Elite 2 Strap,"
So much better than the strap Quest 2 comes with!
"
