scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 10:46:39.365024,"
Well, I'll start by saying you DONT get what you pay for with this headset. Its bulky, feels like old tech, and hard to find the ""sweet spot"" in the image. It leaves you constantly adjusting to try and remedy the blurry image, but it is a struggle. Completely kills whatever game you're playing having to stop and readjust. Hinge doesnt have any need considering theres a camera pass thru option. And it really messes with the image.I cant really reccomend it, considering the old controls needed for this headset dont help it any. Suggest getting index controllers instead to really enjoy games. You'll constantly fight with holding items in game.I dont see this as a suitable upgrade in any way. Avoid unless this is your only option for a headset.I warned you. You'll walk away feeling ripped off using this dinosaur. I got a deal, and I still feel ripped off. Not by seller, but by HTC.Dont buy. No matter the price.
","Reviewed in Canada on August 12, 2021",3, Cosmos Elite Headset Only,"
Too much money for so little offered
"
2022-05-23 10:46:39.543414,"
I have the original Vive, and purchased this as a headset upgrade.Unfortunately, the field of view is cut way down, the image quality is perhaps visually only 15% sharper, and the headset's earphones would not close. This might be a good unit for a child sized head, but it is clearly not designed as well as the original.
","Reviewed in Canada on February 26, 2021",1, Cosmos Elite Headset Only,"
Purchased as upgrade. Did not keep.
"
2022-05-23 10:46:39.555887,"
Lenses are not adjustable closeness to eye. Not DLP everything looks washed out and gray blacks are not black. No comparison to the older model that has DLP. Headphones will not stay pressed up against the ear they just keep popping out. Not happy return of the product.
","Reviewed in Canada on April 10, 2021",1, Cosmos Elite Headset Only,"
Out of focus, blacks are grey at best.
"
2022-05-23 10:46:39.567775,"
I've used the original Vive since launch & absolutely loved every minute of it... but I can wholeheartedly say that this headset has too many defects for me to recommend it to anyone.1. Sweet spot is too small (worse than OG Vive)2. The headset jitters due to the loose halo design3. Viveport software causes system instability4. Switching apps in Steam can cause stuttering5. The headphones have difficulty clicking down6. The wireless dongle occasionally malfunctions7. Halo causes headache due to forehead pressure8. The contrast is very dull compared to OLED9. Black is mostly grey in comparison to OLED10. The screen cannot be adjusted closer to the eyeI really wanted to like this headset, especially considering the higher pixel density & resolution...It's really too bad that HTC can't seem to get out of their own way. Hopefully they eventually fix everything & finally release a true successor to the original Vive (consumer affordable).
","Reviewed in the United States on June 2, 2020",1, Cosmos Elite Headset Only,"
A Massive Step Backward For HTC.
"
2022-05-23 10:46:39.580712,"
As a display device, the HTC Vive Cosmos Elite works pretty well.  If your only intention is to play sedentary games in VR, the kind where you (the you in real life) sit still and don't move, you might be satisfied with this headset.But if you're the type of person who likes to play games that require you to move around, such as room-scale games and fitness games, DON'T BUY THIS.  Even if you plan to play games where you sit in a chair but occasionally have to move your head from side-to-side, DON'T BUY THIS.  It won't stay in one place.  You will constantly be fiddling with the tightness knob trying to keep the fit snug and secure.On top of all this, one of the most promoted features of this headset, the flip-up visor, only compounds the problem.  In theory being able to flip up the visor so you can quickly see the real world around you when needed would be a great idea, but when you do the headband loses all tension and you have to go through the annoying process of trying to tighten it once more.  In short, quickly flipping the visor up is easy, but quickly flipping the visor back down is impossible, which makes the feature useless.  As an owner of the original Vive, it's faster and easier to remove and replace that headset than to use the flip-up visor and resume gaming on this one.
","Reviewed in the United States on June 17, 2020",1, Cosmos Elite Headset Only,"
Not for active gamers
"
2022-05-23 10:46:39.594953,"
UPDATE (6/3/2020)...After talking to an amazon Rep over the chat because phone calls aren't being answered, The code for Half Life Alyx is NOT a Digital code received from AMAZON, but from HTC themselves. Amazon needs to clarify in order to get the game, you have to to to HTCs website and redeem the Free VivePort offer included which will unlock the game to be downloaded in Steam. That was the confusion and why I rated this 3 starts earlier.  Again the items is flawless and I left a review on it below. Changing to 4 stars instead of 3, But I would of gave this 5 stars because of the hassle I had to deal with the first time.Hope this helps anyone in the future.Old Review....Bad enough because of this pandemic, you cannot contact amazon Customer Service via phone so I wen to their web chat to explain that I did not get a download code for the game said to be included and being bounced around by 10 different people having to explain the issue over and over again, I said forget it, its not worth the headache...One had amazon themselves call me only to hang up on me during the process then when I tried calling them back, I cannot get through once again because of the COVID-19 Pandemic...so yeah if you are buying this and expecting to get the Half Life: Alyx Download mentioned in the description, Good luck...Now for the headset itself. The item is fine, I gave this 3 stars because going through the madness of trying to get what was promised in a pkacaged and being bounced around and having to explain the problem over 10 times...  Not worth it, I ended up buying the game from Steam out of my pocket...Anyway the Item came in perfect condition, I already had the wireless adapter so I got the wireless add on with it, the ability to flip the headset up to see whats in front of you or having to make some adjustments before going back into VR is a plus! Visuals are better but it still uses the fresnel lenses, Sweet spot is smaller than the original vive but I got the new lens mod coming for that to eliminate this. I recommend anyone who uses a Vive headset to get the lens mod, its so much better!!!! Tracking uses the Original Vive wands and base station and IMO that tracking is superior.The headphones attaches sounds good but i normally don't use them, I have a surround sound system for that. But overall the headset is good. if it wasnt for not getting the game that was promised with this bundle and the headache I went through with amazons customer support, I would of gave this review 5 stars...
","Reviewed in the United States on May 24, 2020",4, Cosmos Elite Headset Only,"
Edit, The item works perfectly but the included item is by HTC, NOT AMAZON
"
2022-05-23 10:46:39.612311,"
Mediocre. That describes the HMD in one word.Long Version: The HMD is actually pretty good but has serious design flaws. The lenses are actually decently clear, the screen has great color with no pixel gap problems, overall visual clarity is passable - as long as you press the HMD into your face. The problem arises with the HINGE. The Hinge design was the worst possible thing that could have happened to the cosmos (elite). Once I stop pressing the HMD onto my face, the hinge comes into play. It loosens the HMD, causes it to rock upwards when tightened, and is not comfortable at all. When the HMD rocks upward, the lenses become unclear and the usable FOV reduces somewhat. Tightening the mount only makes it insufferable and makes the HMD rock even more upward - becoming more blurry and unclear. If HTC just gave the Cosmos Elite a side mount instead of a top-hinge mount all of this could be avoided. I guess you could mod your own solution.Besides the mount problems, the built-in audio is passable. Index is better. Doesn't beat a true DAC-AMP setup of course. Still beats the Quest 2 and Pimax. Microphone didn't work at all then suddenly worked for a single day, which apparently sounded really bad but not as bad as the Rift and Rift S. Elite tracking is nominal; I have 4 Basestation2.0 so no problem there. Cable is kinda sticky and pretty heavy. At no point did I look through the cameras so I can't comment on those. Decently comfy when not overly tightened. Strap adjustment knob really really hard to twist - it's smooth and has a lot of resistance unlike the PiMax and Index.All this adds up to be a bad overall product. Bad enough that during ViveCon 2021, HTC never once mentioned the Cosmos (Elite). They spoke about the 1st Vive and then Vive Pro extensively, followed by the Focus. Cosmos was a flop.Also side note, the Cosmos Elite requires the HTC software and drivers to be installed. I initially plugged it in without any software and it connects to SteamVR but fails to wake up. Turns out a complete software installation with driver initialization has to occur first, then some of the HTC software can be uninstalled.
","Reviewed in the United States on May 26, 2021",2, Cosmos Elite Headset Only,"
A victim of its own design
"
2022-05-23 10:46:39.627242,"
First it isn't a bad headsetPro's-Able to be upgraded, Wireless, controllers, base stations-Directly compatible with steamvr-No Facebook-More available than the Index at times-Replacing cables are easier after warranty-Has a much better picture quality compared to the original, and for me less god rays-Manual DPI adjustment, even comes with a chart so you can measure your eyesCons-Ergonomics are bad. A downgrade from the deluxe audio strap, and the earphones pop up all the time.-Less of an FOV, due to not being able to adjust the screen closer to the eye's. You will however have plenty of room for glasses  if you wear them.-Vive wands which is a blessing and a curse for if you opt for knuckles some games have little to no support for them.-Vive console I hate their software and mostly choose to ignore it-So called free two months, Same trick a lot of services use by making you give them your credit card information to sign up for a trial and then hoping you don't remember to cancel it or make it tricky to.-Terrible mic your gonna want to just use your own headset.
","Reviewed in the United States on April 6, 2021",3, Cosmos Elite Headset Only,"
Somone should be fired for desighning this
"
2022-05-23 10:46:39.641070,"
After replacing my OG Vive with this, I couldn't even get it to work. I found out later I apparently needed extra software so I never got to even try it after returning it! Even still, had it worked, the flip feature is garbage. It only flips enough to see your feet. I had hopes I could test my game, flip it up, fix some stuff, flip it back down, etc. No beans. You cannot see forward when flipped up unless you lean way back, so what's the point? Further, for this crappy feature, you sacrifice comfort. You cannot adjust it in a way to get pressure on the bottom of the headset. You can tighten the top which loosens the bottom even more and allows you to see out the bottom. This ""upgrade"" is a complete dud. I'm very much happier with my OG Vive. Too bad they don't sell those anymore!
","Reviewed in the United States on August 4, 2020",1, Cosmos Elite Headset Only,"
Zero Comfort - Flip Has no Benefit
"
2022-05-23 10:46:39.659996,"
OK, first of all I feel that you have a right to an opinion with experience. That being said, my opinion is based on having and using a Rift, Index and Vive Pro headsets. I was interested in this Cosmos headset because of the flip up convenience and the LCD display that by SOME users claim to be better than the OLED display that my Vive Pro has. So! after trying this headset I found that looking side to side it made me nauseous. Having MANY hours inside VR this was a concern. After trying everything I could, (even swapping lens between the Vive Pro) it made no difference. I also had my son try them on and he agreed. I called HTC support and he had me do everthing I had already tried. ( I gave up on that chat). I think the problem is SOFTWARE! The Cosmos was designed for inside out tracking! The Elite is an ATTEMPT to use the much better base station tracking. DID NOT WORK for me. NOW I have a exspensive headset setting in a box. :( . Lession learned. If you have any problem with an item just send it back ASAP! Don't try to figure it out or fix it. You will end up with it in a box. :(((((((((
","Reviewed in the United States on February 5, 2021",1, Cosmos Elite Headset Only,"
HTC NICE TRY!
"
