scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 10:34:18.302575,"
I'm passionate about VR and have been since i first played Dactyl Nightmare in the 90s.  I enjoyed the Vive a ton and the upgrade to the Vive pro is a huge step in terms of visuals.  Everything is clearer, the screen door effect is nearly gone and the headset is much more comfortable.  The built in headphones are great and seem better than those on the premium strap upgrade but are still basic.In the box for my unit was an annual Viveport Subscription which gives you access to 5 games a month for 12 months (worth $144 CAD) & a Viveport credit of $125 CAD to purchase games.If you already have a Vive and enjoy it a lot, this is a great upgrade.  If you don't, the price tag just doesn't make sense.
","Reviewed in Canada on April 26, 2018",4, Vive Pro Headset Only,"
I enjoyed the Vive a ton and the upgrade to the ...
"
2022-05-23 10:34:18.472912,"
Image quality so much better than original Vive. Headset is much more comfortable and cable more compact and less distracting. Screen door effect much less noticeable though not entirely eliminated. God rays effect is lessened too though still present especially for games with deep blacks such as Elite Dangerous. There remains an issue with the sweet spot of focus for me, still too narrow (compared to say the Quest) causing blur at the edges. Perhaps related to FOV, though I have an above average head size and pupil distance which might be the cause of this in my case.Still, overall a terrific improvement, which with a slightly lower price and the addition of wireless would easily be the best VR I've experienced yet.Loss of one star though for the price which even as an upgrade is a little on the high side, and far worse for the whole package.
","Reviewed in Canada on July 4, 2019",4, Vive Pro Headset Only,"
Very nice upgrade, a bit pricey for everyone else
"
2022-05-23 10:34:18.487872,"
So I have had this for a few days now, and would consider myself a VR enthusiast. This is purely for personal use, no business or professional stuff at all. And I paid full price... so part of me wants to feel good about the money I spent, but I'm well aware it is still overpriced.Main take away; the increased pixel density is noticeable. Text is much easier to read, and everything is much more clear. As you have surely read, the screen door effect is not gone. But, it's far less intrusive. I found particularly in driving games on the regular Vive it was distracting. But now, it's minimal. This is a big plus, and 90% of the reason I wanted it.Audio. The speakers are much worse. Really disappointed there. I have been hooked on Beat Saber, but now the music sounds super flat and dull. Takes the groove out of the game.Update: use a powered USB hub, seems to help a lot.Comfort. At first, I was afraid it was worse, but then watched the video and now it's about equal I'd say. Perhaps better balanced. Put the mask on first, then lower the strap behind you after, and then adjust the top strap last. Then move the ear pieces. It's pretty  good, but not a huge improvement.Other things I've noticed, every now and then the audio is very crackly. Have to reboot it to fix. And I'm noticing my base stations are wonkier than before. Maybe a firmware update is to come.So, if you love VR, this is a good buy. It makes everything better. If you have kinda slowed down using VR, this probably won't reignite the flame, unless you mostly like driving games, or maybe text heavy games like Elite Dangerous.
","Reviewed in Canada on July 13, 2018",5, Vive Pro Headset Only,"
If you love VR, this is what you want. If not, wait for next gen.
"
2022-05-23 10:34:18.503084,"
I was very skeptical about Vive Pro and the overall improvement in resolution and SDE based on so many people complaining that the difference is not much noticeable. I took the dive anyways and bought the Vive Pro, and I'm happy to say It's a major improvement. I see a clear difference with higher resolution and image clarity. SDE is much reduced. While perceived image quality is subjective but I would say anyone who claims that there's no noticeable difference need to have their vision checked.The SDE effect is still there though and noticeable but not as horrible as OG Vive. Also, major improvement in comfort as well compared to OG Vive with DAS. I have Vive Wireless Adapter on top and still the headset is extremely comfortable for hours of gameplay.One star off for audio quality which is a complete disappointment compared to DAS. I don't have tinny sound issues as many were reporting, but the volume and bass levels are extremely lacking for my taste. After hours of researching and troubleshooting I ended up 3D printing Vive Pro bass clips that press headphones more firmly on my ears (you can get the 3D file from Vive Community discussion forum).Lenses, FOV and god rays are exact same as OG Vive. I bought a 6mm face foam that allows for a little improvement in FOV. The cable compartment door on headset is way too flimsy and easy to break. It's a bad design. Be careful when opening and be gentle.Mic quality is on par with OG Vive but overall it's not good. I don't use mic anyways. Camera quality is a bit worse though. Currently there's a bug with SteamVR that it doesn't allow to change camera rate so it's locked are 45. If I can change it to 60 and notice improvement I'll update the review. The dual camera stereo room view with pass through is extremely cool, but again everyone is experiencing a bug now that the stereo separation is incorrect and you feel like cross-eyed.Amazon initially shipped an open box (seal broken) but they were quick to send a new sealed box the next day so again best service from Amazon to quickly correct the mistake.There are currently other headset on the rise such as Pimax 5K+ and 8K, but it all depends on your choices and priorities. My #1 priority is wireless. Wired VR gaming was never an option for me and a total immersion breaker. My first dive in VR was with OG Vive, TPCast and Fallout 4 VR, so that's where I'm coming from. I've never played wired. Pimax headsets consumer launches are months away, and no updates on wireless module plans. I can easily give up a wider FOV for wireless option and better support any day.The bottom line - Vive Pro is the ultimate current headset available for consumers. It has it's pros and cons but it depends on your priorities, system specs, choices and budget. Is it worth 999? Absolutely not; it's way overpriced. Is it the best headset? Yes absolutely, depending what your prioritize.Until Pimax 5K+ ships with a wireless module or the Vive 2.0 becomes available, this is the best of the best you can get. Hoe this helped.
","Reviewed in Canada on October 21, 2018",4, Vive Pro Headset Only,"
Major improvement in resolution and SDE but bad audio
"
2022-05-23 10:34:18.515974,"
It wasn’t made clear that the headset doesn’t come with everything you need.  Does not come with the base stations, had to purchase after seeing on the box that they are required.  Also the headset was very finicky to set up, constantly failing to connect and randomly asking for firmware updates after already having done previous firmware updates.  Seems like the software could use some improvement.  Shortly after setting up the headset a brand new video card failed, not sure if that’s related or not, but if it happens again after replacement I’ll update my review.
","Reviewed in Canada on March 13, 2019",2, Vive Pro Headset Only,"
Finicky setup, poor software
"
2022-05-23 10:34:18.530931,"
The Vive is still my favourite VR headset on the consumer market. Having room scale VR has been a fantasy of mine since seeing the holodeck on Star Trek and immediately asking my mom where we could buy one. I love getting lost in a world that is a little weird and takes some getting used to, but it's still me in it. Unfortunately the Vive pro missteps in several key areas.First off the good points. The image quality is fantastic. I did a side by side with the original Vive and there is a noticeable difference in clarity. Being able to read text from across the room like at an optomitrist office is not able to be done in the original Vive. In the pro i was able to read across the entire play space which is a good 10 feet. This will no doubt become far more important as VR games get more detailed. Another big plus is the strap. It is easy to adjust to basically any head size including my massive head. The frame fits snugly and the foam has enough give that it doesn't hurt my head. The weight is also well balanced. The original Vive was noticeably front heavy. The pro addresses this issue with the heavy duty plastic wrap around design and it does feel more comfortable. This made playing longer sessions much better.What I absolutely cannot endorse are the included headphones. They sound like the old blown out speakers my middle school used in classrooms. For most gamers this may not be a big issue. However, take a look at the number 2 top selling VR game. Beat Saber. A rhythm game with VERY bass heavy music. You do not get the same impact during the song if it sounds like it's coming out of a tin can. Props to HTC for making these removable. I encountered a similar problem with the original Vive, but this issue was resolved by my lovely pair of bluetooth headphones. The super comfy strap unfortunately means that headphones do not sit on your head properly.  This makes waving your arms and head around really challenging which defeats the whole point of VR.The Vive pro definitely proves that it is the best quality consumer headset out there right now. The picture is great and it is more comfortable than its predecessor which might be enough to justify the increased cost for some. For audiophiles like myself it is a disappointment. I will stick with my original Vive for now and hope that the next gen headset can deliver a truly upgraded experience.
","Reviewed in Canada on January 25, 2019",3, Vive Pro Headset Only,"
A mixed bag
"
2022-05-23 10:34:18.545891,"
Étant déjà propriétaire d'un vive qui malheureusement ne fonctionne plus j'ai décidé de prendre le pro, pour pouvoir jugé moi même du casque.Pour:- meilleur maintien-presque plus d'effet grille-moins de jour à l'intérieur du casqueContre:-le prix!!!-probleme de confort au niveau du visage à la longue
","Reviewed in Canada on May 31, 2018",3, Vive Pro Headset Only,"
Que des plus, sauf le prix...
"
2022-05-23 10:34:18.559714,"
The headset alone does NOT work without a Lightbox. It does not even function as a screen. Only buy if you have the other items in the set will it work!
","Reviewed in Canada on April 18, 2019",4, Vive Pro Headset Only,"
Headset Needs the Kit to Work!
"
2022-05-23 10:34:18.574676,"
Had the regular vive at first, but the ""screen door effect"" bothered the hell out of me while playing Elite: Dangerous.Upgraded to the pro instead.  ZERO REGRETS.
","Reviewed in Canada on September 2, 2018",5, Vive Pro Headset Only,"
SHEER, UNADULTERATED AWESOME
"
2022-05-23 10:34:18.589634,"
Screen door effect reduced a lot and you have much better overall impression while playing stuff.
","Reviewed in Canada on October 8, 2018",5, Vive Pro Headset Only,"
It's noticeably better than previous gen
"
