scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-22 15:06:52.408406,"
There are a lot of positive reviews for this headset, but I feel like there's a lot of problems that people didn't detail about. I bought this optimistically, thinking it would be amazing, but there was a lot of trouble I experienced during its set up and use. This is a bit of a long read, but please bear with me.First off, you NEED, and I mean NEED, a (newish) smartphone with an Internet connection to set up the Oculus Quest. You can't even emulate an Android to do it. You CANNOT avoid that requirement whatsoever. In my case, I didn't have any smartphone that wasn't old, so I had to call a friend over to use his to get it set up. You also need Wi-Fi, preferably 5 GHz. There is no PC activation with the Quest; heck, the Quest can't even connect to the PC without a third-party hack. Don't expect this headset to be the same as a Rift, because it isn't. It is purely standalone, and you're stuck with its own Oculus app store. Plus, you must connect your Facebook account to the Oculus AND provide payment details (e.g. credit card info) in order to complete registration. This is a huge privacy issue that many will not like.The Oculus app store doesn't have a lot of apps in it, let alone free. All the apps that are available are easily upwards of $20 a pop. This doesn't bother me too much since my sole reason for buying it was to wirelessly watch 360 videos on YouTube VR, but for others, it will be a major turnoff, since the Quest doesn't come with any free games, just demos. For such an expensive headset, you'd think that Oculus would be generous enough to bundle some free full games with it, but I guess they just want to milk their customers with the novelty and hype.The headset itself is heavy and a bit uncomfortable. It constantly sags forward no matter what you try to do, so you'll often need to support it with your hands. The cushion that goes on your face isn't really that great either; it feels like it pushes in on random spots.Another problem I experienced, which Oculus needs to address, is quality control. The lens that came with my Quest had permanent streaks on the INSIDE, which you can't avoid seeing. It almost felt like the headset was refurbished. It's not too bad during bright scenes, but anywhere else, I see them blurring my vision. I'm not going to get an exchange for something like that now that I've gone through such a pain to get it set up, but Oculus seriously needs to get better quality control.Overall, aside from all of those issues, the headset itself is nice and does what it is intended to do, but the video quality is really poor for 360 videos (other apps seem to be fine though). I don't know if it's just because most YouTube content is still at low resolution right now, but it feels like I'm watching 480p video most of the time. This is likely not a Quest issue though; it's probably the same no matter what headset you buy.As a beginner ""early adopter"" headset, this is pretty good for its price, but that's about it. I'd stay away from VR headsets for at least a few more years, since the technology still isn't perfect. In my particular case, since I'm strictly planning to use a VR headset for 360 videos, I'm content, but for people looking to immerse themselves in gaming, I'd recommend not doing so for now. There's still not enough content, quality, and performance to justify the price.
","Reviewed in Canada on August 3, 2019",3, 64GB,"
A good VR headset, but with many caveats; READ THIS BEFORE YOU BUY!!
"
2022-05-22 15:06:52.586927,"
It is great but you need to keep some things in mind before you buy. First, you need a mobile phone to do the initial setup. Comfort- I find it pretty good for about an hour then the contact points on my face start to get irritated.  THis isnt a huge problem because I can only play for 2 hours anyways before the batteries are getting low. 2 hours of gaming is long enough for me.  Ive tried HTC vive pro and Vive, both of which need a powerful PC to work. BOth didnt feel any more comfortable to me than the quest. I also didnt feel any video resolution difference between any of them was worth noting (vive seemed worse but it was still enjoyable) but I also only like watching movies in 720p max because I dont like 1080p. Being wireless and not reliant on a computer is great but the option will be there in NOvember to connect it to a powerful gaming computer and give you access to the Oculus Rift games library on Steam. I find the Oculus controllers were way more comfortable and nicer to use than HTC  (personal preference I am sure). I spent alot of time between spending a massive amount on $$$ on a fancier headset but in the end, I loved the controllers better than the HTC, I love the portability of the headset (people at work can try it), it is super simple to setup, no messing around with sensors, just draw a circle around you with the controller and start playing.  I loved that it is ANdroid and there is a large unofficial sideload site for games and I love that I still have the option to play all the steam VR games so I have all the same options for games as any other headset and the price is right.
","Reviewed in Canada on October 25, 2019",5, 64GB,"
Its great but there are some ""buts"".
"
2022-05-22 15:06:52.599893,"
Basically, a PlayStation/XBox Killer. The trade-off in graphics is well worth the added playability of this standalone device. Even veterans of VR will agree. This is a milestone for VR and gaming. Cannot recommend enough.
","Reviewed in Canada on May 23, 2019",5, 64GB,"
Keeps it's promise and more!
"
2022-05-22 15:06:52.609867,"
If you want to get into VR, this is THE product to buy. Here's why:1. No wires. Nothing to wrap around your neck and take you out of the experience.2. Set up is easy. So much easier than any other high end vr headset.3. The library is growing quickly. It launched with 60 great games, and will be 100+ by the end of it's first year.If you're on the fence, just check out other reviews online. There is a reason why everyone is giving this near perfect scores.
","Reviewed in Canada on July 4, 2019",5, 64GB,"
This is the future of VR
"
2022-05-22 15:06:52.618842,"
My 14 year old wanted this to replace his Oculus Go that he got last year. He found he was not using the GO, as gaming was not great. The Quest is definitely a step up and rather a neat concept, where you can set boundaries and play. The games are good, but a couple issues where the device was not perfect for our family. First our ceilings in our basement are only 7.5 feet tall and many of the games required hands above the head and you hit the ceiling. So our living room was the only room it worked in, but this is not s gaming room. Next my boy loves playing online with his friends, as he was the only one who had the system this could not happen. Lastly the video is good, but not perfect. I am sure Oculus could make it better, but suspect that would raise the cost too much. So in the end after playing extensively for a week the device began to collect dust and we sent it back.
","Reviewed in Canada on October 9, 2019",3, 64GB,"
Very Good, but not awsome
"
2022-05-22 15:06:52.631808,"
Everything about the Quest is incredible, but it has two major flaws, it is too front heavy and really uncomfortable, strapping a weight to the strap that wraps around the back of the head helps, but this shouldn't be necessary for a device of that price, the second flaw is that casting to a TV is barely functional, there is an up to 10 seconds delay and the image is highly compressed and constantly stutters, with that said I decided to keep the Quest and I'm having a blast so far.
","Reviewed in Canada on September 16, 2019",3, 64GB,"
Awesome device with some flaws
"
2022-05-22 15:06:52.642778,"
VR is really awesome, much more awesome than any youtube video can make it look like and Oculus Quest is a great implementation of VR. If you've already tried ""phone to the face VR"" understand that this is a very different type of experience, and Oculus Quest delivers all the key features.You feel immersed in the world, the games are fun the controllers feel great. Battery life is about 2 hours on a full charge, and while it might sound short don't compare it to a Nintendo DS's 5-8 hours or the like .. as you don't really carry this with you on the bus. You can play and charge if you want really long play sessions.Low point(s) are some potential discomfort due to the weight of the device and the so-so speakers. With regards to comfort, I've played around with the adjustable straps and found a good position that works with my rather large head. With regards to sound, the speakers are serviceable but not very loud and gun shots or music will lack bass, but you can easily plug your own headphones with a 3.5mm jack (I don't recommend Bluetooth due to general latency).All paid games I've tried were a lot of fun, and even the free to play games were great. If you've had the itch to try out VR, you can't really go wrong with the Quest.
","Reviewed in Canada on June 7, 2019",5, 64GB,"
Prepare to have your mind blown
"
2022-05-22 15:06:52.652752,"
Easy and quick to use, comfortable and reliable. Definitely a huge step forward for VR accessibility all round. Battery life night not be enough for some, and limited range of titles right now (though fair for launch). But being able to ditch the cable is undoubtedly the highlight for me over the more expensive Vive (which I also own). A genuine game changer. Highly recommended.
","Reviewed in Canada on June 6, 2019",4, 64GB,"
VR for everyone
"
2022-05-22 15:06:52.669219,"
Produit fantastique ! Achetez sans hésiter vous allez vous amuser longtemps. L'oculus Quest n'a aucun fil donc aucun problème pour vos mouvements, les jeux comme Beat Saber, Drop Dead, SUPERHOT et BoxVR sont addictifs et fantastiques avec l'immersion, et pour moi, il est super confortable. De plus, si vous avez des lunettes, un espaceur est inclus afin de jouer tout en les gardant sur votre visage.C'est un must-have pour tout ceux qui aiment la technologie et s'amuser.Je comprend qu'il peut paraître cher, mais il en vaut le prix. Le seul défaut que je lui trouve sont les jeux qui coûtent un peu chers. Ils vont d'une dizaine de dollars jusqu’à plus de 35 dollars pour certains.
","Reviewed in Canada on November 4, 2019",5, 64GB,"
WOW !
"
2022-05-22 15:06:52.679192,"
So much fun and such a great experience. My wife said she ""can't believe something like this even exists"" which sums it up pretty well. Graphics are good, not amazing, but the freedom to move around anywhere helps create such an immersive experience.The only downside is I bought it for myself and my friends and wife are hogging it!
","Reviewed in Canada on May 25, 2019",5, 64GB,"
Incredible fun
"
2022-05-22 15:07:02.975124,"
The Oculus Quest is the first VR device for me to have a hands-on experience. The headset fits comfortably and the straps can be adjusted to your liking. Audio speakers are pretty decent, although you have the option to use third-party ear buds. Some people have complained about the weight issue in the front but I have no problems whatsoever. The touch controllers feel grippy and has wrist straps so you don't have to worry about dropping them. Battery cover is also magnetized which I find it to be neat and convenient for quick access. There are a plethora of games in the Oculus store and I'm in love with Beat Saber! This device is very portable and family friendly because there's no cable involved and the setup is quick and easy. Oculus released their 'Oculus Link' cable which allows you to connect to your PC. An added bonus twice the fun!I highly recommend the Oculus Quest as it is priced lower than other devices, and it allows one to experience VR in a more convenient way without the cables and motion sensors hassle that are involved with other VR devices. You'll have a ton of fun whether by yourself or with family and friends! I look forward to the future of VR technology.
","Reviewed in Canada on January 13, 2020",5, 64GB,"
Mind blowing experience!
"
2022-05-22 15:07:02.984100,"
My only complaint about this headset is that the minimalist exterior design is so sleek they actually hid the important setup buttons (like how to power it on for the first time). I also ran into a slight issue updating the firmware on both controllers during the initial setup -- for some reason it ""forget"" the controller during the update and setup, and the controller was needed to continue. A quick reset fixed the issue and then I was back in business.Once everything was set up, the rest was amazing. We tried playing around in the tutorial, which by itself was enough to blow our minds -- the graphic quality is incredible considering this thing is running on a snapdragon. I guess my expectations were pretty low, but everything was crisp, colourful, and extremely detailed.After completing the tutorial we decided to grab Vader: Immortal, Episode 1 and that really was the icing on the cake. Unlike the tutorial, which goes for a more animated approach, Vader: Immortal made you feel like you were a character in the movie. The first time Darth Vader approaches you in the game you'll find yourself breathless... it really is cinematic quality VR.I have a little Plex server set up as well... to my surprise, I figured up the pre-installed movie system and started watching *cough* home videos on a screen the equivalent size of an Imax. The quality on the movie was very crisp... I was a little worried it might be a little gimmicky. It's probably the equivalent of watching a 1080p movie on a 72"" screen in real life.The next thing we tried was some of the free YouTube 360 videos. Within a minute I was on stage watching Ed Roland (Collective Soul) from 2 feet away, followed by some Switchfoot, and about a dozen other bands. We decided to change gears and went for some underwater videos swimming with sharks. The 6 degrees of freedom is crazy in these videos.Finally, in real life I get motion sick as a passenger in a vehicle. I was worried that the Quest's 72Hz refresh rate would make the whole thing unplayable. To date, there has only been one video I played that made me feel a bit queezy and I think it was something to do with how the video was created. Even the fast motion stuff in games hasn't bothered me -- but, I haven't spent more than 30-45 minutes a time playing (because everyone in the family is fighting to play around with it).Overall, this felt like an ""on the fence"" purchase but I have zero regrets. It was our family's first VR purchase... considering its just marginally more expensive than a console, and given the gaming, movie, and educational content, I would say you get far better bang for your buck with this thing than a console.
","Reviewed in Canada on October 4, 2019",5, 64GB,"
Amazing Technology
"
