scrapping_date,one_reviews_text,review_date,one_review_stars,Rating
2022-05-18 18:18:50.163686,"Oculus quest, it's amazing I love it.  provides you amazing experiences.  The first day I got dizzy and a little nauseous but then you get used to it. Personally I recommend it, you will not regret it, it is worth paying for the game",2022-05-18 18:18:50.163686,5,5
2022-05-18 18:18:50.298665,Very nice.handiness and easy to use.it's very cool look like.,2022-05-18 18:18:50.298665,5,5
2022-05-18 18:18:50.298665,"As always the packaging and unboxing is an experience in itself, and it's fun to get setup and turned on but honestly the pairing process was frustrating. 

One issue I had during setup was on my app it didn't show an option for Quest 2, and the app was up to date. So without any indication why it was because I didn't merge the FB account at first so it just wouldn't acknowledge the option of a Quest 2 even existing let alone pairing. This was frustrating for about 10 minutes and wish they'd made this clear this is how it would restrict non-FB access. 

Once setup, first impression were that the head strap included didn't adjust as dynamically to let me fit it more uniformly on my face, and with the removal of the eye adjustments and changing it to only 3 static settings, I see permanent edges on the edge of my vision now which is annoying when I notice it, although during play my brain blocks it from my conscious site. 

Once setup and in play, the headseat is lighter which is a big plus, and controllers feel a bit wider for a better grip, the image quality is smoother and cripser being higher resolution and refresh rate, and the load times are much better for the games I've played on both this and Gen 1. 

Overall if this is your first VR headset you will absolutely love it, but ultimately having both I've found myself using the Gen 1 more and letting my wife use the new one.",2022-05-18 18:18:50.298665,3,3
2022-05-18 18:18:50.298665,"Awesome investment! I’ve always wanted something different besides the average game console, AND I FOUND IT! Huge difference In game play between Xbox, PlayStation etc. If you’ve never tried VR  DO IT, it’s awesome. For the price the quality, and on top of all that, it’s mobile! Worth the money.. I think the only complaint I have is the battery only gives you about 45-1.5 hours of play time, so I had to purchase an external battery pac for it. Also when you have been on it for quite some time it does start to get a little warm/hot and does start glitching or freezing while on a game or whatever you may be doing at the time. other that that it’s a super buy.",2022-05-18 18:18:50.298665,5,5
2022-05-18 18:18:50.313663,"Excellent stand alone VR headset, no PC required, easy to travel with, take it anywhere (dry) Can also play PC VR games if you connect to a PC. Charge it, download your games and play. Once games are downloaded, no WiFi needed. Multi player mode available online with friends, not all games.",2022-05-18 18:18:50.313663,5,5
2022-05-18 18:18:50.313663,The oculus quest 2 is AWESOME I would totally recommend for anyone it is the best thing that has EVER entered this earth,2022-05-18 18:18:50.313663,5,5
2022-05-18 18:18:50.313663,"This is insane, new experience i'd recommend this to everyone.",2022-05-18 18:18:50.313663,5,5
2022-05-18 18:18:50.313663,"This is exactly what I wanted out of a VR headset. The stand alone portion of the Quest 2 is an excellent alternative to needing a strong gaming PC. Quest 2 optimized games are so far fluid and with great detail. The upgraded 90Hz refresh rate does make a nice  difference over the original Quest's 72Hz for smooth movement in games and applications. I have no regrets in purchasing this headset. My only gripe is the stock head strap is a little flimsy and doesn't really provide a great fit for extended use. I definitely recommend purchasing the Elite Strap for comfort and fit. The photos I've uploaded are with the Elite Strap installed, not the stock one.

Aside from the built in VR hardware you can use the Oculus Link cable for a pretty great PC VR experience. I've played many games via the Link and all have been great. It works equally well with SteamVR as it does with the Oculus software. I played Halflife: ALYX via SteamVR perfectly fine with the quest 2. The visual quality using the link cable is very nice. Just make sure your USB 3.1 drivers are up to date and Windows 10 has it's latest updates installed.

The included controllers are as good as any other VR controllers I've used. They are a little less cumbersome than the PSVR wands. They are also as good as the original Quest controllers. The battery life is better than the original Quest's. Make sure you use the attached hand straps to avoid throwing your controllers. Seriously, just use them.

My only regret, and I knew this going in, is the Oculus software and link are only supported on recent builds of Windows 10. I would love to have some sort of Linux support, even if minimal. But like I said I knew this going in so I didn't have unrealistic expectations. There is always the off chance the hardware will be reverse engineered and community created Linux support may be possible. But don't buy this headset with the hope of this happening.",2022-05-18 18:18:50.313663,5,5
2022-05-18 18:18:50.313663,"Let me start with this. If you want to get an amazing VR headset, standalone or PC, without shelling out the big bucks, I highly recommend this.

Pros:
Lighter on your face
Higher resolution (1832x1920 per eye)
90Hz refresh rate (is currently locked to 72Hz but can be unlocked with some tinkering, will be enabled more easily in future update)
Amazing tracking
Up to 256GB of storage

Mehs:
Strap is uncomfortable (I’m picking up an elite strap today and will edit the review if I can)

Cons(?):
Facebook login required (I don’t really mind this but I understand that some people aren’t comfortable with this)
IPD adjustment (3 settings instead of a slider fixed at 58, 63, and 68 mm)",2022-05-18 18:18:50.313663,4,4
2022-05-18 18:18:50.313663,"I had the Oculus Quest (1) 
The first difference that I noticed is the material of this device, you can see a huge difference this white one does not looks pricey, it lighter you can really feel this while playing and that is the best, If I had to tell someone if they need to change your old device for the new one, I would says do it, sale your currentone and with that money the nee one, so you will be ready for the next games.",2022-05-18 18:18:50.313663,5,5
2022-05-18 18:18:50.418645,"This is my first venture into VR and I couldn’t be happier. I’m not a big gamer and it was a week before I even tried one since I spent so much time looking at VR scenery around the world and watching concerts in virtual reality that made it seem like I was there. The exercise apps are also incredible and I am getting good home workouts. Once I tried a few games, I found them to be incredible and am now becoming a gamer. 

I also got the Logitech G333 VR earplugs that I recommend as they are designed for this device and can be left permanently  attached. 

This is a great device for gaming but even if you are not a gamer, it is worth getting.",2022-05-18 18:18:50.418645,5,5
2022-05-18 18:18:50.418645,"My sons love this addition to their gaming, they use it as an exercise equipment. 
I didn’t understand until I gave it a whirl, makes a workout fun!!",2022-05-18 18:18:50.418645,5,5
2022-05-18 18:18:50.433623,Exactly as ordered. Could not be more pleased with the products. We have 3 Oculus Quest 2 and my family loves them.,2022-05-18 18:18:50.433623,5,5
2022-05-18 18:18:50.433623,The best purchase ever! We love it! And the peace of mind Warranty we got with it!,2022-05-18 18:18:50.433623,5,5
2022-05-18 18:18:50.433623,I've never had VR before but I am really enjoying the Oculus Quest 2.  I find it's very comfortable to wear.  It's also very lightweight.  Just waiting for more games to come out. The virtual hands are really out of this world.,2022-05-18 18:18:50.433623,5,5
2022-05-18 18:18:50.433623,Excellent addition to our home gaming area l.we are happy with out purchase as our rep was very helpful with setup instructions after purchasing this.,2022-05-18 18:18:50.433623,5,5
2022-05-18 18:18:50.433623,"Everyone Absolutely loves this Game! Saved our Christmas! Besides, New Xbox & PS5 ‘s were sold out..",2022-05-18 18:18:50.433623,5,5
2022-05-18 18:18:50.448639,Amazing headset. My wife enjoys it! The investment was worth it.,2022-05-18 18:18:50.448639,5,5
2022-05-18 18:18:50.448639,This was our family gift for us.  Very fun to play!,2022-05-18 18:18:50.448639,5,5
2022-05-18 18:18:50.448639,"I have done several VR games in physical locations and absolutely love this next level gaming style.  So naturally, when the Oculus Quest 2 came out, I did some extensive research on the product (youtube channels), and made the decision to purchase. 

I swear, this is probably the best purchase I could have made. As a huge star wars fan, I absolutely love the Vader Immortal episodes. There are 2 games I havent started yet, out of respect for my fiance and the fact that she wants to do this together, which are Thrill of the Fight and Pathogen. 

I usually lift weights in the evenings and after Im done, I'll put on the Oculus 2 and finish off with a light cardio at the light saber dojo. Make sure you place the settings for 360 attack. Another awesome feature that I have just figured out is that when Im fighting against droids and a laser is about to be shot in my back, I can move the light saber over my head and deflect the shot, then turn around and take out the remote droid shooting you. 

My fiances birthday is coming up in a week and I have ordered her an Oculus 2 and other accessories as there is a movie app called Big Screen in which we both can watch movies together in a virtual reality environment (movie theater, drive-in theater, campfire, etc), when I am gone on a business trip. 

Best part about this is that on long flights, I can put on the headset and watch stored movies and shows through the BigScreen movie App and completely immerse myself in the movie environment. I bought seperate battery from VRcover that gives an extended 8 hours of play to add onto the 2 hours you get with the Oculus Quest 2. Throw on a power bank and youll be playing for hours. Give the Oculus some time to cool down every hour or so. Other than that, absolutely perfect!

Another awesome feature is that I can sync my desktop from my laptop using the Desktop App, lay in bed, and undergo additional I.T. training as if Im sitting on a computer and studying. This thing is freaking awesome! 

Ive had this since the end of march and the more I use it, the more Im realizing its capabilites.",2022-05-18 18:18:50.448639,5,5
2022-05-18 18:18:50.599781,"Santa got this for my 16 y/o son. I don't have much experience in VR, but this system blows me away. The controls are tricky to get used to, especially for the kiddos who are used to XBox controllers. If you have a weak stomach, you might not want to dive too deep. The tutorial was enough for me. Besides, just watching someone else do it is hilarious. For the price, whether it's the 64 ($299) or the 256 ($399), it would've been nice if it had at least ONE game included.",2022-05-18 18:18:50.599781,5,5
2022-05-18 18:18:50.615145,"Great purchase! I had it shipped to my house without any problem. I got notified ahead of time letting me know when it would be delivered so it didn’t get stolen off my porch! Yay! In my opinion, The Quest 2 is way better than the Original Quest, with the exception of the controller button pad having the circle shape vs. teardrop shape on the original. The bigger circular pads keep you from being able to fully wrap your thumb around the controller. It only allows you to rest your thumb on top of the button pad next to the buttons, which makes it feel like you don’t have a solid grip when playing games where you want to swing the controllers as hard as you can (like Echo Arena). But, they do have better haptic feedback so it’s a trade off I guess. The headset is awesome though. It’s lighter, has better graphics, and better audio.",2022-05-18 18:18:50.615145,5,5
2022-05-18 18:18:50.619136,I love my quest 2 and the fact you can communicate with others on the game system meet new people etc. You can travel everywhere do just about anything without leaving your home. I really enjoy it. The only problem I have is the headset straps hurt my head and gave me an headache so I can to purchase a different head gear from Amazon to make it comfortable also the games can be a bit pricey games range from 9.99 to about 40 dollars. Sometimes the games go on sale or have a bundle packs. You will need to purchase a extra battery to keep the vr charge if you want to play longer. Other than that I love it!,2022-05-18 18:18:50.619136,5,5
2022-05-18 18:18:50.623158,"I own the First Oculus Quest 128GB and Bought this Oculus Quest 2 256GB for My Girlfriend. I was Curious to See how much better it was compared to mine. It is a Noticeable Difference. The Visual Quality is Much more Sharper and Clear. The System Seems to Load a bit Faster as well. It is Very Nice! I'm jealous. But, I like My Black Quest Better because I Modded it with the Deluxe Audio Strap from HTC. Plus, the White makes it look like it is for a Girl. 
My Girlfriend Loves it! She Mainly uses it for Exercise. Fit VR is here go to game. She is Happy! Which makes me Happy with My Purchase. Also, 256GB is Actual only 238GB due to OS installed. So imagine how much memory the 64GB Version actually has...? Probably 40GB Something to Consider if you plan on putting a lot of Games on it. Overall, it is Awesome! You will be Happy with it. See you in VR i'll probably be in the Casino playing Texas Hold Em' poker in ""Pokerstars VR""",2022-05-18 18:18:50.623158,5,5
2022-05-18 18:18:50.626144,"Bought two of these because why not! It’s so fun playing games with my wife, it brings everyone together, I’m a VR lifestyle for life! The battery could use some work but with these extra battery packs on the head straps I purchased separately, it improved it, I have a lot of games downloaded already (32) and I still have so much storage space.",2022-05-18 18:18:50.626144,5,5
