scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 17:00:46.800239,"
The software to make this run is not available on the Pimax website. link is broken or cancelled.So product is useless. even on the support forum it is not available...... Im so upsetRevision, the next day software is back available online for download.But after trying on 2 PC, and a new RTX 2070 Super graphics card.the PC does not see the headset as a new display. Watched many youtube videos, and spent 6 hrs trying to make it connect, Product does not work.Sending it back
","Reviewed in Canada on January 8, 2020",1, 5K Plus,"
does not work useless return for refund
"
2022-05-23 17:00:46.980756,"

Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.


 Really nice 200 Fov, 120Hz Vr Headset Pimax. The only thing is tweaking the lenses distance and Pimax tool adjustments are require.
","Reviewed in Canada on April 25, 2020",5, 5K Plus,"
“Breath Taking” - Keanu Revees
"
2022-05-23 17:00:46.993824,"
I love my Pimax5K+. Used to have the oculust rift but glad I moved on to this. No more binocular vision. I use this headset mainly for flight sims and Elite Dangerous. Only negative I have is the fact that the display is lcd which as we all know do no justice to black levels when in dark scenes. But with the pitool you can improve it with the contrast/lcd settings. Still wish for LED but as of today 2020 all headsets on the market are using LCD so no choice there.Overall happy with my pimax5K+ until next gen headsets.
","Reviewed in Canada on December 1, 2020",4, 5K Plus,"
Absolutely in love with the large FOV
"
2022-05-23 17:00:47.007630,"
If you value FOV in a 144hz capable headset, and dont mind a bit of setup, look no further. The 144hz mode still has a much higher fov than the Valve index', while retaining comparable sharpness to the HP Reverb G2; if you only play racing games or flight sims, this is the only headset you should consider- unless you're not in its' IPD range. There is slight distortion around the very edges but it's not all that noticeable in-game.in terms of setup you may have to purchase a custom face foam to replace/retrofit the existing foam, much of the eyestrain complaints come from having the lens too close/far from one's eyes and you can only adjust that by modding the foam. Deluxe audio strap is also recommended(gotta 3d print an adapter/retrofit youself), anything to replace the default strap. Add in a counterweight to the rear ( i used a battery bank) and you got on of the best VR headsets on the market
","Reviewed in Canada on August 3, 2020",4, 5K Plus,"
With a little bit of setup, one of the best 2nd gen headsets you can buy.
"
2022-05-23 17:00:47.023561,"
Hardware issue. refused RMA. trash company
","Reviewed in Canada on March 29, 2021",1, 5K Plus,"
Trash company with quality issue HMD, do not waste your money
"
2022-05-23 17:00:47.040515,"
Vive・RiftといったVR機器からの乗り換え先として5K Plusを選んだ眼鏡利用によるVRユーザーです。結果としては大満足で、高視野角と高精細な描画の効果を非常に感じることが出来ています。最初に実感したのは文字の読みやすさで、ViveやRiftでは細かな字は顔を近づけないと読めない状態でしたが、5K PlusではVR内でデスクトップ表示を行った際の文字も大分自然かつシャープに判別することが出来ました。精細に映るのは文字だけではなくテクスチャも同様で、4Kテクスチャを入れていたゲームでは肌の皺や汚れや化粧、動物の毛並み、建造物や道具などの使い古した様子など長時間遊んでいても認識できなかった描画に気づかされ、これによっても臨場感が引き上げられたことに驚きました。より精細さを増すために、v1.0.0.109のPiToolでSmart Smoothingを有効・Parallel Projectionsを無効にしたうえでレンダリングクオリティやSteamVR内のSSを上げて動かしています。/_/_/_/_/ 5/19追記 /_/_/_/_/キャラの動きが速いアクション系ソフトではSmart Smoothing無効でSSを左右合計7kほどの解像度に設定し、ソフト上にてアンチエイリアス が標準で掛かっていた場合はOFFにする事が効果的でした。90fpsの滑らかな動きと、ストライプRGBの高精細パネルだからこそと思えるシャープな映像を両立でき、得られたMOD入りオープンワールドのVR映像は次元が違うと感じました。ですがソフトによっては解像度を落とさないと90fpsで動かせないものもあるため、要調整です。/_/_/_/_/ _/_/_/_/_/ _/_/_/_/また最大の特徴の左右・上下高視野角の効果も大きく、視野いっぱいに巨大モンスターが迫り覆いかぶさってくる際の迫力なども大きく引き上げられました。単純にオープンワールド上を走り回るだけの行為でも、風景が後ろへ流れていくという当たり前のことを体感可能になり、現実感が引き上げられたと感じます。上記世代のVR機器では、立体視しているものの、一般モニタのように前方の平面的視野だったと今だと思えます。他機種と比べ特殊な形状のフレネルレンズが使われていますが、ゴッドレイはRiftよりも抑えられているようです。これらの要素が合わさった5K PlusのVR描写により、よりリアルな空間で快適に過ごせるようになりました。なお快適さを向上するため、Vive用のオーディオストラップを取り付け、あえてサイズは小さいものの18mmの厚みがある通常版vive用フェイスクッションを2個利用しています。viveフェイスクッションを内側の縁に沿って押し広げてHMDに貼り付けると、ちょうどクッションのコーナー部分が眼鏡のテンプルを逃がすHMDの切り欠き部分に来て隙間が作られます。2個目のフェイスクッションはおでこの部分を切り出し、HMD下方の空いているスペースに貼ることで全周をカバーしました。こうすることでクッション性と眼鏡スペースを確保しつつ視野角も出来るだけ保たせ、また鼻の広い空きスペースが埋まったことで、遮光性を向上させることが出来ています。特性としては良いHMDですが、あくまでVR機器やデジタル機器を使い慣れている人向けの製品とも感じています。私の環境ではマザーボード上のUSBポートでは機器の認識不安定化やトラッキング不可の症状が発生し、電源付きUSB増設カードのKT4001を利用すると安定化しました。機器電源のON, OFFの手順によってはHMDの画面に横線のノイズが入った状態になる、コントローラーのペアリングが出来ているのにPiTool上で一方だけ認識されないなどその他細々とした挙動もあります。ですがまだまだ日本語でのトラブル解決への情報はまとまっておらず数も少ない状態です。現状は自分でいろいろ情報を集め考えることが要求される機器との認識は持つ必要があると思われます。
","Reviewed in Japan on May 14, 2019",4, 5K Plus,"
後ろへ流れていく風景と高精細な文字・テクスチャによるVR描写
"
2022-05-23 17:00:47.065632,"
I took a leap and purchased the Pimax 5K+ after seeing reviews on sim racing comparing the increased FOV. It has to be experienced to understand just how much more you can see while sim racing & the clarity which provides better viewing of signs & markers in the distance. I do notice slight warping on the edges, but to me in sim racing, this adds to the feeling of speed in an view area you a rarely focused on.The headset is also lighter which reduces the fatigue I would get from the Vive with Wireless adaptor. It is difficult to go back to the Vive binocular style FOV, but I do when I want wireless freedom in room scale.Cons:- I have a 4 monitor sim racing setup (triples + stats above) & so I run out of ports to plug the Pimax in (DP). Would be great if some headset manufacturers included compatibility / adaptors to use with the USB-C ports on RTX cards.- Tracking doesn't feel as smooth / accurate as the Vive when trying games in Room scale, so I tend to still use my Vive with the wireless adaptor.- Would be great if they could work out a wireless implementation, even if it had to reduce the FOV/Hz.Overall, I am excited to see reviews on the upcoming Pimax 8KX & will consider upgrading.
","Reviewed in Australia on January 4, 2020",4, 5K Plus,"
Huge step up in visual quality & FOV from the Vive
"
2022-05-23 17:00:47.078366,"
Pros:The VR experience is amazing, specifically the field of view and resolution.compatibility is also great. no problems there.fits large glasses.minimal screen door effect.Cons:For the price, the build quality is very very poor. This is not an exaggeration. The plastic feels like that of a toy's. A cheap toy at that. This is also no exaggeration. The strap velcro is also weak, and the stitches are already looking worn out after only 1 week of use.The strap is also very uncomfortable. The area where your nose goes has no foam or soft material! it is simply a thin fabric covering a rough plastic.The quality of the wire also feels poor. especially the power adapter. Would have been great if the man cable was removable.Light shafts/god rays through the lens are also visible at times.for the price, I do not recommend this product. It will be better to buy a vive with everything included for a lower price.
","Reviewed in Australia on August 18, 2019",4, 5K Plus,"
Excellent VR experience but poor build quality.
"
2022-05-23 17:00:47.091236,"
視野角と解像度については良いと思いますがそれ以外は無印vive に勝てません。VR体験は視野角や解像度が重要なのではなくて感じるストレスがより少ない方が没入できると言うことがよく分かりました。トラッキング性能も非常に悪いですし色味も白っぽくて特にくらいエリアでは総合的に画質は悪いです。また、いきなり使えなくなったり使えるようになったりとまだ製品として売り出すにははやいのでは？と思ってしまいました。私の買った本体の不具合なのかなのかもしれませんが。正直HTCやOculusも広視野角、高解像度の製品作ろうと思えば作れるにでしょうが総合的に製品として出荷するためには何を優先してコストを割くか考えた上での今の製品群なんだと思います。多分ほとんどの人が買って後悔すると思いますね。
","Reviewed in Japan on July 7, 2019",1, 5K Plus,"
全然ダメ。
"
2022-05-23 17:00:47.105404,"
Coming from oculus Rift. The first time you put this on you're amazed by the FOV and sharpness.But the novelty starts to wear off fairly quickly. It's uncomfortable and tracking isn't very good. I didn't have the lighthouses.I bought a DAS ($150) and this improved the comfort and tracking massively. But the lenses would still rest on the bridge of my nose. Everytime I used the Pimax I had a headache that lingered for a few hours no matter what I did with the IPD.But the one thing that really killed it for me was the SDE, I just couldn't stop focusing on the SDE. That was the final straw and I returned it. At this price point the Pimax needs to be a whole lot better.I only use VR for iRacing and I'll get either the HP reverb or Valve Index next.I can't recommend the Pimax.
","Reviewed in Australia on June 7, 2019",2, 5K Plus,"
I returned because it had too many little issues that added up and it's expensive.
"
