scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 17:03:48.240479,"
Pimax have had some very mixed press over the years, I was a backer of the kickstarter for the original 8K and have owned a 5K plus before this as well as vive/oculus etc.I have no doubt that this is the best visuals you are going to get right now, both with resolution and wide FOV which is the Pimax unique selling point.  This does come at extreme cost though, you are going to need top of the line hardware to take advantage of it.I 'only' have a 2080Ti and I can't consistently get the highest resolution out of this.  this isn't a Pimax issue, it's just that even the flagship 3090 still isn't really enough for this headset in an ideal world.There's definitely a premium feel this final product, that I never felt with the kickstarter of course.  Even the software and getting things working is now pretty much seemless.OK the bad stuff.....You will REALLY have to tinker with the settings to get the most of this right now, if this is not for you, perhaps you should go with a quest 2 or G2 etc.  Lots of people complain about distortions, eyestrain and numerous things.... but personally I think these can be over come with some patience.  It took me a couple of months with my 5K to really get it dialled in.... and strangely I also think your brain is part of this process, and it can get used to the issues given time.I was going to stick with 5K as it is still pretty great, but the offer of trading this at full price against the newer 12K is pretty attractive.
",Reviewed in the United Kingdom on 10 May 2022,4,,"
top of the line - but enthusiast level tinkering required
"
2022-05-23 17:03:48.428972,"
Das Nachfolgende ist wie immer bei VR-Brillen unter Vorbehalt. Ich beschreibe, wie ich die Brille auf MEINEM Kopf mit MEINEN Augen erlebt habe. Bei jemand anderem kann das anders und auch viel besser sein. Hier spielen Kopfform, Sitz der Augen im Kopf, Pupillenabstand, Brillenträger ja / nein und persönliche Prioritäten eine Rolle.ZU MIR ZUR EINORDNUNGNutzerprofil PC VR Spieler mit High End PC. Ich arbeite mich in Dinge ein, ""Bastelbrille"" schreckt mich per se nicht ab. Brillenträger, Kopfumfang 63 cm., IPD 70 cm. Bisherige VR Brille: Valve IndexFAZIT FÜR DEN EILIGEN LESERIch schicke die Pimax schweren Herzens zurück. Für mich nicht sinnvoll nutzbar. Meine Augen sagen klar nein. Das will ich nachfolgend erklären.KOMFORTNicht gut. Mein erstes Tragegefühl war ""zu schwer, Druck auf Wangenknochen / Nase, das wird nix mit längeren Sessions"". Auch nach einigem Justieren wurde dieser Eindruck nicht besser. Die Brille sitzt bei mir auch nicht fest genug. Sie ""wobbelt"". Im Vergleich zum Tragekomfort einer Valve Index: deutlich schlechter als die Index. Jetzt sind Vergleiche ja gar nicht immer entscheidend. Wenn die Pimax gut genug sässe, würde mir das reichen, egal ob andere Brillen noch besser sitzen. Tut sie aber nicht. Mein Eindruck: Das macht keinen Spass für mehr als eine halbe Stunde, sie zu tragen. und das ist mir zu wenig.SCHÄRFE / BILDQUALITÄT / SWEETSPOT / IPDMir persönlich das Wichtigste. Ich bin immer wieder überrascht, wie sehr in Rezensionen z. b. auf den guten Sound der Index abgestellt wird. Es gebt um eine BRILLE. Zum Gucken! Sound ist da eher nebensächlich. das bekomme ich im zweifelsfall immer über ein bluetooth-Headset kompensiert. Die Pimax ist für mich zum Gucken leider ein No Go. Hohe Auflösung und hohes Field of view nutzen mir persönlich nichts, wenn das Bild trotzdem noch irgendwie leicht verwaschen ist und meine Augen ständig kämpfen, das Bild schärfer zu sehen. Der Sweet Spot (Punkt wo man besonders scharf sieht wenn man auf die Linsen schaut) ist bei mir bei der Pimax furchtbar. Ich erwische mich dabei, dass ich ständig an der Brille herumrücke, um einen besseren Punkt zu erwischen. Und ich habe ausgiebig die Einstellmöglichkeiten der Pimax ausgereizt, meinen Pupillenabstand vorher beim Optiker messen lassen, alle Softwaremöglichkeiten zur Verstellung genutzt. Ergebnis: Nicht mein Fall. Angestrengte Augen, Frust und Null Spass. Deshalb glaube ich persönlich, dass Eyetracking und darauf aufsetzende automatische Linseneinstellung  kein Luxus, sondern sinnvoll und die Zukunft sein müssen für VR Brillen. Gut gucken können ist zu wichtig, als dass man da mit Versuch und Irrtum herumschrauben müssen sollte.SOFTWAREGut gedacht, an manchen Stellen gut gemacht, aber zu viele Kinderkrankheiten. Ich habe immer wieder Probleme, dass die Pimax meine Basisstationen und Index Controller erkennt. Bei der Index Brille funktioniert das alles immer sofort. Bei der Pimax zickt das immer wieder herum. Wie kann das sein? Wie kann man das softwareseitig so schlecht hinbekommen?FOV (Field of View)Toll. Wirklich toll. Darum gebe ich sie nur schweren Herzens zurück. Aber wenn alle anderen Hersteller bis zu Business VR Brillen kein 200er FOV anbieten, dann hat das vielleicht schlicht den Grund, dass die Technik noch nicht so weit ist im Zusammenspiel aller erforderlichen Komponenten aus Auflösung, Linsen, nutzbarer Grafikpower der heutigen Grafikkartengeneration usw.GEDANKEN ZU PIMAXPimax kommt mir wie ein Halbstarker vor, der lautstark seinen zusammengedengelten PS dafür anpreist, dass er die meisten PS hat. Nur leider sind Fahrwerk, Bremsen usw. überhaupt nicht darauf angestimmt und das resultierende Fahrgefühl ist schwammig. Die neueste Ankündigung von Pimax zu den technischen Daten der zu Ende 2022 avisierten 12k Brille hat meine Entscheidung bestärkt, vom Pimax Zug abzuspringen. Das ist eher grössenwahnsinniges Gegröle als ein seriöses Versprechen. Keines, nicht ein einziges der angekündigten Features hat Pimax heute im Griff. Und das will ausgerechnet diese Firma mit ihrer Historie aus mehr versprechen als einhalten alles in diesem Irsinnspaket im einem Jahr bis Ende 2022 schaffen? Da hat jemand bei Pimax den Fiebertraum von VR Enthusiasten nach zu vielen Drinks aufgeschrieben und als Produktankündigung in das aufgeregte Internet geschossen. Versehen mit der Karotte vor der Nase an uns Käufer ""kauft ruhig jetzt unsere unausgereiften teuren Brillen und gebt uns jetzt ganz schnell Euer Geld, ihr bekommt Ende 2022 dann die ultimative Traumbrille bei voller Anrechnung, ganz ganz doll bestimmt"".  Sorry Pimax, ich bin raus, seriös geht anders.UND JETZT?Ich warte entweder noch zwei Jahre oder ich nehme vollkommen unvernünftig richtig viel Geld in die Hand und kaufe mir eine Brille von Profis, die halten was sie versprechen. Ich sehe da aktuell leider nur eine Option: Varjo Aero. Kleines FOV, krasser dreister Preis, kein Sound (das lässt sich kompensieren), schlecht für Brillenträger, so viele eigentlich negative Punkte. Aber Gewicht, Trackinggenauigkeit, Tragekomfort und vor allem automatische Linseneinstellung via eye tracking, keine Fresnell-Linsen und damit echte Bildschärfe und grosser Sweet Spot sollen dort endlich das sein nach ersten Reviews (@Pimax: unabhängige Reviews. Nicht nur Versprechungen) was ich für eigentlich unverzichtbar halte, wenn VR optisch erwachsen werden will. Kabelgebunden aber kabellos ist für mich aus technischen Gründen aktuell noch keine valide Option, auch wenn das toll wäre. Zu viele Daten für die im heutigen Consumerbereich verfügbare WLan Technik mit ihren Aussetzern. Ich bin einfach nicht bereit, grafisch drei Schritte zurück zu machen ggü. zeitgemässer Grafik am PC, um kabellos die Quest 2 zu erleben. Das ist eine Frage der Prios. Ich kann genauso jeden verstehen, der mit anderen Prios die Unkompliziertheit und das tolle Preis-/Leistungsverhältnis der Quest 2 gut findet.SCHLUSSBEMERKUNGDas alles ist nur meine persönliche Meinung. VR ist ein emotionales Thema für Beteiligte und ich respektiere voll und ganz andere Meinungen und Erfahrungen mit der Pimax.
",Reviewed in Germany on 12 December 2021,1,,"
Überteuerte Bastelbrille mit optischen Schwächen
"
2022-05-23 17:03:48.455150,"
In Kürze - ich habe die 5k XR (OLED) und halte sie auch Ende 2021 noch immer für das beste HMD im Consumer-Bereich. Zugegeben, DAS der Vive dranmontiert.Das Teil hier ist Schrott wert. Natürlich ist das Display geil mit dem nicht mehr sichtbaren Fliegengittereffekt und der besseren Regelmäßigkeit der Pixel. Aber wie von anderen angemerkt sind das einfach No-Gos:- Sweetspot: in X und Y Richtung so kleiner Sweet-Spot, daß ich sie nicht richtig hab justieren können- Horizontale Sichtweite: Klar, sind wohl die 200°, aber wegen des Sweetspots kann man nicht wie bei der XR links und rechts schauen. Muß immer den Kopf drehen. Im direkten Vergleich einfach nervig.- Artefakte: Neuestes PiTOOL und Firmware 270. Habe an einer RTX3090 ständig Bildfehler und Kompressionsartefakte. Neuester nVIDIA-Treiber.- IMU-Fehler: Zwei Lighthouses, und trotzdem wackelt das Bild, als hätte ich meinen Kopf nach links/rechts geneigt.- Kopfform: habe zwar keinen kleinen Kopf, aber die Form ist auch mit dem dicken Polster nicht abschließend. Bisserl wackelig.- Beschlagen: Rechts Auge beschlägt ständig. Passiert mit der 5k XR nicht.- Latenz: Ist nun stellenweise sichtbar, daß Kopfbewegung und Bildbewegung nicht mehr ""synchron"" laufen. Passiert zwar selten, ist aber dann sehr unangenehm.Fazit: auch mit Sonderangebot unbrauchbar. Ich hab das HMD nach 5 Minuten Probieren retourniert.
",Reviewed in Germany on 19 November 2021,1,,"
Die kann echt nix!
"
2022-05-23 17:03:48.475097,"
Also ich muss ja leider sagen, dass mir die 8KX trotz mehrstündiger intensiver Optimierungsversuche keine wirkliche Freude gemacht hat. Es gelang mir nicht, ein gleichmäßig scharfes Bild zu erhalten. Das rechte Auge war immer irgendwie unscharf und die mechanische IPD-Einstellung hatte nicht den vollständig erwünschten Effekt und musste, um überhaupt ein annehmbares Ergebnis über die Software-Einstellung aus dem PiTool zu bekommen auf den kleinsten Wert eingestellt werden, der allerdings 3mm geringer als mein echtes IPD ist.Wenn ich Beiträge in anderen Foren von eingefleischten Pimax-Fans sehe, die kein Problem damit hatten, ihr IPD-Feintuning über mehrere Monate auszudehnen, fehlen mir die Worte.Außerdem finde ich den Tragekomfort katastrophal. Die Frontlastigkeit macht sich schon nach relativ kurzer Zeit wirklich störend bemerkbar. Ich weiß, dass es Gegengewichte für eine bessere Ausbalancierung gibt, aber das geht mir dann doch entschieden zu weit.Beinahe eine positive Überraschung waren die Kopfhörer, die etwas besser für mich klingen, als es die mir bekannten Bewertungen erwarten ließen.Ich denke, die 8KX KDMAS und ich werden keine Freunde und ich muss auch ehrlich sagen, dass ich nur wenig von dem wiederfinde, was die positiven Tests auf YT aussagen.Es lässt sich allerdings deutlich erkennen, dass die Bildqualität durch die hohe Auflösung sehr gut sein könnte und genau genommen ist der Gesamteindruck des Bildes auch wirklich schön, aber Details in der Nähe, also im Cockpit z. B. sind immer etwas unscharf, insbesondere, wenn sie in der Bildmitte sind.Dass die Pimax nicht meins ist, war mir dann auch endgültig klar, nachdem ich nach stundenlangem Testen den „Kontrollversuch“ mit meinem alten Medion WMR HMD als sehr angenehm und geradezu entspannend empfand.Immerhin konnte ich nun feststellen, dass ein großes FOV für mich persönlich eher ein „nice to have“ aber kein „must have“ ist und eine hohe Auflösung für mich deutlich wichtiger ist und das sogar, obwohl ich nahezu ausschließlich Simulationen spiele.Insgesamt finde ich den Preis auch noch deutlich überzogen. Wenn ich mir ansehe, was für ein Gesamtpaket mir im Gegensatz dazu die Valve Index bietet, die zwar geringeres FOV und Auflösung bietet, dann kann ich angesichts der durchschnittlichen Qualitätsanmutung selbst den Black-Friday-Preis (1125€) nicht mehr als günstig oder gar preiswert ansehen.Schade...
",Reviewed in Germany on 20 November 2021,3,,"
Gutes Bild, schlecht im Fokus, zu teuer
"
2022-05-23 17:03:48.497040,"
Habe von meiner Index auf die Pimax 8kx gewechselt und bin bisher vollkommen zufrieden. Das Bild ist klasse, klare Farben, kein Screendoor Effekt und nachdem man seinen Pupillenabstand eingestellt hat, konnte ich auch kein Problem mit dem Sweetspot feststellen. Das Upgrade auf das 6m Fiberglas Kabel ist sehr zu empfehlen, das Kabel ist dünner, flexibler und man spart sich den 2. USB Anschluss. Die Software von Pimax lässt sich auch recht gut bedienen, wobei ich noch nicht sämtliche Einstellungen durchprobiert habe.Was leider doch etwas negativ auffällt ist der Sitz der Brille. Die Index saß gefühlt fester am Gesicht, die Konstruktion der Pimax wirkt etwas wackelig. Hier würde ich mir bei dem Preis mehr Stabilität wünschen.
",Reviewed in Germany on 9 January 2022,5,,"
Super VR Headset mit kleinen Mängeln
"
2022-05-23 17:03:48.518980,"
Vorab die Bildqualität der Pimax ist gut.Ich besitze die Rift, Quest2, Odyssee+ und die Reverb G2. Ich habe bisher getestet die Rift S, Pimax 5kx und Valve Index. Auf Basis dieser Erkenntnisse bin ich mit der Pimax 8KX sehr unzufrieden. Der größte Mangel ist aus meiner Sicht die Tatsache das man den IPD (Augenabstand) nur softwaremäßig einstellen kann. Dadurch wird eine Überlappung der Linsen sichtbar. Genau diese Überlappung hat man auch bei der Rift S gesehen, die auch nur eine Software-IPD-Einstellung ermöglicht. Derzeit verwende ich die G2 und bin sehr zufrieden. Schade das mich die Pimax nicht überzeugen konnte, hätte gerne das größere Sichtfeld gehabt.
",Reviewed in Germany on 26 January 2022,3,,"
Aus meiner Sicht ist das Profukt nicht ausgereift.
"
2022-05-23 17:03:48.538302,"
Hatte große Erwartungen an die Pimax 8k x gehabt. Meine Hardware mit einer RTX 3090, AMD Ryzon 9 und 64 GB Arbeitsspeicher sollte ausreichend für so eine VR-Brille sein.Habe mir wieder eine Reverb G2 gekauft, welche ich zuvor gehabt habe. Auch wenn das FOV der Pimax deutlich größer ist als bei der G2, ist die Handhabung und Einrichtung um weiten besser als bei der Pimax. Schade das die Pimax trotz des sehr hohen Preises von 1.125 € mich in Sachen Qualität mehr als enttäuscht hat. Habe 1 1/2 Tage damit verbracht die halbwegs einzurichten - leider vergebens 😡!Kann von Pimax nur abraten !!!Bin froh das ich von Amazon mein Geld unkompliziert zurückerstattet bekommen habe.
",Reviewed in Germany on 27 November 2021,1,,"
Schwer enttäuscht !!!
"
2022-05-23 17:03:48.555256,"
I got a Quest 2 and Pimax 8KX  as early Xmas presents. I am tempted to buy another Quest 2. The Pimax 8Kx did come with speakers. I think there were even two sets. The Pimax may turn out to be good for sit down play or slow walking. With the cable and larger screen it may be less optimal for fitness games. Initially the 8kx was not great but I played around with some hardware arrangements and it now looks like it may be quite nice when things get optimized. You need a display port output and a computer with grunt and powerful graphics hardware. If you get everything going well you may still have blurring at edges of vision. Not so bad at edges but to be avoided where circle of eyes overlap.
",Reviewed in Australia on 9 December 2021,3,,"
OK for enthusiast wanting to car race, flightsim or sitdown exploration.
"
2022-05-23 17:03:48.573381,"
Display:I couldn't get the headset dialed in so I never really had that crisp sharp Image, im sure the displays look in some circumstances, for some people, just not for me.Comfort:The Headset is heavy, uncomfortable and unstable, even in fligt simulators you have to squeeze your face uncomfortably tight to prevent the headset shaking all over your head as you look around.There is a thicker facepad included, which helps a bit, but doesn't help you decide between your face being squeezed or the headset flopping around.Fov:On the Highest setting i get roughly 150° by 90°-ish fov, falling significantly short of the advertised 200°, Doesn't matter if you count fov diagonally or not.Lenses:I've spent the better part of a week trying to get the lenses lined up and that sweet spot dialed inits just not possible, i suppose my face has the wrong shape.When actually using the headset in its high FOV mode the outline of the lenses has this blue and white glow thats really distracting.Audio:The KDMAS with the on ear cups sounds suprisingly good, it falls short of the index but its not bad.Software:PITool is suprisingly competent, it does what it needs to and I have no complaints about it.Fixed foveated rendering is terrible, you get a really noticable circle in the center of your vision with a jarring transition as details pop in when they enter the circle and instantly dissapear when they leave it.
",Reviewed in Germany on 6 August 2021,2,,"
A VR Headset made of compromises
"
2022-05-23 17:03:48.589326,"
Seher Gerne wieder
",Reviewed in Germany on 16 December 2021,5,,"
1A
"
