scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-30 16:20:01.668052,TGRANIMAL,Fixed my marriage,My wife and been together 10 years. we have 4 kids.  We used to argue every night and stress out about everything....flash to present day...we cannot wait to get the kids to bed so we can jump on the Oculus and race!!!! Funny story my wife's first time playing we did score mode.  I told her we should probably do a different one because this one is really hard....not only she scored 30k plus points and finished on the first try. I could finish for the life of me...  This game is great for your relationship and will settle arguments... 😃,Feb 20 at 1:32 PM,5, 30,
2022-05-30 16:20:01.824645,dangpham.t7s,Nice game,Worth the money.,Apr 27 at 9:15 PM,5, 2,
2022-05-30 16:20:01.839605,ShomiSumsing,Ripoff if you own both Go and Quest,"Same game but requires you purchase the Quest version separate and at double the price. What a joke. There should be a shared library between them and allow the end user to install them at their own risk of compatibility. So many games on the Go and now they want to double dip on the stuff we already paid for.

This is not the games fault, the game is Awesome 5 stars. Oculus needs to stop being so darn greedy.",Nov 15 at 2:23 AM,5, 41,
2022-05-30 16:20:01.855563,Iamkilledso,Great game,This game is amazing even if your only using one controller on the oculus go. Rush makes you fell like your actually gliding around mountains and many other places! Rush is an amazing game and is definitely worth the money!,May 1 at 10:33 AM,5, 0,
2022-05-30 16:20:01.871520,ojmeyer2009,Ripoff if you own both Go and Quest Same,"Ripoff if you own both Go and Quest
Same game but requires you purchase the Quest version separate and at double the price. What a joke. There should be a shared library between them and allow the end user to install them at their own risk of compatibility. So many games on the Go and now they want to double dip on the stuff we already paid for.",Nov 22 at 6:29 AM,5, 0,
2022-05-30 16:20:04.997761,Kurkie,Highly recommended action game!,A nice game that still achieves the desired action.  Highly recommended!,Nov 1 at 5:12 AM,5, 15,
2022-05-30 16:20:05.015713,miketavares,Not the real deal... But!...,"You will somehow feel dizziness (be careful if standing up to play)... Freedom of movement... And at times it gives you that smile you get, feeling you're playing in that field you were astrayed from for so long!",Dec 19 at 7:36 AM,4, 2,
2022-05-30 16:20:05.032668,Dicky300,One of the staple vr titles,Being an avid gamer sometimes I expect a lot from a game whereas VR gaming is a split between sensation and playability. Nothing too challenging here but definitely some scary involved while getting the VR flying experience without the the extremities of some other flight sims,Jul 6 at 5:13 PM,5, 37,
2022-05-30 16:20:05.049133,kayser9soze,"Great game, not worth buying twice.","This is a very unique experience and one that got me to buy a newer version of oculus but with that came having to buy it again for no good reason. Sorry, love the game but not enough to buy it twice.",Aug 17 at 12:23 PM,1, 9,
2022-05-30 16:20:05.068082,lenka.slukova.3,Best game ever,My children love this game.,Aug 2 at 4:17 PM,5, 4,
2022-05-30 16:20:08.178809,NerdENerd,Can't play on Quest 2,I have hundreds of dollars worth of games and none of them work on the Quest 2 including this one. Why should I have to buy this again? I can play all my Steam VR games over air link but all my old Oculus games are inaccessible to me.,Jul 18 at 10:48 PM,1, 7,
