Game_Id,Game_Name,Game_price,Game_description,Game_Modes,Game_PlayerModes,Game_Tracking,Game_Controllers,Game_Platforms,Category,Game_Genres,Game_Languages,Game_Version,Game_Developer,Game_Publisher,Game_Website,Game_ReleaseDate,Game_Policy,Game_RecommrndedCPU,Game_RecommrndedGraphics
1279952315376503,RUSH,¥790,"Take a dive into the adrenaline-pumping world of wingsuit flying with RUSH. Soar down mountainsides at breakneck speeds. Weave through canyons, dodge outcrops, and plummet down sheer drops as you race towards the finish line.

Do you have what it takes to walk a tightrope at near terminal velocity?

FEATURES
- Stunning environments: Soar down four breathtaking mountainsides
- Challenging races: 80 unique mountain paths to master, from basic downhill trails to expert-level suicide runs through the narrowest of spaces.
- Multiple game modes: Race to the finish, Time Attack, and Score Challenge, each requiring a different set of skills and strategies to succeed.
- Epic multiplayer jumps: Challenge up to 3 of your friends online via Oculus home parties, or quick race against random jumpers.

Strap on your headset and hold on tight; you're in for a RUSH!","Single User, Multiplayer, Co-op",,,Touchpad,"Gear VR, Go",Games,"Action, Adventure, Exploration, Racing, Simulation",English,2.4.0,The Binary Mill,The Binary Mill,http://www.thebinarymill.com/,"May 25, 2017",Privacy Policy,,
969815736436279,GUNJACK,¥490,"“‘Gunjack’ is one of the best Gear VR launch titles.” 5/5 -Upload VR

“…one of the best-looking things on the Gear VR.” -Polygon

“Gunjack sets the bar for Gear VR turret shooters.” 4/5 –Road To VR 

Gunjack is a visually stunning virtual reality arcade shooter set in the sprawling EVE science fiction universe. Jump into your heavy weapons turret, power up your guns, and defend your mining platform from deadly waves of enemy ships determined to blast you and your crew into oblivion. With its intuitive controls and intense, immersive action, Gunjack is the ultimate pick-up-and-play VR experience.

Gunjack supports English, German, French, Italian, Spanish and Korean.

NOTICE: Gaming experience will be improved on later generation phones and we recommend Android 5.1.1 or greater for best performance.

Use of this application is governed by CCP’s end user license agreement. This is available at http://www.gunjack.com/eula/",Single User,,,"Touchpad, Gamepad","Gear VR, Go",Games,"Arcade, Shooter",English,1.4.4,CCPGamesShanghai,CCP Games,http://www.GUNJACK.com/,"November 19, 2015",Privacy Policy,,
1498526623509747,Hidden Fortune,Get,"Hidden Fortune is an adventurous treasure hunt through a virtual world of enchantment, with Chapter One: Outcast Cove now free to play! Chapter Two: Shanty Seas is available through single purchase, and unlocks over two hours of new content, including Wands, Orbs, and areas to discover. As a sorcerer on a daring rescue mission, players must use their magic—cast with the Gear VR touchpad or controller—to explore the vivid world around them, and collect peculiar trinkets to aid in their quest. 

Cast Your Magic: Tap the Gear VR or swing the Gear VR Controller to cast magic Orbs, capture trinkets, make charming new acquaintances, and solve tricky puzzles. 

Enter the Wands: These collectable magic devices enable seamless interaction with the virtual world. Orienting intuitively to your hand’s movements, each Wand has unique art and visual effects. 

New Challenges: Each quest in Outcast Cove and Shanty Seas now offers three levels of difficulty to test your wizarding skill.",Single User,,,"Touchpad, Oculus Go Controller","Gear VR, Go",Games,"Adventure, Arcade, Casual, Exploration, Puzzle",English,2.0,Archiact Interactive,Archiact,http://www.playhiddenfortune.com/,"March 28, 2017",Privacy Policy,,
827294127398133,Drop Dead,¥990,"""...This game is EVERYTHING VR should be!
It's exciting, complex, makes you jump, and has a thrilling story line.
The graphics are great... Best game to date, especially if you're a fan of the zombie genre."" - Dbroxton

3 Exciting Timelines!
Defeat Monday's hungry hordes and use cunning to defuse his Zombombs!
Combat the undead with a futuristic arsenal of kick-ass weapons!
Master the charge pistol, fusion cannon and sticky grenades as you muscle your way through more new missions.
Slay your way to Monday's lair for an epic last stand... but stay frosty Cipher - the Doc's got a trick or two up his sleeve.

SLAY THE ZOMBIE HORDE
Stand alone or fight shoulder to shoulder with a fellow agent to destroy Monday’s undead army. See how long you and your buddies can last in the horde survival mode.

IMMERSE IN ADVENTURE
You're the last agent able to stop Dr. Monday and save the world! Slay zombie hordes using a high-tech visor, insane gadgets and an arsenal of Z-shredding weapons.","Single User, Multiplayer",,,"Touchpad, Gamepad, Oculus Go Controller","Gear VR, Go",Games,"Action, Horror, Shooter","English, French (France), German, Japanese, Korean, Spanish (Spain)",1.3.1,Pixel Toys Games Ltd,Pixel Toys Ltd,http://www.pixeltoys.com/games/,"October 26, 2016",Privacy Policy,,
942006482530009,Smash Hit,¥290,"Take a surreal journey through an otherworldly dimension, move in harmony with sound and music… and smash everything in your path! This experience requires focus, concentration, and timing to not only travel as far as you can, but also break the beautiful glass objects that stand in your way.",Single User,,,"Gamepad, Touchpad","Gear VR, Go",Games,"Arcade, Casual, Shooter",English,1.1.2,Mediocre,Mediocre,http://www.smashhitgame.com/,"September 17, 2015",Privacy Policy,,
1198492796853678,Cursed Sanctum,Get,"UPDATE 12/05/2019: We just released our latest project: Myth Hunters for the Oculus Rift. You can check it out here: https://www.oculus.com/experiences/rift/2617326894946403

Cursed Sanctum is a first person interactive story experience from developer Arabian Art Studios.  You are Guunthar, son of Grom, on a mission to discover and destroy the evil that has been terrorizing the people of Hallund. Mystery and danger await as you come face to face with the horrors that lurk within the Cursed Sanctum!",Single User,,,Touchpad,"Gear VR, Go",Entertainment,"Adventure, Casual, Narrative",English,1.0.34,Arabian Art Studios,Oculus,http://arabianartstudios.com/,"March 16, 2017",Privacy Policy,,
1251787591581936,Wonders of the World,Get,"In Wonders of the world you will visit the Colossus of Rhodes, Taj Mahal and Machu Picchu.

Travel to the island of Rhodes in the year 251 BCE, famous for the 108 foot statue of the Greek god Helios, known today as the Colossus of Rhodes! When you arrive you will assume the character Melissa of Delos, a priestess in the temple of Aphrodite.

The city is Agra, India in the year 1640. The construction of the Taj Mahal, is well under way. You will play the character of Kasim Kahn, an apprentice to Ismail, the head foreman overseeing the building of what will become one of the greatest buildings ever designed and constructed.

Travel thirty miles south of the South American Incan capital city of Cusco, Peru. The year is 1532 and two Incan brothers, Atahualpa and Huascar, have fought a civil war for control of the empire their father built. You are Anko, an administrator sent by the victor, Atahualpa, to assess the estate of the past emperor.

Explore and learn in wonders of the world!",Single User,,,"Oculus Go Controller, Touchpad","Gear VR, Go",Entertainment,"Adventure, Casual, Educational, Exploration, Narrative","English, English (US)",1.0.12,"MATTERvr, LLC.",MATTERvr,http://www.mattervr.com/,"September 22, 2017",Privacy Policy,,
1164252963696830,Death Horizon,¥490,"Hey, soldier, listen up! There's no time to repeat this. The T12 virus has broken containment at the Horizon research station. All the researchers have become walking corpses. The virus is localized for now, but it could break out and cause a disaster at any moment. You're going to walk into that hellhole and cleanse the station. Don't try to save bullets - kill every last zombie.

The station's corridors are full of these creatures. It's a good thing you have a recoilless machine gun. Mop up and come home. Over and out.

Gameplay:

-Realistic, dark graphics: In the Horizon station’s corridors, there is no sun or naive hopefulness. But there are plenty of rotting zombies, dark corridors and bloodstains.
- The game is in the running for the title of Most Realistic Shooter on standalone VR platforms. It’s a great combination of terror and difficulty.
- 10 different weapon types.
- Two different full-fledged game modes: Campaign and Arcade.
- Co-op multiplayer.
- VoIP, avatars.","Single User, Multiplayer, Co-op",,,"Touchpad, Oculus Go Controller","Gear VR, Go",Games,"Action, Horror, Shooter","English, English (US), English (UK), Chinese (China), French (France), German, Japanese, Korean, Portuguese (Brazil), Portuguese (Portugal), Russian, Russian (Ukraine), Spanish (Argentina), Spanish (Mexico), Spanish (Spain)",1.4.11,Dream Dev Studio LLP,Dream Dev Studio LLP,http://deathhorizon.com/,"September 21, 2017",Privacy Policy,,
1176652609059507,Pigasus VR Media Player,¥590,"Pigasus is a feature rich universal media player that supports networked streaming of media from UPNP/DLNA media servers and Samba shares as well as local playback from your device's internal storage or sd card.

Access, setup and enjoy your media the way you want it. Pigasus supports playback of 2D/3D/Surround 360 and 180 videos and images, audio streaming playback and a host of other features optimized for a comfortable VR viewing experience.

Some of Pigasus' features include:
- Playback of all media types (i.e. video, audio and images)
- Supports streaming of network shared media (UPNP/DLNA media servers and Samba shares)
- Playback of 2D, 3D, surround 180 and 360 degree videos and images
- Adjustable re-orientation and zooming of 180/360 surround content
- Subtitle and audio track support for videos

Please see the Pigasus FAQ for additional feature support, information and help:

https://hanginghatstudios.com/pigasus-faq",Single User,,,"Gamepad, Touchpad, Oculus Go Controller","Gear VR, Go",Apps,"Casual, Media Player, Utility","English, Chinese (China), Chinese (Hong Kong), Chinese (Taiwan), Japanese, Korean",3.2.1,Hanging Hat Studios LLC,"Hanging Hat Studios, LLC",https://hanginghatstudios.com/pigasus,"March 27, 2017",Privacy Policy,,
940410229366998,Land's End,¥490,"Land's End is a new adventure from the creators of Monument Valley. Explore spectacular landscapes and use the power of your mind to awaken a lost civilization. Unlock the mysteries of Land’s End, specially created for Oculus.

Land’s End is a hands-free experience – no controller needed!

""If you could live in a sunset, this may be what it feels like"" - WIRED

""Moments of wonder"" - The Verge

""A relaxing, almost purifying experience"" - Engadget

""Stunning"" - CNET",Single User,,,"Gamepad, Touchpad, Oculus Go Controller","Gear VR, Go",Games,"Casual, Exploration, Puzzle","English, Chinese (China), French (France), German, Korean, Spanish (Spain)",1.3.6,ustwo games,ustwo games,http://www.landsendgame.com/,"November 10, 2015",Privacy Policy,,
1063691710368492,Dark Days,¥790,"/!\ Note: 2GB of your device storage is needed to complete the install process (final size: 668 MB)

""Dark Days is probably the most visually complete game on the Gear VR"" -MobileVRDaily

""A Creepy and Surprising Psychological Thriller"" -UploadVR

The team that created White Night has gathered once again to offer you a hauntingly unique VR experience. Somewhere between Twin Peaks and The X-­Files, Dark Days is a new fantastic virtual reality adventure. You will have to discover what’s going on with an eerie desert motel and its surroundings by solving a number of puzzles. Immerse yourself in the rich environments you will come across, but be careful and smart! Something is roaming around you... 

❏ A supernatural adventure full of revelations 
❏ Accessible gameplay and random puzzles 
❏ Be prepared for jump scares! 

Technical contact : contact@parallel-studio.com",Single User,,,"Touchpad, Gamepad","Gear VR, Go",Games,"Adventure, Exploration, Horror, Narrative, Puzzle","English, Chinese (China), French (France), German, Korean, Spanish (Mexico)",1.02,Parallel Studio,Oculus Studio,http://www.parallel-studio.com/,"June 22, 2016",Privacy Policy,,
1130312973723945,The Zion Narrows Experience,Get,"A navigable VR experience of one of the most remarkable areas in Zion National Park, Utah.  The Zion Narrows Experience will allow the viewer to navigate above and around some of the most dramatic sandstone formation in the narrows.",Single User,,,"Gamepad, Touchpad","Gear VR, Go",Entertainment,"Adventure, Exploration, Productivity, Travel",English,8,Specterras Productions LLC,Specterras Productions,http://www.specterras.com/,"January 28, 2017",Privacy Policy,,
1190441294377640,Maze VR: Ultimate Pathfinding,Get,"Enjoy a fun game of pathfinding with 24 beautifully designed mazes, having different themes from frozen lands to dead deserts. 

Challenge your pathfinding skills, immerse yourself in exciting VR environments, and find the maze exit!  

If you are a fan of exploration, adventure, or puzzle genres, you might like playing this game.",Single User,,,"Touchpad, Gamepad, Oculus Go Controller","Gear VR, Go",Games,"Adventure, Casual, Exploration, Puzzle, Simulation",English,1.131,"RiseAngle, Inc.","RiseAngle, Inc.",http://riseangle.com/games/maze-vr-ultimate-pathfinding/,"January 7, 2017",Privacy Policy,,
941837879186570,End Space,¥790,"'Game of the Year' - Nomination - UploadVR

“This is the absolute best game I've ever played on the Gear VR” - vrgamerdude

“Our highest scored game, 9.3/10” - Twisted Reality

It’s a time of uncertainty in the Tartarus Sector. The United Trade Consortium has started to regain control but the Tartarus Liberation Front has become stronger, more daring, unwilling to let up. The United Trade Federation is looking for a few good contractors to support the war efforts in the Tartarus Sector. 

Can you be that pilot? Can you fly better than the TLF pilots?

I hope so, the last guy didn’t make it... 

Using your motion controller, gamepad or touchpad, fly through intense space battles wiping out the TLF across the Tartarus Sector. Your powerful Pulse Laser cannons and homing Meteor missiles are neural linked to your sight providing a deadly combination of technology and skill. Unlock progressively harder levels and upgrade your weapons after each success.",Single User,,,"Gamepad, Touchpad, Oculus Go Controller","Gear VR, Go",Games,"Action, Flying, Space/Universe",English,1.0.6,Orange Bridge Studios,Orange Bridge Studios,http://endspacevr.com/,"April 20, 2016",Privacy Policy,,
1261331807302580,Virtual Desktop,¥990,"Connect to your computer to watch movies, browse the web or play games on a giant virtual screen or in various theater environments. Virtual Desktop is a highly optimized, native application developed for low latency, high quality streaming.

• Connect up to 4 computers and switch between them in seconds
• Supports most PCs and laptops running Windows 8.1 or later (see website for computer requirements)
• Supports Bluetooth mice, keyboards and gamepads
• Supports 3D Side-by-Side / Over-Under content on screen
• Lets you cycle through your monitors (if you have a multi-monitor configuration)
• Includes a Microphone passthrough option
• For best quality/latency, a wired computer with a 5 GHz AC Wi-Fi is recommended
• Also works over the internet (enable UPnP on your router)

The app is actively being developed. Currently working on the following features:
• Videos Tab which will let you download and/or stream 180/360 videos directly from your computer
• MacOS support",Single User,,,"Gamepad, Oculus Go Controller, Touchpad","Gear VR, Go",Apps,"Movie, Productivity, Utility",English,1.20.25.0,"Virtual Desktop, Inc.","Virtual Desktop, Inc.",https://www.vrdesktop.net/,"November 30, 2018",Privacy Policy,,
1155364627825721,Floor Plan,¥490,"Floor Plan is a puzzle adventure game that takes place entirely inside an elevator. Go floor to floor, find items, and meet a bizarre cast of characters. Discover relationships between different things in the building and unlock its secrets...all from the comfort of your elevator.

Official Selection - IndieCade 2016

Best Indie VR Games of E3 2016 - PC Gamer

""Floor Plan is a whimsical, incredibly fun puzzle game...an ingenious, entertaining use of VR technology."" - CGM

""One of the most enjoyable experiences on the Gear VR."" - VRGiant",Single User,,,"Touchpad, Gamepad, Oculus Go Controller","Gear VR, Go",Games,"Adventure, Puzzle","English, Chinese (Hong Kong), French (France), German, Japanese, Korean, Spanish (Spain)",1.53,Turbo Button,Turbo Button,http://turbo-button.com/games/floorplan,"May 26, 2016",Privacy Policy,,
1124164450939641,Wands,¥990,"AWARDED VR GAME OF THE YEAR @ IMGA

""It feels magical"" - VentureBeat

WANDS® is a first-person VR experience that offers fast-paced magic duels against other players online. Choose your favourite wands and equip them with a variety of unique spells, then battle other Wielders in the fantastic realms of The Beyond.

Hone your skills against an increasingly challenging AI opponent, then duel players from around the world to climb the leaderboards. Between battles, discover new spells, unlock new characters, and build powerful loadouts in your secret workshop.

Cross-platform play is supported, so you can duel your friends no matter which VR headset they own!

Features:
 Action-Packed Magic Duels
 Beautiful Battle Arenas
 25 Unique Spells
 15 Powerful Wands
 Friendly Community
 Competitive Seasons and Events
 Strategic Spell Selection
 AI Opponent","Multiplayer, Single User",,,"Gamepad, Oculus Go Controller",Go,Games,"Action, Shooter, Strategy","English, Chinese (China), French (France), German, Japanese, Spanish (Spain)",1.8.0,Cortopia Studios,Cortopia Studios,https://www.wandsgame.com/,"August 18, 2016",Privacy Policy,,
814885695293688,Keep Talking and Nobody Explodes,¥990,"In Keep Talking and Nobody Explodes, one player is trapped in a virtual room with a ticking time bomb they must defuse. The other players are the “Experts” who must give the instructions to defuse the bomb by deciphering the information found in the Bomb Defusal Manual. But there’s a catch: the Experts can’t see the bomb, so everyone will need to talk it out –fast!
 
Features:
• Challenging puzzles – Test the limits of your communication skills… and friendships?
• A different bomb every time – Procedurally generated puzzles keep the action fresh.
• Local multiplayer party game – A great way to experience VR with all of your friends!
• Only one copy of the game needed – If you can talk to the bomb Defuser, you can be their Expert. Try using your favorite voice chat service to play remotely.
• Requires 2 or more players – Bomb defusing is a team endeavor. Going solo is not an option!
 
Requires free Bomb Defusal Manual available at www.bombmanual.com",Co-op,,,"Gamepad, Touchpad, Oculus Go Controller","Gear VR, Go",Games,Puzzle,English,1.6.5,Steel Crate Games,Steel Crate Games,http://www.keeptalkinggame.com/,"July 16, 2015",Privacy Policy,,
927672977351617,Gun Club 3 VR,¥790,"Take to the range with an incredible arsenal of the world’s finest weaponry. Gun Club 3 combines challenging, addictive gameplay with stunning visuals & unsurpassed detail; the only thing missing is the smell of gun powder.
 
The newest release in the best-selling Gun Club series, Gun Club 3 brings a whole new world of excitement to the most popular gun simulator ever.

UNPARALLELED REALISM
Highly detailed interactive 3D weapon models that are fully operational & feature real-world ballistics.

ADVANCED CUSTOMISATION
Custom-fit your weapons with hundreds of different attachments. From scopes to lasers to grenade launchers, the picatinny rail system allows for any load-out you can imagine. 

INTERACTIVE RANGES
Fire your weapons in a multitude of different range scenarios, from hostage rescue to long distance marksman to the dreaded zombie apocalypse. And for true shooting purists there is the classic target range. No time limits, no scores, just you and your weapon.

Go update now live!",Single User,,,"Gamepad, Touchpad, Oculus Go Controller","Gear VR, Go",Games,"Action, Shooter, Simulation, Strategy",English,1.1.2,The Binary Mill,The Binary Mill,http://thebinarymill.com/gunclub3/,"June 29, 2016",Privacy Policy,,
970225196383135,Star Chart,¥490,"Explore our Solar System, view constellations and meteor showers in your night sky, stand in the footsteps of Neil Armstrong & Buzz Aldrin on the Moon, explore Mars with the Curiosity Rover, and hold planets, moons, asteroids and even stars in palm of your hand.

Explore the solar system, from the Sun to the moons of Saturn and out to the farthest reaches of Pluto. Gaze down and marvel at our solar system from above. Look up in wonder at the rings of Uranus. Feel the awe of floating in space around worlds no human has yet set foot on. See how the constellations of our night sky are made up of stars distant to each other in both space and time. Embrace the impossible distances and the inordinate scale of our universe.

Star Chart currently includes:
- An accurate real-time simulation of the night sky.
- A 3D solar system to explore.
- Orrery tour and exploration 
- Moments in Time: set foot on the Moon and Mars, explore the ISS Cupola & visit the New Horizons probe.",Single User,,,"Touchpad, Oculus Go Controller","Gear VR, Go",Apps,Space/Universe,"English, Chinese (China), Chinese (Taiwan), Danish, French (France), German, Italian, Japanese, Korean, Norwegian (Nynorsk), Russian, Spanish (Spain)",1.7.6,Escapist Games Ltd,Escape Velocity Ltd,http://www.escapistgames.com/,"January 7, 2016",Privacy Policy,,
