scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback,revie_count
2022-06-13 22:56:35.658608,Beardo Benjo,Most impressive Quest 2 game in a while!,"Vox Machinae is the VR mech game that Quest 2 owners (and VR owners at large) have been waiting for, with a full single player campaign, multiplayer versus modes & a 4 player co-op mode this is the most content complete mech game I've played in VR to date and might just be the best new Quest 2 game that 2022 has delivered so far! I jumped into Vox Machinae with fairly low expectations but within the first few seconds just playing around in the main menu I could tell this project was polished to an incredibly high degree and was going to be something quite special. The controls, visuals, content on offer & overall feel of this just screams quality & has clearly been put together by a dev team who are passionate about the product they’re shipping.

The moment you strap into one of these VR mechs (there are three to choose from with customisable weapons and attachments) it feels natural to play, grabbing the levers, dials & joysticks to control your vehicle is simplistic & requires little to no tutorial or guidance. Combat is difficult & pushes the player to out manoeuvre their opponent which further adds to the intensity of the battles and the feeling of relief when they're over. In-between missions & combat scenarios you’re treated to a fully voiced story campaign with a hub world to explore & characters to interact with, it’s not ground breaking stuff but it’s an extremely welcome addition when most games in a similar category would likely just move from mission to mission. Your character also has a full body rig with legs and arms, again not ground breaking but it’s still not the norm in many VR games & I love to see it when it’s implemented.

To put it simply the game feels great to play and I'd highly recommend it as a real surprise hit for the Quest 2 platform in early 2022, a solid story and a tonne of multiplayer options that could sustain the game for years to come provided there’s a player base.

First impressions gameplay - https://youtu.be/NxIw9ygz9us",Mar 4 at 3:06 AM,4, 355, ,175
2022-06-13 22:56:35.671646,RedRum83,The Mech game I've been searching for!,"Ever since I purchased MechWarrior 2 in the middle 90s I've been searching for another more modern mech game that gave the real feeling of being in a huge heavily armed mech. Battletech in the Arcades came close, and Steel Battalion on the original Xbox came closer (once I built a cockpit around it), but not quite the thrill I was looking for, until now... This is the game I have craved for 25 long years! The Oculus Quest handles it nicely, you really feel like you are inside the physical space of your cockpit, you see your armor fly away as you are being hit, your Arms fly off with their weapons, you loose a leg and hop around on the one that remains, hell sometimes it gets taken off too and all you can do is hop around with your jump jets... Great fun!!! I had several other mech games on my Oculus, but they're gone now. Home... at... last!!! Someone, pass the ammo, I'm going in!",May 6 at 5:15 AM,5, 16, ,175
2022-06-13 22:56:35.686029,Pall_Smenis,A Tedious Teaser for mech game greatness,"First off, the good.. I've seen other reviews complaining about the graphics. Anyone who says the graphics are bad are uneducated idiots. Visually, what has been achieved here using glorified cellphone hardware is outstanding. The cockpit and mechs look awesome. 

Now the bad. 

The crew graphics, is the sh$% of nightmares... 18 teeth on the bottom row?? Tilting their heads slowly while talking to the point a bone in their neck sticks out??? Hans with massive arms that go through his body, and his tiny unproportionate  hands??? 

Enough graphics, now the game. The game play is tedious, slow and drab. Theres Way too much terrible dialogue (Frank is Dreadful) and not enough action. You finally slog through the forced dialogue to get into some ""action"" only to be faced with walking, MORE terrible dialogue then finally..... 3 mins of shooting. 

Worst of all, in between every mission your forced to run around the ship aimlessly playing ""can you find my thing"" (actual quote from the game).... you spend more time doing this than anything else. 

That's the main reason I'm writing this review. I tried to refund this dreadful game but apparently had surpassed the 2 hour playtime period whilst trying to get through all the dialogue needed to get off the ship and into a mech. Now I'm stuck with it.. 


But I did eventually get off the ship, so I can critique.. the Combat! I get mechs are suppose to be heavy, but God combat is painfully slow.... The fuel and over heating systems are sh$%, You fire 4 shots and you're over heated, you use you're jets for 10 seconds then wait 30 for them to refill... It feels like you're just taking turns shooting each other and whoever has the beefier mech wins. 

Honestly this game achieved one thing, proving VR was invented for mech pilotting games. 

So game creators... Kudos on the graphics. But may I plead the following to make this a GREAT game..  Sack your voice actors (or atleast just Frank), keep dialogue brief, don't force players to looks for cans of Jam between missions. Speed up the game play! Add actual strafe controls!  Add More fuel that lasts longer and regenerates faster way less over heating! 

Cheers",Apr 30 at 4:02 PM,2, 18,"Hi Pall_Smenis, thanks for your thoughts on the game, pity it didn't gel with your personal sensibilities. VOX is a game that takes some time to learn the nuts and bolts, though with the tools at hand these grinders can achieve some incredible fun. There is a method to the madness, and I encourage you to hop on over to multiplayer to get a real sense for exactly why it was built this way. To address one of your top issues, you are able to at any point skip any intermission to be able to jump right into the action sections. Furthermore, an upcoming update is refining the flow of the intermissions to make more sections optional, so players are never really ""forced"" through any of it, only the parts they wish to explore. Some visual illusions such as the impression of excess teeth are being addressed, though animation systems remain something in the future to improve with certain characters you noticed. With regards to fuel/heat specifically, strategic use of weapons is key, and certain weapons produce more or less heat, so changing your loadout/grinder is also important to cater to your play style. Grinders themselves come in different build sizes, and have differing fuel/heat characteristics as well. I encourage you to tinker and explore the possibilities in multiplayer, either in offline practice or online with our great community of players.",175
2022-06-13 22:56:35.699333,Spiffy,Just the mech game you wanted!,"I was in my young teens when Mechwarrior 2 came out and blew my mind.  Since then, no mech game has grabbed me the same way, until Vox Machinae.  Actually being in the cockpit, in a machine that feels massive and heavy, taking apart other mechs with a  balanced weaponry / control / damage system.. it's what I've always wanted.  it'll take a bit to learn, but rewards you when you do.

The single player campign is well done. I've read some griping about the between-mission filler, but I'll argue that it really does let the game world sink in much better with some contextual banter.. the writing is whimsical, humorous, and carries on the fine Wing Commander tradition of making the gameplay mean more when there are characters and a world associated to the things that are exploding in-game.  

 The missions themselves are nicely scripted with triggered events, story developments, pilot banter, changing objectives, just like old Mechwarrior games or Xwing missions of yore.  

Limitations of the game:  look, you can tell they're not a AAA dev with millions of $ in resources.  The human character animation looks kinda busted, the in-game scope is restrained... I wish  texture detail was more crisp, that there could be much more environmental details to sell the scale of the world, like trees, more complex building layouts, cities, little people in spacesuits taking cover... but this is on the Quest2 hardware, it's astonishing they can pull this off at all, given they have damage detail, missile trails, all the required stuff.  I want more like this, so buy it, mech (and simulation) fans!!  

Note, I'm not a multiplayer guy, but skirmishing with bots 4 on 4  is plenty of fun for many an hour.",3 days ago,5, 1, ,175
2022-06-13 22:56:35.713954,Kalbrek009,What happened?,"Seem to work well until the latest update where now somehow the transport trucks (you’re supposed to protect in Dangerous Goods) get off track & just drive in circles or drive forward, then back up & they won’t continue so as to get to Final Straw. Gave up after 15 of wandering around waiting for 1 truck (I think there are supposed to be 3 vehicles but there’s only the 1 truck) which seems to just go in circles. I’ve even tried “pushing” the truck back on track but it just continues to drive erratically in circles.",6 days ago,4, 0,"We've been able to find a very rare situation where the trucks can misbehave similar to the way you're describing. You're best bet is to restart the mission from the start, as opposed to continuing from a checkpoint, because once the problem starts it will stick around from a continue. Sorry to hear this mission is misbehaving this way. We have created a solution to the problem, though that won't be released for another few weeks with our next content update.",175
2022-06-13 22:56:42.863374,Armyguy31b01,The Mech Simulator I Waited For!,"I bought this a while ago for PC but haven't been able to play in ages.  Hearing this came to the Quest 2...my mind was blown.

PROs:  It's a mech simulator that separates itself apart from other similar titles.  Hands down, the most emersive VR experience I have (and I am somewhat of a VR enthusiast).  May just be my bias for mech games, but I absolutely love this game and is my current favorite.  The multiplayer is what really makes this game.  A total of 16 players, is pure chaos.  Unique voice chat adds to the emersion.  It feels like you are actually piloting this massive war machine.  The fan base is incredibly helpful and welcoming  to new players.  Remember, this game is treated like a sim.  Yes, you can pick up right out of the box and get into it, but there will be a learning curve.  It's. Its NOT you're typical run and gun.

CONs:. The quest version takes a hit to graphics.  No surprise there.  I am still absolutely shocked by what the team was able to squeeze in here.  The campaign is a great add, but I gotta say...not a fan of doing a bunch of meaningless tasks outside of my grinder missions.  It's frustrating trying to talk to everybody and find that ""trigger"" that gets me back into the action.  Yes there are glitches which I will outline below:

1.  Game crashes quite a bit.  Not casting which seems to be an issue as well.  At times, the game will not start at the beginning and crash out right.  Might take a few times trying to load the game initially.  I've had 4 crashes mid game so far.

2.  Graphical glitches.  Handing things to players is weird.  Body parts such as hands and legs twist and turn extremely unnatrually.  Drops the emersion value.  Picking up objects sometimes doesn't work.  

Those are the big ones right now.  Played about 5 hours total so far.  Must have!!!!",Mar 6 at 3:20 AM,5, 62, ,175
2022-06-13 22:56:42.879251,AndysVrReviews,Mech robots in VR!,"For a full video review visit Andy's VR Reviews on Youtube.

Have you ever dreamed of piloting a 100-foot tall mech robot? If so, Vox Machinae is the game for you. With a 10+ hour campaign, you really feel like you get your money's worth and that's without mentioning the multiplayer cross-platform experience with 6 game types including PVP and Bots. Sometimes VR games just get it right and Vox Machinae is one of those games. The mechanics, the environments, the story, and everything else fits perfectly together to make an overall great game. Great job guys!",Mar 4 at 3:01 AM,5, 168, ,175
2022-06-13 22:56:42.892618,MystyTideseeker,Not for the faint of heart,"If you're here for the multiplayer (and let's face it, most of us are), please understand; this game is ALL about skill and tactics. There is no auto-aim, I don't believe there's auto-assist and you WILL be destroyed endlessly if you don't stick with at least one other person and have a well-balanced team of mechs. There may come a point where you become one of the great players, and then you may not have to care quite as much, but....when you start getting it, it's incredibly satisfying. Only loss of a star would be for a pretty hefty lack of customization.",Apr 23 at 4:12 AM,4, 7, ,175
2022-06-13 22:56:42.905425,BigBoss._,Nice but,"Best mech game you can get. but story is too slow,like you walking for 30 mins then fight for 5 mins. And they are talking too much while i just want to ride a robot and shoot some stuff.

And this game have zero comfortable option on cockpit ,so you will need strong vr immunity to play this game.",Mar 4 at 1:41 PM,4, 65,"Hi BigBoss. If the story isn't your cup of tea and you'd like to get to the action quicker, you can speed things up by skipping character dialog using the B button. You can also teleport around the ship quickly, and combining these 2 things will let you get to the missions in no time! For the cockpit experience, we do have a comfort setting we call ""blinders"" (find it in settings>video>blinders) which you can increase to the aggressive setting and that may help improve your comfort while turning the grinder left or right.",175
2022-06-13 22:56:42.918193,Talon1,Thank you Devs!,"14 year old me would be in heaven.  Back in the 90's, when I was playing MechWarrior 2 on my 486dx2/50, I never in my wildest dreams thought that there would be EXACTLY THAT in VR 30 years later. We have big, lumbering, heavy mechs. Heat management is important. Limbs can be blown off. It's all very similar to MW2. Great job guys!",Mar 4 at 5:34 AM,5, 54, ,175
