Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
611660,Fallout 4 VR,Bethesda Game Studios,Bethesda Softworks,"12 Dec, 2017","¥ 7,980",78,;valveindex;htc;windowsmr,;vr_input_motion,;standing;roomscale,;RPG,;English;French;Italian;German;Spanish - Spain;Polish;Portuguese - Brazil;Russian;Japanese;Traditional Chinese
751630,After the Fall®,Vertigo Games,Vertigo Games,"10 Dec, 2021","¥ 4,100",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure,;English;French;Italian;German;Japanese;Korean;Russian;Simplified Chinese;Spanish - Latin America
1137170,NEKROTRONIC VR,Spectre Studios,Roache-Turner Films,"29 Aug, 2019",Free To Play,,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action,;English
923230,DreamBack VR,Come Over Gaming S.L.U.,Come Over Gaming S.L.U.,"11 Jun, 2020","¥ 1,730",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Adventure;Indie,;English
342180,Arizona Sunshine®,Vertigo Games,Vertigo Games,"7 Dec, 2016","¥ 3,090",81,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Adventure;Indie,;English;French;Italian;German;Spanish - Spain;Japanese;Korean;Russian;Simplified Chinese
1156250,The Exorcist: Legion VR (Deluxe Edition),Wolf & Wood Interactive Ltd,Fun Train,"11 Oct, 2019","¥ 2,570",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Adventure;Indie;Simulation,;English;Spanish - Spain
552300,Soldier Sortie :VR Agent 006,"Shandong Jerei Digital Technology Co.,LTD.","Shandong Jerei Digital Technology Co.,LTD.","29 Jul, 2017","¥ 1,980",,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Strategy,;English;Simplified Chinese
1493060,Immortal Legacy: The Jade Cipher[VR],Viva Games,Viva Games,"19 Mar, 2021","¥ 1,320",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Indie,;English;French;Italian;German;Spanish - Spain;Japanese;Korean;Portuguese - Brazil;Simplified Chinese;Spanish - Latin America;Traditional Chinese
1576910,Hellgate VR,T3Entertainment,HanbitSoft,"31 Mar, 2021","¥ 1,320",,;htc;oculus,;vr_input_motion,;seated;standing,;Action;Adventure;Strategy,;English;Japanese;Simplified Chinese;Korean;Traditional Chinese
755640,Predator VR,Phosphor Studios,FoxNext VR Studio,,,,;htc,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure,;English
594220,The Living Remain,Five Finger Studios,Five Finger Studios,"6 Apr, 2022","¥ 2,050",,;htc;oculus,;vr_input_motion,;standing;roomscale,;Action;Adventure;Indie;Early Access,;English
602130,Violent killer VR,威震天科技,威震天科技,"17 Mar, 2017",¥ 298,,;valveindex;htc,;vr_input_motion,;standing;roomscale,;Action;Adventure,;English
686100,CanBoom VR,eiNpictures,eiNpictures,"22 Aug, 2017",¥ 798,,;valveindex;htc,;vr_input_motion,;seated;standing,;Casual;Indie,;English
514630,Nightfall: Eclipse VR,Zeenoh,Zeenoh Inc.,"30 Oct, 2016",¥ 198,,;oculus,;controller;vr_input_kbm,;seated;roomscale,;Adventure;Indie;Simulation,;English
828410,OniBushi VR,CentVire,CentVire,"13 Apr, 2018","¥ 1,010",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action;Indie;Early Access,;English
1043800,Metal Suit Warrior VR,Nadia Soft Inc.,Nadia Soft Inc.,"31 Mar, 2019","¥ 1,120",,;valveindex;htc,;vr_input_motion,;seated;standing,;Action;Casual;Indie,;English
650000,DOOM VFR,id Software,Bethesda Softworks,"1 Dec, 2017","¥ 1,706",,;valveindex;htc;windowsmr,;vr_input_motion;controller,;roomscale,;Action,;English;French;Italian;German;Spanish - Spain;Japanese;Polish;Portuguese - Brazil;Russian;Traditional Chinese
1290620,'Member the Alamo? VR EDITION,Blue Collar Games,Blue Collar Games,"20 May, 2020",¥ 520,,;htc;oculus,;vr_input_motion,;seated;standing,;Action,;English
546150,Primordian,Stonepunk Studios,Stonepunk Studios,"20 Jan, 2018","¥ 2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Adventure;Early Access,;English
841460,The Great C,Secret Location Inc.,Secret Location Inc.,"9 Oct, 2018",¥ 620,,;valveindex;htc;oculus,;vr_input_motion,;seated,;Adventure;Casual,;English
718530,The Survival Test VR: Defend To Death,QguGame,QguGame,"1 Nov, 2017",¥ 620,,;valveindex;htc,;vr_input_motion,;seated;standing,;Action;Adventure;Casual,;English;Simplified Chinese
850210,Arizona Sunshine® - Dead Man DLC,Vertigo Games,Vertigo Games,"25 May, 2018",¥ 310,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Adventure;Indie,;English;French;Italian;German;Spanish - Spain;Japanese;Korean;Russian;Simplified Chinese
1449840,Escape Together,GameHuntGuild,GameHuntGuild,TBD,,,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Casual;Indie;Simulation,;English
675510,Kingdom City Drowning Episode 1 - The Champion,phoenixmirror,phoenixmirror,"30 Aug, 2017",¥ 498,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated,;Action;Adventure;Indie,;English
637040,RoadkillerZ,Black Room Games,Black Room Games,"29 May, 2017",¥ 398,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,;Action;Indie;Racing;Early Access,;English
782020,Endless Crusade,"Beijing Omnicity Technology Co., Ltd.","Beijing Omnicity Technology Co., Ltd.","4 May, 2018",¥ 520,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Indie;RPG;Early Access,;English;Simplified Chinese
577290,Drunk or Dead,4 I Lab,4 I Lab,"10 Jan, 2017","¥ 1,125",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;roomscale,;Action;Indie;Simulation,;English;French;German;Spanish - Spain;Simplified Chinese;Russian;Japanese;Korean
512830,Zombie Trigger,Xuebao Games,Xuebao Games,Aug 2016,¥ 298,,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Adventure;Casual;Early Access,;English;Simplified Chinese
1112670,Yet Another Waveshooter,Dennis M. Heine,Dennis M. Heine,"25 Jun, 2019",¥ 520,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Casual,;English
720950,EGE DistantPlanet NonXXX,DevRifter,DevRifter,"16 Oct, 2017",¥ 620,,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Casual;Indie,;English
1718650,Nuremberg: VRdict of Nations,Rossiya Segodnya,Rossiya Segodnya,"21 Sep, 2021",Free To Play,,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Casual;Free to Play;Simulation,;English;Russian;Simplified Chinese
1011260,Settlement Zero,Blueinca Studios,Blueinca Studios,"7 Feb, 2019","¥ 1,520",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Indie;Early Access,;English
1671500,Ancient Huntsmen,Patha Pradipa 挪灯人,LuciiDream 清醒梦,"12 Nov, 2021",¥ 620,,;valveindex;htc,;vr_input_motion,;seated;standing,;Action;Indie;RPG,;English;Simplified Chinese
776990,Drunk or Dead - On the Road,4 I Lab,4 I Lab,"11 Jan, 2018",¥ 335,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing,;Action;Indie;Racing;Simulation,;English;French;German;Spanish - Spain;Simplified Chinese;Russian;Japanese;Korean
