Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
546560,Half-Life: Alyx,Valve,Valve,"23 Mar, 2020","¥6,290",93,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure,;English;French;German;Spanish - Spain;Japanese;Korean;Russian;Simplified Chinese;Spanish - Latin America;Traditional Chinese;Italian;Czech;Hungarian;Polish;Portuguese;Portuguese - Brazil;Ukrainian;Vietnamese;Bulgarian;Greek;Danish;Dutch;Norwegian;Romanian;Thai;Turkish;Finnish;Swedish
617830,SUPERHOT VR,SUPERHOT Team,SUPERHOT Team,"25 May, 2017","¥2,499",83,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing,;Action;Indie,;English;Simplified Chinese;Traditional Chinese;French;Italian;German;Spanish - Spain;Japanese;Polish;Russian;Korean
667970,VTOL VR,"Boundless Dynamics, LLC","Boundless Dynamics, LLC","3 Aug, 2017","¥2,980",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated,;Action;Indie;Simulation,;English;Simplified Chinese;Russian;Japanese
1012790,Into the Radius VR,CM Games,CM Games,"20 Jul, 2020","¥3,090",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Indie,;English
1849900,Among Us VR,Schell Games,Innersloth LLC,Holiday 2022,,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing,;Casual,;English
1683340,Kayak VR: Mirage,Better Than Life,Better Than Life B.V.,"28 Jun, 2022",,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Casual;Indie;Racing;Simulation,;English;German;French;Spanish - Spain;Japanese;Korean;Portuguese;Simplified Chinese;Italian
1514840,All-In-One Sports VR,Appnori Inc.,Appnori Inc.,"25 Feb, 2021",,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;roomscale,;Sports;Early Access,;English;French;Italian;German;Spanish - Spain;Japanese;Korean;Polish;Portuguese;Russian;Simplified Chinese;Traditional Chinese;Turkish
629730,Blade and Sorcery,WarpFrog,WarpFrog,"11 Dec, 2018","¥2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Adventure;Indie;RPG;Simulation;Early Access,;English
1173510,XSOverlay,Xiexe,Xiexe,"3 Mar, 2020","¥1,010",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Utilities;Early Access,;English;Japanese;Spanish - Latin America
877200,Zero Caliber VR,XREAL Games,XREAL Games,"9 Nov, 2018","¥2,980",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Casual;Indie;Simulation;Early Access,;English
1592190,BONELAB,Stress Level Zero,Stress Level Zero,2022,,,;valveindex;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Simulation,;English
