Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
739630,Phasmophobia,Kinetic Games,Kinetic Games,"18 Sep, 2020","¥ 1,420",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Indie;Early Access,;English;Portuguese;Spanish - Spain;Portuguese - Brazil;German;French;Italian;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Romanian;Russian;Simplified Chinese;Swedish;Traditional Chinese;Turkish;Ukrainian
1250410,Microsoft Flight Simulator Game of the Year Edition,Asobo Studio,Xbox Game Studios,"17 Apr, 2020","¥ 7,452",91,;valveindex;htc;oculus;windowsmr,;vr_input_kbm,;seated,;Simulation,;English;French;Italian;German;Spanish - Spain;Polish;Portuguese - Brazil;Russian;Dutch;Finnish;Japanese;Norwegian;Swedish
438100,VRChat,VRChat Inc.,VRChat Inc.,"1 Feb, 2017",Free To Play,,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller;vr_input_kbm,;seated;standing;roomscale,;Adventure;Casual;Free to Play;Massively Multiplayer;Simulation;Sports;Early Access,;English
244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,"19 Dec, 2014","¥ 2,050",85,;valveindex;htc;oculus;windowsmr,;controller;vr_input_kbm,;seated,;Indie;Racing;Simulation;Sports,;English;Italian;Simplified Chinese;Traditional Chinese
223750,DCS World Steam Edition,Eagle Dynamics SA,,"18 Mar, 2018",Free,,;valveindex;htc;oculus;windowsmr,;controller;vr_input_kbm,;seated,;Free to Play;Simulation,;English;German;Spanish - Spain;Russian;Czech;French;Simplified Chinese
1692250,F1® 22,Codemasters,Electronic Arts,"1 Jul, 2022","¥ 8,700",,;valveindex;htc;oculus,;vr_input_kbm,;seated,;Racing;Sports,;English;French;Italian;German;Spanish - Spain;Dutch;Japanese;Portuguese - Brazil;Simplified Chinese;Polish;Russian
805550,Assetto Corsa Competizione,Kunos Simulazioni,505 Games,"29 May, 2019","¥ 4,250",77,;valveindex;htc;oculus;windowsmr,;controller;vr_input_kbm,;seated,;Racing;Simulation;Sports,;English;Italian;French;German;Spanish - Spain;Simplified Chinese;Traditional Chinese;Korean;Japanese;Polish;Portuguese;Russian
341800,Keep Talking and Nobody Explodes,Steel Crate Games,Steel Crate Games,"8 Oct, 2015","¥ 1,480",,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller,;seated;standing,;Indie,;English;Japanese;Spanish - Spain;Dutch;Polish;Romanian;Turkish;Spanish - Latin America;Italian;Finnish;Norwegian;Portuguese - Brazil;Russian;Simplified Chinese;French;German;Arabic;Czech;Danish;Hungarian;Korean;Portuguese;Swedish;Thai;Traditional Chinese;Ukrainian
690790,DiRT Rally 2.0,Codemasters,Codemasters,"25 Feb, 2019","¥ 6,333",84,;valveindex;htc;oculus;windowsmr,,;seated,;Racing;Simulation;Sports,;English;French;Italian;German;Spanish - Spain;Polish;Portuguese - Brazil;Japanese
365960,rFactor 2,Studio 397,Studio 397,"28 Mar, 2013","¥ 3,350",,;valveindex;htc;oculus;windowsmr,;controller;vr_input_kbm,;seated,;Racing;Simulation;Sports,;English
