scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 11:17:31.657887,"
Its working very googAnd its the good version of htc viveThe htc vive cosmos eliteمنتج رائع
",Reviewed in the United Arab Emirates on 29 May 2021,5,,"
Very good
"
2022-05-23 11:17:31.833419,"
This is really frustrating since HTC is one of the big companies out there,  I received the Normal cosmos and not the Cosmos elite twice after issuing a replacement and the third time they couldn’t even bring the right one.
",Reviewed in the United Arab Emirates on 28 October 2020,1,,"
Scam?
"
2022-05-23 11:17:31.849348,"
Do not buy this product. Please, for your own sake, DON'T. They must require you to use their ""Viveport"" software in order to basically get the drivers. Viveport is the single worst piece of software I have ever experienced, by far. Couldn't tell you how the actual item works, I've spent over a week just attempting to get the software to do anything, and I still haven't gotten so much as a flicker out of the headset. I can't even describe how horrible Viveport software is.I haven't given up yet due to the money already wasted here, figure I'll end up begging Amazon for a refund before its through. For the record, I will not be updating this review, even if it does decide to work, after the amount of trouble I've already had out of this... I don't care how good or bad it is, it wasn't worth the hassle.So PLEASE, for your own sake, buy something else.Update: 15 days after receiving, the software for this paper weight still doesn't work. Customer support answer? Reformat your computer form this software to function. Really? This ""items"" only works with a new, unused install of Windows10? Where is that in the description? Where is the disclaimer ""you will have to erase your computer to install this device"".
",Reviewed in the United States on 3 August 2020,1,,"
PLEASE buy anything that doesn't require Viveport software.
"
2022-05-23 11:17:31.864331,"
So this is supposed to be better from previous VR headsets. But it's not.Display. Vive Pro display is better. If we talk about SDE. Vive Pro and Elite have almost the same SDE. But ViVe pro has larger sweet spot. So has a sharper image all around.  Sweet spot on the vive elite is small because of that you se blurrier display arround the edges and because in vive elite LCD screens are used. In darker scenes the quality of the image is worse. I think audio is also better in vive pro than elite and comfort also. So vive pro is beter than elite if you are confused between the two.
",Reviewed in India on 29 September 2020,1,,"
Technology is going forward or backward ?
"
2022-05-23 11:17:31.877625,"
The cable that connects to the headset and how the cable runs through the headset isnt designed for the flip up feature of the headset. I Only got a few month of use before the cable stopped working due to the strain on it caused by flipping the headset up.The headset is now useless until I purchase a new cable.An added annoyance is the headphones that come attached to the headset, they flip in and out to allow you to remove them without taking off the headset but they only have the two positions. Flipped out of course they are to far away from your head to hear anything, but flipped in they are so tight that slight movement of the head causes them to pop out, and there is no in-between position. Meaning that if it doesnt fit you perfectly they are useless and removing the headphones would require disassembling parts of the headset.So if you are someone who uses a VR headset on a regular basis, I would recommend trying other options before going with this headset, and if you do own this headset be careful when flipping the headset up.
",Reviewed in Canada on 8 January 2021,1,,"
cheap cables and design
"
2022-05-23 11:17:31.891270,"
Screen Quality is crazy, literally the best. But, make sure you have a good GPU and those controllers are quite hard to use, I prefered the Oculus one by far more
",Reviewed in Canada on 5 January 2021,3,,"
Good Screen Quality / Meh Controllers
"
2022-05-23 11:17:31.905202,"
Premier casque vr et je dois dire qu’il est exellent.Belle qualité visuel et super bon tracking.
",Reviewed in Canada on 11 January 2021,5,,"
Excellent casque !
"
2022-05-23 11:17:31.917313,"
How do I return this item? Ive only had it a few months and used it 4-5 times. It was working this morning, came back this eve and it isnt recognized.
",Reviewed in Canada on 20 August 2021,1,,"
Had this for a few months, already doesn't work.
"
2022-05-23 11:17:31.932797,"
Got a pre opened package, parts where missing.... not acceptable.
",Reviewed in Canada on 25 September 2020,1,,"
pre opened
"
2022-05-23 11:17:31.946178,"
As an Oculus and Windows Mixed Reality user, I was definitely expecting a difference with this system. And I was right. Been using this for about a week consistently with a Ryzen 7 2700 and RTX 2070 Super, and here's what I found:First, the pros:- Modularity (can swap to original cosmos and other models).- Upgrade to Index or its parts down the line, if you so wish.- Beautiful and almost crystal clear display.- Looks fantastic and very good build quality.- Tried and true SteamVR tracking and higher refresh rate (90Hz), making for a buttery smooth and precisely tracked VR experience.- Very comfortable headset. Almost on par with the Rift S.Now for the cons:- Very VERY small sweet spot. Took me about half an hour of adjusting to get that crystal clear image.- The included Vive controllers. Didn't use them before, but I'm not a big fan. The button placement and trackpads made some in-game features an annoyance. Reminds me too much of the WMR controllers.- Headset bobbing (if that makes sense). May just be a software bug and only ran into it one day, but when I fired up Pistol Whip and Beat Saber the game itself moved with the headset when looking around the room despite tracking smoothly. This issue was not only a nuisance for me but was also very nauseating. I did have high settings when recording with OBS so the issue may have just been a bottleneck.Overall, while it is very hard to justify the $900 price point, I'm actually pretty impressed by the Vive Cosmos Elite, especially given the mixed reviews of the original Cosmos. It may not fully compete with the Valve Index, but it's not far behind either. If you can get past the controllers and sweet spot issue, you're looking at a very decent experience. Plus, if you still want to upgrade to the Index down the line, you have the freedom to do so.
",Reviewed in the United States on 27 March 2020,4,,"
Cons aside, I'm impressed HTC.
"
2022-05-23 11:17:42.159599,"
So i bought this back in April of 2020, 970 bucks new. It worked fine. Had to have a base station replaced. Which was hassle free. Now i just upgraded my pc with an rtx 3080 gpu, had several problems with tracking, and grey outs. I messaged vive about the issues. Turns out the drivers aren't compatible with the new 30 series cards. That's fine, so long as there is going to be an update to the software. But support just kept telling me to buy another gpu. One That's on the supported list. Basically told me to spend more money to downgrade to fit their product. They wouldn't say that there would be any software upgrades. They just told me buy another gpu. That works for their product. So if you plan to buy a 30 series or AMD variant gpu, be aware that HTC will not acknowledge it. They will tell you to buy a gpu thatcis already on their list. Instead, buy a reverb, or index. Now I'm stuck with a 970 dollar brick you wear on your head, that is absolutely useless. A thousand dollars pretty much just stolen from me not even 6 months in.
",Reviewed in the United States on 25 June 2020,1,,"
Buy something else.
"
2022-05-23 11:17:42.189594,"
For their latest and greatest headset, its literally all old hardware. Here are all the issues and complaints I have:1. The controllers that come with this are 1.0, IE not compatible with 2.0 base stations. This one really pisses me off honestly cause I just bought 2.0 base stations cause I am moving everything out to my living room, just to find that they are not compatible.2. The sound quality from the headphones is very tin can like and completely out shined by the valve index.3. I also had to literally zip tie the headphones down cause they kept snapping up.4. My playspace keeps going slanted, though this is fixable with some extra work and a whole lot of googling, my point is I shouldn't of had to do this to begin with.5. They seriously need to redesign their controllers, they are huge uncomfortable and clumsy and are literally only good for beat saber.6. Headset feels too loose even when tightened down.Ok all that being said I do have some pro's to say:1. Once I figured out how to properly position the headset I would say it is the most comfortable headset I have had.2. I really like the rubber padding that they have as I am typically doing physically active things that make me sweat, so the rubber doesn't soak it up and get gross. I can quickly wipe it down and move on. Even being rubber it is still really comfy to me.3. The picture quality is comparable to the valve index.4. You can go wireless, which is ultimately what is preventing me from returning it.
",Reviewed in the United States on 25 May 2020,2,,"
old hardware as their flagship
"
2022-05-23 11:17:42.189594,"
So the htc vive cosmos elite. You are probably like me when I was buying this headset and wondering why would I buy this head if I can get a valve index for only $100 more?  Well for one the whole point with the cosmos is customization. The way how the head set was built was for multiple attachments to be on it and face plates that can feel like your on a whole new head set. What I mean and what I think vibe is trying to do is make something you will never need to change out but instead just spend like $200 for a new face plate and boom it’s like you just bought a new head set. Plus let’s not forget this headset has a better refresh rate , better shipping , and it can be wireless all unlike the valve index.So in short words I would recommend getting this headset because it could save you money farther down the future.If you are switching from an oculus headset or a mixed reality head set I guarantee you will have a whole new experience. Now also this depends on your pc but that’s for every head set now.So there you have it that’s my honest opinion on theHTC VIVE COSMOS ELITE
",Reviewed in the United States on 5 April 2020,5,,"
A great headset and investment to save you money later on
"
2022-05-23 11:17:42.204591,"
I've had this a while and love it. But it's not for everyone, I'm gonna simply list PROs/ConsPros:Easy to set upAvailabilityComfortablePicture qualityDecent refreshVery little screen doorModular!!!Flip up visorHAS EVERYTHING FOR BASIC CONFIGURATIONCONS:Price price price1.0 lighthousesVive wandsSmall sweetspot(more on this)HeadphonesFlip up visorRant/reviewPicked this up as it was available and I've been dying to get into the VR space.The picture is great, however the sweetspot is hard to find and is very very small. Few things I've done to improve this was swap lenses, and change forehead pad to a slightly thinner one (I made it myself as no aftermarket is available)Prior to mods, flipping up.visor caused me to lose my sweetspot and having longer hair the HMD wanted to fall off my head.The headphones that came with the HMD are of decent audio quality, but I personally found them uncomfortable, and never sat quite right on my ears, so i removed them and flipped the cable guide tucked in the rear padding to reroute the cable so it wasnt catching my ear. I use a Corsaie Void Pro headset and compliments the HMD well, and helps maintain position of HMD as well as sweetspot.The light houses are 1.0, they work for me but if you use a LARGE room scale play area, you'll need to upgrade. I havent hit the limitations of the 1.0s personally yet.The wants, are kind of eh.. the batteries last about 4 hours, and they never die at the same time. They get to be awkward and uncomfortable in some games and feel somewhat limited vs. Other options available.However it has EVERYTHING you need to hop up and get started. Imho not worth $800 but I'm satisfied with my purchase.
",Reviewed in the United States on 22 July 2020,4,,"
Read Me!
"
2022-05-23 11:17:42.234586,"
ok first let me just say vr is hand down amazing i didnt know that  vr was that amazing lol the best ok so second thing the price ok let me just say yea it is a bit high but u got to  understand the tech in the headset is hand down cutting edge and u got to think ur not just buy goggles its a gaming console like a pre build pc or a xbox or ps4 so the price in the long run is worth it for a better headset third thing  games  ok on steam there are some many cool games and then the best part there all cheaper then other game there some games for a 1 that are not very loing but they are so fun and there a ton of free games that are more playable then the one u pay for and they have amazing deals  and the 6 month vive subscription  has 1254 games for this headset alone  now from what i seen of this headset on steam and vive  this headset is compatible with all the games pretty much now fourth thing iv talk to a couple of friends that have played on other vr and they said mine runs the best and looked better then the other one but  FIVE STARS FOR THIS VR amazing  last two things when u buy this  seting up the sensors are the hardest part but all the good vr has the sensors  now to set them up on the wall is nice but i wish i would of spent the extra and got the stand for them and then that way u dont have to put hole in ur wall and u can move them around like i put them on my wall and i will not take them down at all inless i buy the stands they sell the stand on here for pretty cheap but they would be worth it all the work i did to set my up on the wall
",Reviewed in the United States on 1 July 2020,5,,"
ok so this is my first vr
"
2022-05-23 11:17:42.234586,"
I have had this for a few months now.I had used the original vive at a friends house.I picked this because of the price. I was a little nervous, as I heard the reviews for the cosmos were not that great. But with the base stations it works amazing. No regrets!
",Reviewed in the United States on 18 May 2020,5,,"
Really impressed
"
2022-05-23 11:17:42.264581,"
The wands and base stations work but not the headset. When I plugged in the headset the red light on the left side lights up indicating that it is getting power and the base stations recognized it during room setup but when I put the headset on in order to ""wake it up"" the headset just displays a blank/black screen the same as if it were completely unplugged. I am not sure what the buton on the left of the headset next to the red light is but if it is the power button then the headset is broken. Please either provide me with reasonable tech support or a new headset and I will change this to 5 stars.
",Reviewed in the United States on 30 June 2020,1,,"
Cosmos Elite Headset doesn't work.
"
2022-05-23 11:17:42.279578,"
For a premium high end headset the amount of issues ive had are insane first the cable stoped working i reached out to vive about getting a replacement which toke 3 hours of live chating bevause they don't have a call center so u cant talk to a agent which for something as complex as vr is a pretty big deal honestly so they said theyd send a cable in 3 weeks which im sure means ill see it in a month or 2 so i bought a wireless adapterto use while i wait when setting up the adapter (which btw is also trash 400$ for 2 hours of use is crazy takes 6-8 hours to charge) ine of the cheap thin plastic headphone straps snaped off so i reached back out annoyed that theres so much cheap and easily dmged parts on a almost 1000$ headset and they told me instead of just sending me a replacement piece id have to send the whole headset in and itd cost 340$ to fix and could take a month trust me when i say itll save you so much money just to spend a extra 100$ for the index which is better in every way my experience with vive has been awful from the start and they're customer service is a joke
",Reviewed in the United States on 27 March 2021,1,,"
Just buy the index trust me Very cheap accessory and AWFUL customer service youll save so much money
"
2022-05-23 11:17:42.294575,"
I'm rather surprised this worked on my system. My gaming PC is an MSI GL63-series laptop with a Geforce 1660 TI Mobile graphics card. Not exactly the Lambo of gaming laptops or graphics, but it handles well enough for every game I've put it up against.All the 'DisplayPort needed' talk made me wiggle too, but an MDP-to-DP adapter make it work perfectly. (Heck, it came with one in the packaging, too)Pros:So far, games work just fine on mediumish quality with little to no lag issues. I play Half Life: Alyx on Medium and it works very well, Beat Sabre give no trouble, and VRchat also operated quite well. The room-tracking actually impressed me, it was quite near 1:1 movement with maybe 2-15 ms delay at worst and that was because of the laptop most likely. It presented an appropriate sense of scale within applications, as well as ample crouch detection, which you need for some games behind cover!The button configuration works well enough for all apps since SteamVR is handling most of the input mappings to known VR systems I suppose. Sure, it doesn't have a hand strap like the Index... so I use the wrist straps and don't drop my controllers. I don't hand per-finger tracking, but I got grips, and the interfaces are fine with that. Sure, I popped extra for the room sensors, it made logical sense so my clumsy self won't bump into the TV or  couch.Cons:The cable can bunch up a bit after a few dozen turns around the room, I'll attest to that. Sort of wish the earphones would better press to my ears, but I can hear through them fine while they hover just a half-inch away from my ears. Wouldn't've minded a 3.5mm plug to auxiliary headphones. Mic works in VRchat clearly however.Maybe this is just me still finding my VR legs, but after a few hours of usage, I do notice a 'tactile disparity' with the real world the next day. It's gotten better, probably need to tune that side eye-spacing knob a little better. But that knob ain't great and I can't go below 60mm which might help some smaller folk.Sure I had to make a Vive account during setup but... at least it ain't hocking my personal information or locking my games to a Meta account like some VR solutions might be doing. I don't HAVE to use the Vive storefront; SteamVR interfaces with it just fine. In fact, it's what does the actual room setup.Summary:I mean, sure the Index would be baller, but some of us have more important things like... you know... rent or groceries or bills. Do you NEED a $1,000+ VR setup? ... I mean REALLY NEED it? Do you need a $1,000+ phone? I mean REALLY NEED it? Do you NEED a car with power windows or can you just use the hand crank to achieve the same outcome and save a couple hundred bucks?Moderation in all things; the middle option is oftentimes sufficient. The HTC Cosmos Elite is plenty sufficient for its intended use case scenarios.
",Reviewed in the United States on 31 January 2022,5,,"
Not Meta or cheap, not the Porche Index of VR, but rather right in the middle!
"
2022-05-23 11:17:42.309573,"
So for anyone looking to get into VR, this doesn't seem like a bad investment until it actually arives and you use it for a period of time longer than 2 hours.the TL;DR of this is, headset design sucks, ipd wheel problems, resolution isn't as good as stated. Vive wands are great and seem like solid hardware. Base station 1.0 are decent with enough light but will still have some blind spots, upgrading to 3-4 base station 2.0 will solve any and all tracking issues.To start off, this headset is plagued by a faulty IPD wheel which happens on atleast enough of the headsets that there's a RMA for it and multiple posts across reddit and the like. This faulty IPD wheel (that uses tiny plastic gears that break over time) will cause a anoying and large screen to pop up showing you the calibration for the IPD which will destroy your ability to see anything in game. Playing beat saber when this happens will induce a rage akin to someone having murdered your dog.The build quality and design of the headset is also rather...childish. In HTC's infinite wisdom they wanted to have a flip up design, the issue is now the weight of the front headset rests on a hinge that is attached to a crown. This weight is pulled down your face due to it's design whereas the index or occulus, for example, use both a top strap and side straps to secure the weight to your head allowing far less movement of the HMD (headset display) This normally doesn't seem like a problem until you realize that getting the headset to sit 'correctly' on your head is a mini-game everytime you put it on. I slap my index on and it just works everytime. My old rift was the same way. I'm unaware of any benefit the Cosmos's design has over these headsets other than being able to flip it up (which ironically, because of the weight, causes the headset to shift on your head, meaning you have to adjust it again)Controllers are solid, like really solid. I don't feel like I would break them whereas the index controllers, while functionally better than anything currently available, are made out of cheep plastic and feel like junk.The base station 1.0 will serve every single purpose until you wish to get into full body tracking. With ample light and correct placement you should be able to do feet, waist, hands and headset tracking with the 1.0's and not incure any issues. If your wallet and curiosity will one day make you want to do more than just that level of tracking you will need base station 2.0's. Why? Wider feild of view on the stations, ability to have 4 stations aimed at your play space, literally zero syncing issues due to line of sight, and I want to say less latency but I'm probably biased on that. Honestly if your gonna go full body tracking (because you have the money) just get the Vive Pro Eye or a Valve Index.In the end, your probably better off spending the extra 100$ to get the Index. If you take care of the controllers (make sure your plays pace is clear and be cognizant of your surroundings. You should have no issues. Valve has a no questions asked (mostly) and very nice RMA policy on their equipment. Good luck getting anything fixed through HTC. There is a reason why their nickname is ""Hates the Customer""Best of luck in your VR journey!
",Reviewed in the United States on 14 February 2021,1,,"
Run don't walk
"
2022-05-23 11:17:52.541895,"
I bought this as an ""upgrade"" to my original vive with the deluxe audio strap.The resolution increase is very noticeable, and makes everything look amazing! However, the ""halo"" this uses to allow the headset to be flipped up makes any games requiring movement completely unplayable!The headset is supported solely by a hinge on its top. So it will bounce up and down as you move. The halo also slides from side to side if you turn your head slightly.Because the hinge does not allow you to keep the bottom of the headset pressed against your face, there is a huge gap by your nose. The nose rest was 2-3 inches away from my face, letting me see out of the bottom way more than on other VR headsets.I really wanted to like this, but the flip-up display completely ruins the immersion. I returned this a week after getting it even though, I already gave my girlfriend my old vive. I plan on buying the older vive or vive pro to replace this.I am extremely disappointed in HTC for allowing such a flawed device to be their new face of VR.
",Reviewed in the United States on 27 November 2020,1,,"
""Halo"" strap ruins what would be an amazing experience
"
2022-05-23 11:17:52.556892,"
Definitley the runner up to the index. With the prices so close I would definitely go with an index over this but one thing HTC has over valve(besides wireless at time of posting) is availability. If you dont want to wait you would be happy with the vive cosmos elite I believe.
",Reviewed in the United States on 23 March 2020,4,,"
Good but the index is still a way better value
"
2022-05-23 11:17:52.571918,"
Overall just a bad experience. I've used several headsets and none this expensive were so poorly thought out.First off the lenses are some of the worst I've seen in a headset so far leading to a very small sweet spot and pretty extreme blurring about halfway across the radius of the lens to the edges meaning you have to point your head at everything to see it clearly. Not like our eyes can turn, right? This is compounded by the complete lack of a lens-to-eye distance mechanism besides removing the foam padding and exposing your face to velcro hooks.All of this was on top of the face that the software constantly updated to the same version over and over, controllers couldn't be tracked accurately for more than 30 seconds at a time and the right display in my set flickered about every 3 seconds.Rambling on, between the Index, Rift/Quest and the Vive, the controllers are the worst. They aren't nearly as ergonomic and lack a considerable number of basic features like two triggers, face buttons and joysticks. The touchpads are a chore to use and the hand presence (finger position recognition) falls short of what Oculus and Valve offer. Luckily the headset can be used with other controllers, but that's another big purchase.As much as Facebook is evil and requiring an account for an Oculus meas I will never buy another headset from them, if you don't have a problem with that, get a headset from them. Objectively better in every way except display resolution, which wasn't even that great in this headset.
",Reviewed in the United States on 24 July 2021,1,,"
A Mess of a VR System.
"
2022-05-23 11:17:52.586899,"
My link box died after 13 months.  The warranty is 12 months.  After 5 hours web texting with their customer support staff, who are actually really great, they told me I need to pay full price for a new converter box.  Guess what, there are none available.  They are out of stock everywhere, as if maybe everyone's poorly made converter boxes are dying.  Save your self some money and buy an Oculus Quest 2.  The quality difference is marginal and the converter box replacement is 25% the price of a new Oculus Quest 2.  I am never buying anything from HTC again.
",Reviewed in the United States on 30 August 2021,1,,"
Poor quality parts and bad warranty
"
2022-05-23 11:17:52.601884,"
First off I want to say that VR is in its infancy stage. This system IS rated as a top of the line VR system. I initially bit the $ bullet and acquired this system primarily to enjoy the experience of flying in WW2 air combat. When you play with a flat screen (not VR) you see this nice clear resolution. When you wear VR goggles the image you see through your eyes IS NOT the same clarity you see on a flat screen. It is relatively clear but there is an underlying fuzziness in a VR image. So if possible you should try a good VR system first to decide if you can put up with this relative fuzziness before you layout all the bucks. Also be aware when it comes to good VR games available some games can only be played on specific systems. For example I can not play Stormland or Lone Echo on my system because these games were developed to only be played on specific VR systems. So (1) it will be 5 years plus to get the same resolution on VR that you will get on flat screen AND (2) VR game development technology is not standardized to enable to play any game on any VR system.
",Reviewed in the United States on 29 September 2020,4,,"
Good VR Kit - Recommend Try VR First
"
2022-05-23 11:17:52.601884,"
I have had nothing but problems with this set.  I'm a Twitch VR streamer and I spend more time trying to get the headset to work than I do actually using the headset.  I'm constantly getting the grey screen.  My HMD had to go through the RMA process within a month of purchasing it.  HTC sent me a new headset.  It worked fine a few times, after spending a considerable amount of time trying to get the tech to work.  However, it goes right back to a constant grey screen after one or two times of using it.This is easily the worst VR system I've used.  I would not recommend this to anyone.  Avoid completely.
",Reviewed in the United States on 12 June 2021,1,,"
Spend more time trying to debug than working
"
2022-05-23 11:17:52.616882,"
What I want to say about the Vive Cosmos Elite.  Hopefully they fix the usb 3.0 errors my pc is not that great. I know it can run it fine with out full body trackers and steam is so buggy with the setup.  I give them an A for effort but the headset earphones are cheaply made my recommendations is to  buy a usb Headphones don't use the poorly made  one's with the headset they keep flicking upwards on me hard to hear the games sound.  And for the price it's not worth it to me.  Why I gonna send this back for now till they rethink on there headset material.  Also where is my Half-life Alex download that was supposed to be Inside the box?
",Reviewed in the United States on 14 September 2020,3,,"
My honest opinion on this purchase
"
