scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 12:48:10.174694,"
It worked straight away and was great. But now it won't turn on reliably and keeps popping up with an error that I have corrected multiple times.I feel like it's supposed to be an easy setup but I've been here hours now.I realize it was only just released so software updates could fix some issues, but it's very annoying that I now basically can't use it despite doing everything right (as far as I can tell).If I was you I'd wait and check the reviews a bit more.
",Reviewed in the United Kingdom on 3 October 2019,2,,"
Was great while it worked.
"
2022-05-23 12:48:10.346173,"
I moved to this headset from Oculus Rift S, thinking I was upgrading my experience since this is nearly twice as expensive, I could not be more wrong.The inside-out tracking in this headset is shockingly rubbish, first of all you need coloured walls, ceiling and carpet floors with lots of features and patters everywhere to even get it to start tracking its position, you need the room to be blindingly bright (I had to use 5x 1000+ lumens around the room to get it bright enough so this thing decides to track. After it starts tracking, you just have to look down for 2 seconds and it looses it! the controller tracking is even worse, they only show up if stare at them directly, as soon is you move them to sides of your field of view, they start going bonkers, turn your wrists around and they fully disconnect, no title is playable with this headset. It feels like beta testing something that is in early stages of development and nowhere near close to being a working consumer product and also paying £700 out of your pocket for beta testing it! this is going back.Rift S was a 1000 times better experience than this, just a shame it runs at 80 Hz which does not agree with my stomach.
",Reviewed in the United Kingdom on 6 December 2019,1,,"
Completely unusable product
"
2022-05-23 12:48:10.369111,"
WTF?  I need to have ALL THE FREAKING LIGHTS TURNED ON FOR THIS TO WORK?!?!?!?!?Sorry - but VR is best enjoyed in a darkened room, NOT IN A FULLY LIT ONE!!!This got sent straight back as soon as I realized just how severely limited the device is
",Reviewed in the United Kingdom on 31 December 2019,1,,"
Can't be used in a dark room, WTF?!?!?!?
"
2022-05-23 12:48:10.384074,"
To say I am disappointed with Amazon would be an understatement. I purchased this product on Sunday 26/01 for £699, the early hours of 27/01 the price dropped to £599 and this evening the current price is £549. Now I received the headset on Sunday, however it seemed to have a tracking fault as the controllers would go all over the place and the left headphone would not click into place like it should. I returned the headset for another one, however after being delivered today it has the exact same issue (Both tracking and headphone) - Shocking. How can a product that has cost me £699 be so bad? Not fit for purpose. Having owned and used the Oculus Rift (First Gen), HTC Vive (First Gen) and Oculus Rift S, I can safely say that this is the worst VR experience I have ever had!
",Reviewed in the United Kingdom on 27 January 2020,1,,"
Don't Buy - Get an Oculus Rift S instead
"
2022-05-23 12:48:10.401030,"
I've had this set for about a few months, playing on and off on different games and honestly it's the best thing I've ever tried. I've spent years thinking on it, and trust me I didn't want to rush into a £700 purchase. I mean, I got the thing on payments, too, which Amazon is awesome to do.The Cosmos is great, and it comes with a great benefit: LESS CABLES. For those of you who don't know, having the usual set of VR (vive, for example) means that not only you're going to have to deal wth the cable running to your headset, but then also the cables for your controllers. Also, generally there's only 1 cable running through the headset to a 'splitter box' that then connects three cables to the PC.Overall, the sharp graphics are great, the depth of vision is great and it's comfortable enough.Owning a VR headset isn't something that just comes out of a box, there is set up. For those who want try it, and actually enjoy this product, there's a few steps that:- SIGN UP FOR BETA UPDATES AND UPDATE BEFORE PLAYING: Seriously, so many people here complaining about the tracking, and sure I ran into a few problems like that myself but it all stopped once I updated using BETA updates. Do yourself a favor and do that to BEFORE you try the headset. It honestly solved a bunch of the tracking issues, and works 90% of the time as intended.- WASH YER DAMN LENSES: That means inside and outside, using microfibre cloth and something with rubbing alcohol, like those glasses wiping cloths.- KEEP THE SET AWAY FROM SUNLIGHT: It damages the lenses and the plastics, seriously. Keep it in a box or a darker part of the room.- TURN IT OFF AT THE SWITCH BOX: There's a little blue button at the 'splitter' switch box, make sure once you're done and quit a game you click it. Otherwise the VR keeps on running on standby, shortening the lifespan.- OVERHEAD AND UNDERFOOT: So many complain about this, but I found that all it takes is a lamp above me, and a lamp aimed at might feet from a little distance away. Does it make me look like a doofus? Yes. Does it work better? Absolutely. And no, you don't need expensive lamps, just a good mixture of yellow/white lamps, go for something like LED lamps that are on the brighter side.- CLEAN YOUR COMPUTER FROM DUST: Seriously, you want VR to run smoothly, give your computer a clean once in a while so the temperature doesn't stutter it's performance.
",Reviewed in the United Kingdom on 21 April 2020,4,,"
A GUIDE TO YOUR COSMOS!
"
2022-05-23 12:48:10.416017,"
As far as modern VR headsets go, this is absolutely the best available.But HTC seem to be having some kind of holy war with Steam about game content, and as a result, none of the big game titles support this headset even if they claim to support HTC Vive. e.g. Fallout 4, Skyrim, Subnautica, Batman, etc, etc.Without the games to play, it's basically a very expensive brick.
",Reviewed in the United Kingdom on 11 February 2020,1,,"
Great hardware, but where are the games?
"
2022-05-23 12:48:10.430628,"
Pros:High screen resolutionComfortableGood audioCons:ExpensiveSoftware clunkyPairing controllers can be difficultControllers run on AA batteriesController tracking issues (Major flaws)For the price I expected far better, either save some money and go for the Rift S or spend a (relatively) small amount more and go for the Valve Index (which I did after returning this one for a refund)
",Reviewed in the United Kingdom on 4 December 2019,2,,"
Not worth the price currently
"
2022-05-23 12:48:10.445441,"
TL;DR : a great headset with constantly improving tracking. Excellent clarity and modular.So, I was sceptical of getting this headset because of all the bad reviews. But, to be honest, it’s. Great little headset.The tracking has come along leaps and bounds since I got it in January. Be sure to download the beta software to keep the tracking at its most current.Beatsaber is great, Arizona sunshine is playable but I couldn’t get along well with Pavlov until the March update. Now it’s far more manageable.I truly believe this will continue to improve over time.One of the biggest advantages for me is the fact that I use this headset with my laptop. Hence, the inside out tracking is amazing for portability and something I could not be without.
",Reviewed in the United Kingdom on 8 April 2020,4,,"
Not as bad as everyone makes out
"
2022-05-23 12:48:10.460516,"
Great build quality all round but the tracking out of the box isn't quite as good as the competition. In order to get the best out of it you have to really follow and understand the guides when installing and maybe do a little research as the environment has to be right.I have now got the best conditions to get a good experience and now prefer this to the Rift S. The Rift S was easier to setup but felt cheap compared to the Cosmos. The Cosmos has a smaller sweet spot lens setup but has much better image quality. Higher resolution, deeper blacks, better contrast and colour. The Cosmos also has vivid and night view modes and better audio. It has bigger and more robust controllers. It also has an actual power button unlike the Rift S.Make sure to enable beta updates in the settings to receive the latest firmware for a better performance.
",Reviewed in the United Kingdom on 22 August 2020,3,,"
A tricky start but got there in the end.
"
2022-05-23 12:48:10.476521,"
I'm no expert but this has been a positive experience for me. People complain about the tracking on the Cosmos but its my first headset and it seems OK. Maybe the Valve is better but it costs a small fortune and maybe the Quest 2 is better but then you've got Zuckerberg monitoring every move you make so that's out. Possibly the HP Reverb but that's made by HP so definitely NO! If I could have got hold of a PS5 I may have gone with PS VR but I live in the UK and am not one of the 500,000 lucky people who've managed to get one so nope. Anyway I've played Saints and Sinners, Moss and Halflife Alyx and in truth I'm blown away - this is great fun and not too bad to set up.
",Reviewed in the United Kingdom on 13 December 2021,5,,"
Great experience
"
