scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-22 14:01:13.351908,"
Pros:__________•  Very comfortable on the head as there is an electric strap that goes around your head and one on top. Being a previous oculus owner, it’s like putting on a baseball cap. Overall it’s super easy to adjust and the foam fabric is snugged all around.•  One of the few times I’m glad they still go with a plastic covering.  You’re wearing this so the goal is to get it as light as possible.•  Wireless, and…I mention wireless!  No wires in any way. No PC’s, just put it on and begin.•  Not disconnections from Wi-Fi, as it’s consistent throughout.•  Oculus once again put some good effort into their built-in speakers. Very loud and immersive, while at the same time being aware of what going on in “your” world.•  The built-in headphone jack is always great if you want to be fully immersed.  I have to admit that I use the headphone jacks a lot more than I thought (especially in some horror games).•  For more insight on the speakers, it’s an integrated backward setup.  The result makes you feel that the sound is playing in all directions and not just focused on one place.•  The Insight program is AWESOME! I’ve owned previous Oculus and one of the most annoying things is taking off the VR set because the outside world got in the way.  That’s losing my VR controller after watching something on the Rift or just hitting the wall. With the new four mounted cameras, the Quest now can show you when you’re about to hit the wall. This is probably one of the best features they put in because now the Oculus monitors all your movements in the real world and just inputs them in whatever game. This is a dream for those who live in tiny/cramped rooms.•  The Insight program basically allows you to play in almost any room of your choosing because it maps out the space where you're at (It’s like setting up a border you can play in).  I say this is awesome again because the games you play will now be, somewhat, customized to the space you’re in. Having this feature is such a relief (that includes jumping or crouching, as it will be registered in the game, if allowed.).•  The resolution is beautiful for those who never used an Oculus, and it’s a nice upgrade from the Oculus Go (For non VR users, the overall resolution is an awesome sight. Not perfect, but it’s still great.)•  Gaming setup takes probably 30 seconds. Just pick the game in your library and have fun.•  The app works on the phone and in the Oculus. Newcomers, you’ll most likely buy games using your phone, like going through an app store. They have it on the Oculus, but the phone is a lot quicker to scroll and interact.•  The screen itself is very clean. Just remember to treat it right. One scratch and any game or movie will be wasted since your focus will be on that scratch.  Avoid this by putting it in its box (or a case, if you bought one) every time you finished.  Don’t just toss it aside.•  The tracking capabilities are spot on when I’m playing a game or viewing a 360-degree video.•  72Hz refresh rate. Just means that everything is smooth and non-glitchy. It also means less motion blur which that means less motion sickness for those who get it.•  A huge section of games.  From the date of my review, 50 launch games for this VR.•  You can not only play games that are made and run from the previous Oculus (I believe only the most recent versions), but you can also be able to play against your friends who only have the older versions.  I haven’t tested this layout yet as the only thing close to this is VR poker (which is fun, only if people actually talk in the game!)•  The games I’ve mainly played is so far “Rise to Glory” and “Beat Saber.” The controllers are accurate, the speakers are loud, and the experience is quiet a ride.•  Deleting games is just as easy as starting them. This is good to know because, depending on your games/movies, you may have to do some spring cleaning every now and then.•  I moved to my bedroom to the living room and I found the reconfigure border mapping very quick.•  The Passthrough view is the system that allows you to see your world without taking the set. To me, it’s kinda like a black and white night vision camera when viewing your world through the goggles. The four cameras are your eyes what they see, you’ll see (not perfect, but viewable).•  When you’re about to past one of your play borders, the controller turns red.•  Those who have glasses, the Oculus does come with a spacer for your glasses.  I don’t use glasses so you need to read other reviewers who have them.•  Putting the Oculus on it knows when I put it on and will wake up.  This is also cool because you don’t even need to press any button to begin.  But, to save power, I turn it off when I’m done. The bootup time is short anyway.•  Yes, this is mainly for gaming, but honestly some of my favorite apps are Netflix, Sling, and Oculus’s short videos.  Playing Netflix on this is an incredible sight and overall surfing the web and watching live TV on a movie theater size screen is an awesome experience.  No glares, no annoyances, no nothing.•  The touch controllers feel very solid, easy to use, a nice click response, and the grip for each button is a great design feature.•  Does come with an extra-long USB power cable so you can still enjoy playing your games while it’s charging.•  The Quest can track up to 4,000 square feet.  Something that you should know for those who will be playing in a room bigger than this.•  Great warning singles if you’re about to step out of your gaming borders.•  It does remember up to five different locations that you mapped out when making your border.  I only have two locations, but when I put the Quest on in one of those rooms, it instantly recognizes it.•  The VR market is run by Oculus. You think VR, you think Oculus.Cons and Oks:__________•  It’s expensive for the machine. This is not including any really cool games that you have to buy in the store.  Yes, there are some nice free ones, but in my experience the best games you’ll have to pay up.•  The games are not near to PC graphics but I would think around Nintendo Wii style of graphics.  Keep in mind it’s still a bump in the previous version and this is an on-the-go type of VR. For great graphics, you’ll need a stronger computer to take on the challenge.  Putting something that powerful in a tiny box is not there yet. Overall it’s still good for a casual gaming experience, just not ‘O My God.”•  Battery life is an average, for me 2 hours.  Maybe 2:30 if I’m just watching a movie or surfing the web / YouTube. Kind of the same battery life as the Oculus Go.•  VR is still new, so you are limited in the games for playing VR.  Since VR is not the mainstream there will be a setback on new games and, as mention before, higher cost to play prettier games.•  You can’t play this outside. The sun is a big no-no for the lenses and cameras, as it will track off incorrectly. But something this pricey you can’t trust the outside world. It’s like walking on the sidewalk with your running PC, or gaming console. Leave it indoors (plus you’ll look like an idiot playing this in public).•  More demanding games will eat more of your battery up.•  Controllers require AA batteries. We live in a battery charging world so why is this even allowed?•  Not only that, but I’m replacing these controller batteries a lot more than I should.•  It’s a great experience to view the VR screen but you must know that it’s nowhere near photo realistic. On a white screen, I can see every little pixel in works.  Still a great view, but nowhere realistic, an overall grainy look.•  The built-in speakers are loud but to fully immerse you’ll need headphones.•  I personally notice that the touch controller batter covers are a little loose.•  No tracking data underneath the headset.  You need to make sure that the controllers are in view in front of you in order of the headset to track it.•  Any outside light still leaks through the nosepiece.  It’s really insignificant in gaming, but watching a movie is a whole other experience.  For a movie, I have to turn off the lights.•  Even at 72Hz, you’ll still get a little nauseous. I don’t get very often but I’ll admit playing “Dead and Buried” made feel a little uneasy.•  I was told you won’t be able to play all of Oculus Rift games. That kind of sucks for those who spend a decent amount of money on Rift games.•  A price like this is greater than a PlayStation or an Xbox.  Both have hundreds top of the line graphic games and millions of users.•  A couple of times the controllers froze up when I accidentally hit both of them together when playing. I had to pull out the batteries in order for them to work again.  Hopefully, this will be resolved with a software update.•  Taking out the Oculus is easy but it’s still large task to pack it anywhere. For example, putting in my backpack does take a big bite out of storage.  Note that if you’re planning to give this to someone for a birthday or a holiday, out of state, its best you give them a picture of it and tell them one will be shipped to you.  When I got my Oculus Go, I was away from home and it was such a burden to find room when I needed to fly back.  The Quest is no exception.•  The concept of portable really means moving it from one room to another.  Anything other than that is a significant hassle.•  Any Rift games that have high resolution, if the Quest can play them, it may run at lower resolutions.  The reason why is to optimize the lower-powered Snapdragon chip.•  My friend has a big head and was having no comfort in using the Oculus.•  I play for a long time it notices that the straps do make your head itchy.•  You’ll need a phone to initially set up. Really not a big deal in the world we live in.•  Charging fully, without playing takes two hours for me.•  Charging fully, while playing games, never happen to me.  In fact, there were some times that I was on 0-1% battery life, and the only reason it was working was that I was charging it at the same time. Playing high graphics games will not allow you to charge fully, but watching movies will.•  IMPORTANT: It does not heat up quickly.  This is a major issue for those who live in a cold environment.  I discovered this after my second day working the Oculus, but if you live in a cold environment your lenses will fog up almost instantly.  Since our bodies create heat, putting on the headset, your eyes give off heat that makes the lenses foggy.  This goes away either the temperature outside is warm or the Oculus is warmed up with use.  For those who live in cold environments, beware! You’ll need to play either a high graphics game to kill the lens fog or keep breathing on the lenses itself. If you decide to just watch a movie, you may be in for a surprise when your entire screen gets fogged. There is no way around this.•  Looks wise, the Quest’s appearance is almost the same as the Rift.•  Oculus app does allow you to cast on-screen action to a second display, but I notice some lag in this.•  On some high graphics games, the login time does take some time.•  Twice so far I had re-draw my borders in my room as the Quest, I guess, forgot to memorize one of my rooms.  I don’t know if this a user error on me or a software error, but it’s worth noting.•  Those of you who used the 2016 Oculus controllers, there isn’t much a change.•  The headset will not sense obstacles on the fly. You need to trust your space.•  The Oculus 360 videos are really simple that even a 4-year-old Oculus machine can run.  We need videos that need to fit with the resolution that it’s currently built for.•  Still takes some time trying to find the sweet spot for your eyes.  I wish the headset will guide you in finding the correct sweet spot for your eyes.•  Lastly looking through the lens is the same as looking through an old PC monitor.  Your eyes start to get irritated after a decent amount of time in. Luckily by that time, the battery will be dead.Bottom Line:__________In the end, this is a great VR headset that will be perfect for those who want to get in the VR experience.  Please note that this is in no way a replacement for any game console, rather than this is just a new toy.  The issue with VR is that it isn’t really popular right now.  Not only that but, for me, it does take time to get the VR in use before playing.  You have put it on, get comfortable, and make sure that you have enough battery life.  Unlike any other console, all you have to do it is turn it on, press play, and away you go. In the end, such a small portable VR does has drawbacks, as you can see from the ""Cons"" above.The Oculus Quest doesn’t really give us a step closer to a fully immerse experience but it’s still a fun toy to play with.  If you have some extra cash then pick it up because it’s a great VR set (The camera system alone is worth the buy.). For those who want to get into VR than this a way to go 100%.Overall: Excellent casual gaming, great video streaming, and an all right battery system. For the common user this is a great buy, but for those who been here before, it’s a decent upgrade in portable VR.Hope I was a help to you.Love,Honest Reviewer.
",2019年5月21日 在美国审核,4,,"
The Pros, Cons and Oks for Oculus Quest (HR).
"
2022-05-22 14:01:13.516468,"
So I've used all the big VR devices up to this point and I feel the Quest is the beginning of where the mass market can finally get into them.Having it be wireless reduces all the setup that's normally associated with any headset. Convenience goes a long way.ComfortWhile the PSVR is my vote for most comfortable headset, primarily cause of the weight distribution and how airy the inside feels, the quest fits nice and feel solid. I got a little warm after about 2 hours of playing, my forehead was sweating after running around my living room beating up robots. But it felt appropriate, not too hot, just sweat from playing an active game.Image Quality and PerformanceThe quest had no noticable screen door effect, one of my biggest issues with the Vive, and throughout my initial play sessions never had a stutter or graphic issue. It played nice and smooth. I didn't feel sick. And more demanding games like Robo recall ran flawlessly.TrackingFlawless. Hands, head, and room. No issues with any. Makes room vr sensors seem prehistoric. And from opening the box to being in a game took maybe 4 minutes (excluding a software update that took about 5 minutes).FeaturesOne of the most interesting built in features is casting. I can send the headset image to my phone, and then to other devices, with just the hit of a button. You can also record and other things. That's very nice when you're showing someone who is less familiar with VR, since you can follow along with them on your phone. Also probably good if you're into streaming and all that.SoundI think I'll end up buying the official oculus headphones. Not cause the sound isnt good, it is, but because I want to play quieter. The speakers are pretty loud.And as a final note, I get about 2.5 hours of playtime before deciding to charge it. It comes with a very long USBC cable and works well with battery packs.My only complaint so far is the battery slider on the controllers is in a very.. weird spot. And they can slide if you're gripping too hard and jerk around. Not a deal breaker, just weird. Easily fixed with a tiny piece of tape or something. Or not holding the controller in a way that could cause the battery case to slide open.
",2019年5月22日 在美国审核,5,,"
My favorite VR headset - no wires changed everything!
"
2022-05-22 14:01:13.532138,"
Pros:-PS2 Level graphics. This maybe generous, but they were better than I expected.-Cable free lets you explore around as much as you want. Define the room size during setup-The most fun you can have for $400Cons:-PS2 Level graphics (Rift S users may not be impressed)-Virtual wall isnt always visible when you need it. Accidentally punched real life wall during Creed demo.-Multiplayer logistics might be challengingConclusion: this was my first VR headset to own, and I walked away from my first experience thinking ""video games will never be the same."" It's too good and too fun.
",2019年5月22日 在美国审核,5,,"
Way better than I expected
"
2022-05-22 14:01:13.548127,"




                    无法加载媒体。
                



 Wow. I got more then I expected and I just can’t stop playing. Beat saber, super hot, etc, etc, everything is thrilling, action packed, and amazing because you can move around, and it is almost like the system senses your body by what it can do in certain games. It’s  literally great because IM GETTING EXERCISE WHILE HAVING FUN! I can go on for hours playing and just not stop. The setup is easy, the colors are beautiful, and once you tighten and fit it on your head correctly, the picture is great. The description is exactly what you get if not more. HIGHLY RECOMMEND.
",2019年5月22日 在美国审核,5,,"
MORE THEN EXPECTED. THRILLING, ACTION PACKED, AND GETS YOU EXERCISE!
"
2022-05-22 14:01:13.567076,"
When Alexa notified me that my package arrived containing the long-awaited Oculus Quest, it was like waking up on Christmas morning.  I could hardly stand the obligatory setup process.  (NOTE: Be sure to update your Oculus app on your phone before the package arrives, to avoid another 5 minutes of impatience.)  With the app updated the new hardware was available to add to my list of Oculus Go's.  (I'm fortunate enough that VR is part of my job.)Ah!  The bright and beautiful screen!  I have always been impressed with the bright, sharp Oculus Go screens, and this one was every bit as beautiful.  I'm also thankful to report that YouTube is available on this device.  What a pain it has been on the Rift to watch a simple YouTube video, but I digress.Then I loaded and launched Rec Room.  Ugh.  I'm not sure yet whether the Rec Room porting is a fail, or the Oculus Quest is just not capable enough, but in the end, the experience was much less than stellar.  New gamers might not notice and just accept the lag, but so far, if you're a VR gamer, then you might want to wait this out.  I'm usually a top player in Rec Room paintball, but my senses are honed to detect movement, and peripheral movement detection was all but absent.  Normally, I'm just a split second ahead of my opponent on Rec Room, but alas, the lag between action and result was poor.  Just like with James Holzhauer, if you're not quick on the trigger: you lose.The weight of the device didn't seem like that big of a deal, but even after 20 minutes (before the initial charge wore off and it was alerting me that the battery was dying), the material between the mask and my forehead was already starting to irritate my skin and leave a red mark.  Like picking up the guitar again after a long hiatus, I might grow some callouses and get used to it.There seemed to be a small ""sweet spot"" for visual clarity, and when you find it, the image looks great!  But in gaming, as you move your head quickly from side to side, the inertia moves the visual center.  This can be overcome by tightening the straps, but raises the discomfort mentioned above.Overall, I'm pleased with the device.  It's just not as capable in the area of gaming as I was hoping.  In that regard, I should have gone with the Rift S.  I'd buy one, but my allowance is spent for the time being.Pros:• Bright, sharp screen• Non-tethered (duh!)• My wife or a guest can finally join me in VR!Cons:• Battery life• Lag when gaming• Resolution when gaming• Uncomfortable and weightyI hope this helps in your deliberations on which headset to buy.  Don't take my review as overly critical.  I just want gamers to be informed that this is not the system.  For non-gamers, this will definitely open up a wondrous world of discovery, allowing people to travel places and experience things they would otherwise never see.UPDATE - 05/29/2019:It would seem that the lag on Rec Room has improved, but with the lack of detail in the display and responsiveness of the controls, I regretfully stand by the three-star review.  Please keep in mind that my review is based upon comparisons with the computer-connected Oculus Rift.  If you are buying this without having a computer-connected reference point, or your goal is explicitly for the wireless, no-computer-required, VR experience, then I would expect your experience to rival mine.  Everyone to whom I have shown this device is delighted with the experience and I am quite certain you will enjoy it too!  For me, just for the ability to open up my home computer-tethered VR experience to many who are new to VR has been well worth the investment.<b>Still, I yearned for an Oculus-Rift-like gaming experience - unplugged - and the Quest isn't horrible at it, but it isn't excellent either. Hence, the three-star review.</b>  For non-gaming, the visual experience is a marked improvement, and the ability to roam free, as it were, is awesome!  I do wish they had used a softer material in the facepiece.  Even though the battery life isn't phenomenal, my face wears out quicker than the battery does.  I'm pleased with my purchase; I'm just not ecstatic about it.
",2019年5月22日 在美国审核,3,,"
Nice wireless experience, but a tad too slow for competitive gaming.
"
2022-05-22 14:01:13.585853,"
I paid full price for a new device and was delivered a scuffed used headset and controllers. IT WAS STILL LOGGED IN TO THE OLD OWNERS OCULUS ACCOUNT!I tested a few games on his account and it works fine, but has white scuff marks from apparently being bashed into a wall. See pics.Im seeking a partial refund because the device is functional and tbh dont want to wait another frickin month, but my unboxing experience of opening a beat up box, with scuff marks and a dead battery was horrendous.And to top it all off, once i charged it and turned it on, it greets me with Hello Daniel!My name is not Daniel. So pheonixgamer235 or whatever (he looked to be about 11, browser was still logged into his instagram) dont worry I factory reset the device myself and didnt spend any of your parents money on games.UPDATE: no response from oculus support, amazon support has a team setup to handle this apparantly, as i was redirected to them specifically. Was offered 10% I do not feel this is enough. The left controller has been spotty and loses tracking occasionally. Other tha  that fully functional, bump it up to 25% and I'll do it but pending more testing I may be fully returning this.
",2019年7月5日 在美国审核,1,,"
Buyer beware, they are shipping refurbs as new!!!!
"
2022-05-22 14:01:13.600846,"
I feel like I waited years for this to come out and I couldn't be more let down. The low resolution literally hurts my eyes. It makes it impossible to do some of the things I was most excited about -- besides play games I couldn't wait to watch Netflix and other shows, but there's no way I could enjoy watching anything on this. Unfortunately I am going to have to return this and wait another couple years for a higher resolution version.
",2019年5月22日 在美国审核,3,,"
REALLY COOL but the low resolution constantly hurts my eyes
"
2022-05-22 14:01:13.616323,"
I had a Gen 1 Rift since it was released, upgraded to 3 sensors and the motion controllers but I must say the cable and setup and issue that something blocked my sensors was holding my back. So much so that I actually never used it much despite always being fascinated with VR.Now I have to say that the Quest just arrived, so take my opinion with a pinch of salt as its all still new. But having played a round of table tennis on this device I must say not having to worry about sensors, cables and being able to pick the room with the most space for my VR games is just on another level. After I few minutes I was jumping through my living room and getting an actual sweat in, like I was actually playing table tennis.Yes, the graphics could be improved, FoV refresh rate etc. But once you are in the game being able to freely move around in virtual space with your hands tracked accurately, lets you forget about everything else.As the unit if a fully self-contained gaming console essentially, this for me is the most revolutionary console released since a long time, if not at all.VR was always difficult to explain to another person, but with the Quest you can just bring it to your friends and family and have them experience it. Hence I am convinced this device has a good chance to bring mass adoption to VR gaming.
",2019年5月22日 在美国审核,5,,"
The most revolutionary gaming console - this will bring VR to the masses
"
2022-05-22 14:01:13.631045,"
The Quest could be a good platform, but unfortunately Oculus's draconian anti-consumer business practices make it a bad choice. Oculus showed their true colors in the early days when they decided to try to ban Revive, a program which allowed legitimately purchased Oculus games on HTC's Vive. They've continued these anti-consumer, anti-competitive practices with the Rift. Oculus has elected to block Virtual Desktop from streaming desktop VR games that consumers had legitimately purchased, many of which were simply unavailable on the Quest, with no reason given beyond the obvious. They have also blocked a number of developers' games such as To The Top without good reason. The Quest could be great, but unfortunately the platform is compromised by Oculus's greed. Don't support anti-consumer practices. Don't buy the Quest.
",2019年6月12日 在美国审核,1,,"
Nice platform ruined by Oculus's anti-consumer practices
"
2022-05-22 14:01:13.647699,"
Don’t look at these 5 star reviews, trust me, if you need high-res picture- don’t buy this, games resolution is not bad, but videos(youtube, movies) are so grainy you can’t even read subtitles in some videos, even 4k content doesn’t help, even if you run 5k video you’ll get 240p quality, theres no resolution change option, they are not just there yet, its about 20% better that oculus go- which is hot garbage.There’s no good free games, all the good ones overpriced...
",2019年5月23日 在美国审核,3,,"
They are not there yet
"
