scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 16:44:59.403146,"
I heard a lot about the Pimax headsets and there FOV that I decided to purchase one thru amazon. I have a index and reverb g2 and love both headsets. I was hoping to really love my Pimax 5k super but was dissapointed. If your looking for clarity great colors and everything to just work when you put the headset on then get either the Reverb g2 or Valve index.  With Pimax you need to download the Pitool software and you need to tinker with it to get it just right  The comfort is really nice and they have improved on the previous headsets but the audio over the ears is probably the worse even worse then the Rift s. So if the FOV is all you care about then get this head set if not stay away.
",2020年12月13日 在美国审核,3, 5K Super,"
Field of view is great everything else not so much.
"
2022-05-23 16:44:59.585657,"
It’s an amazing headset with great specs,first the bad then the good. I went through 9 of them so far, 7 of which came with dead pixels, the 8th has a scratch under the lens and a broken cable. I got a 9th headset and it worked out perfectly!i love to keep it on 144 hertz refresh rate. this way the fov only gets cut off by 3-5 degrees. and i still get a higher refresh rate and field of view than all other competitorsthe resolution is great, the fov is amazing.the screen door effect is almost non existent.i recommend the silicon protective sleeve. the headset sticks off of your face more than other headsets and if you are not used to that you may bump the headset and it is better to protect the headset than let it get damaged.i would absolutely buy from Pimax again. they have a perfect niche for high quality premium headsets. no other company has as high of a field of view or refresh rate as Pimax. I love how modular these headsets are. if you do not like the headphones on them? for $50 you can buy new headphones on their store and they just click right in.if you want eye tracking, you can buy it and click it right into the front usbc port on the top of the headset.this headset is very easy to set up and very easy to use. their customer support is very helpful and kind as well. i just love their products!
",2021年6月19日 在美国审核,5, 5K Super,"
A Great Headset
"
2022-05-23 16:44:59.605604,"
The FOV is a major upgrade from other VR headsets, but keep in mind that the refresh rate is 120Hz is you want to keep it at the max FOV. That's still a great refresh rate given the dual 1440p screens. One drawback is that the default audio is very mediocre, but you can plug in your own headphones or get the DMAS upgrade when that comes out.
",2021年3月27日 在美国审核,5, 5K Super,"
Amazing FOV and Refresh rate, Average Audio
"
2022-05-23 16:44:59.637528,"
The tradeoffs and price of this headset aren't worth it. The software and setup experience is buggy. Out of the box I had to reflash the headset for my pc to recognize it. That took a few tries and had a hard time even finding the software to do it. Changing the refresh rate closes Steam VR and you have to start up everything all over again. Half the time you have to reset the headset or some windows service for it to be recognized again. Reading any kind of text is almost impossible. No included controllers and no tracking base stations means you'll have to spend a lot more to get a usable system. A lot of games can't be played at all without the proper controllers.For the price you're paying for FOV and that's about it. But, the FOV gets narrower if you want higher refresh rates so what is the point? I returned it. I get that I'm new to VR but I felt like I'm constantly fighting this thing to get a decent experience.
",2021年4月17日 在美国审核,2, 5K Super,"
Not for me
"
2022-05-23 16:44:59.679407,"
First off, the FOV on this thing is really something else, the first issue i've had wit hit is the comfort, i can't wear it for very long compared to a quest 2, the refresh rate is great, but with devices like the quest 2 it's not really a selling point anymore, the resolution is noticeably  worse than the quest 2(But still isn't bad by no means, just good luck reading very small text), but one thing it has that even the index can't beat, is the IPD range, my iPD is quite wide(71.5mm) and this has been the only headset where I've found the sweet spot perfectly, and for that alone, it's my new favorite, i can't compare it to the index because i never had one, almost bought it instead of this, i will say the audio sucks, worst vr audio I've ever had, but nothing a pair of headphones can't fix although i do wish i could remove the original headphones and just use my own as they get in the way so you have to wear it like your some freakazoid, if you got the money to spare, i'd recommend this headset for getting into base station tracked mid-range vr.
",2022年2月14日 在美国审核,4, 5K Super,"
Great FOV, Great refresh rate.
"
2022-05-23 16:44:59.702346,"
I've been using the 5k Super headset for about 8 months now, exclusively for sim racing.  I did quite a bit of research before my purchase, so I was expecting there to be a bit more setup effort required than with the more ""mainstream"" headsets.  Thankfully, between forums and online videos, there was plenty of good information to get me through any hurdles I encountered.  I'll also add that Pimax's customer support has been pretty fantastic.  They've reached out twice to offer me a free session to work through setting up the headset.  While it wasn't needed in my case, I was impressed that they proactively offered that level of service.As far as use of the headset, overall, I'm very pleased.  I knew going in that I'd be sacrificing some degree of clarity over the HP Reverb.  In my case, I'd say the increased field of view more than makes up it, as the level of immersion is nothing short of amazing.  While there are other wide fov headsets which have higher resolutions (i.e Pimax's 8KX, etc.), for me, the 5K Super struck the perfect balance between performance and quality.  I did make a few graphical setting tweaks when switching to the Pimax, but for the most part, it's not significantly more resource intensive than the HP Reverb was.I did deduct one star in the comfort category, as was a bit of a problem area for me.  While I was ultimately able to find a setup which I could sort of live with, it wasn't nearly as comfortable as the HP Reverb was (it's a much heavier headset, with the bulk of the weight heavily biased toward the front), and this was with the comfort kit.  After doing some additional online research, I eventually tried one of the 3rd party kits which added counterweights to the back of the headset, and an additional support strap to the top...it made a world of difference.  Despite the headset being heavier overall, the 3rd party kit balances the weight so it's primarily carried on the top of your head.As I mentioned at the outset, there is a bit more effort required to achieve a ""perfect"" set-up with the headset...but...if you're willing to put in a little extra time, the end result will be more than worth it.
",2022年3月3日 在美国审核,4, 5K Super,"
Worth the effort.
"
2022-05-23 16:44:59.718302,"
Great HMD for sim racing. Imo not great for fast movement games but that's just my thoughts as I have other HMD's. The FOV is absolutely amazing and I really like the software. Just a lil adjusting but once dialed in the display is so sharp. LOVE my Pimax!
",2021年8月20日 在美国审核,5, 5K Super,"
Great HMD for sim racing!
"
2022-05-23 16:44:59.731270,"
I like the Pimax 5k super. The FOV is was the reason I bought it. I tried some of the less expensive headsets and felt they were just not quite the experience I wanted. I had to buy controllers and base stations so add that to the cost. With base stations and controllers you can add another $500.00. If you have Vive or any open controllers or base stations you're set. It's not and inexpensive piece of equipment but I will never play another flight sim or game without it. The immersion level alone makes it worth it. Although it's expensive I feel it was cheaper than buying other HMDs and working my way up to this.
",2021年12月20日 在美国审核,5, 5K Super,"
Quality HMD
"
2022-05-23 16:44:59.752213,"
Everything I was looking for. I've been playing vr on a Original HTC vive and was needing a upgrade. Thanks to my company bonus I got this bad boy.
",2021年4月7日 在美国审核,5, 5K Super,"
TONS OF FUN
"
2022-05-23 16:44:59.769166,"
Picture and comfort are nice but does not work unfinished product
",2022年2月14日 在美国审核,1, 5K Super,"
light house is broken this very common front what I have seen online and my self
"
