scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 14:50:16.868391,"
The headset itself is fantastic. 5 stars for the headset itself. It runs fantastically, great FOV, FPS, and pixel count. Do not buy it on here, buy it on steam for only $1000.
",2019年10月5日 在美国审核,1,,"
Scalper
"
2022-05-23 14:50:17.046914,"
Cheaper on steam for sure. Great headset. I'm not sure why is so over priced here.
",2019年12月12日 在美国审核,1,,"
Price are cheaper on steam. Steam is only $1000
"
2022-05-23 14:50:17.062871,"
Take this crap to e-Bay where people know they’re buying second hand products at inflated prices.
",2020年3月1日 在美国审核,1,,"
Scalpers should be banned
"
2022-05-23 14:50:17.075837,"
arrived in good condtion.sadly controllers have the known clicking issue. but its minor and I'm ok with it (for now)I'm happy with this purchase even when its over priced. but since I can't buy it directly from steam, I have no other choice.anyway, I'd like to thank the seller for making buying the index possible for people who live in countries that steam doesn't ship to.3 stars coz of over pricing and and contolles issue
",2019年10月15日 在美国审核,3,,"
great product, but over priced and have some issues
"
2022-05-23 14:50:17.091793,"
Could not order from steam so it was my only option. We already know about the steam price so I rate the product. I received a high quality brand new sealed product as expected. I would recomand to look at compatible game list as some of the game I own wont goes well without mapping controler. As an aditional info, it takes time, and you will have to pay large international custom fee
",2019年11月1日 在美国审核,5,,"
International Purchase
"
2022-05-23 14:50:17.111741,"
It’s already breaking after few months and not working very well and controllers both of joy stick not working and one of the speakers not working always I hope I can get new one and seller not answering
",2020年5月24日 在美国审核,1,,"
New to be fix
"
2022-05-23 14:50:17.126700,"
I loved this product I have met somamy people on vr Chat and also when the young ones come over they want to play it all day
",2020年1月4日 在美国审核,5,,"
So much fun
"
2022-05-23 14:50:17.139665,"
Sent back to vendor, they said is working fine.  Recommended trying the power device and cable to with other sensor.  No problems with power adaptor.,  not sure where the problems is , in any case they never sent the sensor back?We purchased (2) units @ the same time,  the one sensor quit working on both devices.Don't think we will consider buying any more of these units, do to the slow response from the vendor.buddy
",2022年3月16日 在美国审核,2,,"
vr sensor not working..
"
2022-05-23 14:50:17.151633,"
it not worth the money paid. Why these complications with connections? lots of wires obstruct movement inside the room. It doesn't work because of Display port needs special monitor even I connected with adaptor unfortunately won't work. furthermore many wires connections that could have been replaced by another easier method.
",2021年11月28日 在美国审核,1,,"
display port
"
2022-05-23 14:50:17.166593,"
it's the best VR headset for PC gaming by all measures (even price, although, it's only 999$ on steam)
",2021年6月17日 在美国审核,4,,"
arrived with the package opened but doesn't look like its been used so I'm happy
"
2022-05-23 14:50:27.376510,"
I bought mine from the list of alternate sellers.  Advertised as used and was still marked up above steam new price, however it was much more reasonable!  The reseller I used was vrpark.  It was advertised as used and came in great shape, almost good as new, exactly, if not better, than advertised.  So... If you can't buy from steam for some reason, consider that.
",2022年1月16日 在美国审核,4,,"
Good used product from vrpark
"
2022-05-23 14:50:27.392133,"
Great graphics feels like you are actually in the game takes a bit of getting used to but wow!!!! Love it! Definitely a virtual experience you gotta try. Oh and my son who I actually bought it for also says the same haha!!!!!
",2021年3月13日 在美国审核,5,,"
Great graphics a bucket list must experience just sayin!!!!!
"
2022-05-23 14:50:27.392133,"
The package is un-toched and brand new and the Valve Index is of course amazing but the only problem is the overpricing of the product.
",2021年5月10日 在美国审核,3,,"
Overpriced
"
