Game_Id,Game_Name,Game_price,Game_description,Game_platform,Game_genre,Game_playArea,Game_Controllers,Game_rating,Game_releaseDate,Game_latestDate,Game_version,Game_type,Game_modes,Game_languages
9c0a0fb9-c6cf-4d46-95d0-88eeeb7a6710,Fracked,"¥3,090","Description

THE END OF THE FRACKING WORLD  

The award-winning action adventure, now on PC VR!

From the creators of the ground-breaking Phantom: Covert Ops, Fracked seamlessly collides relentless “run and cover” gunfights with free and fluid skiing and climbing, in trailblazing fashion. Uncompromised, audacious, and unashamedly stylish, Fracked grabs your VR headset by the motion controllers and delivers an ass kicking virtual reality game that has been made from the ground up for virtual reality platforms.

Stranded in a remote mountain facility, you play as a reluctant hero forced into a final stand between the planet and a legion of interdimensional enemies. Take aim and run head-first into explosive action as you shoot, ski, and climb your way across an extreme adventure. Alone, on the edge and really fracked off, humanity’s survival is in your hands.  

Playable on Valve Index, HTC Vive, Meta Rift S, and Meta Quest and Quest 2 via Oculus Link.

BE THE ACTION HERO 
Grab your gun, cock it, and take aim as a maverick war hero thrown back into the fight.  Experience innovative VR gunplay that ingeniously blends improvised run and gun combat with a 1:1 grabbable cover system.  Move freely around the battlefield to outflank, outsmart, and outgun an escalating threat with your arsenal of deadly, fully interactive weapons.  

FEEL THE ADVENTURE
Venture through a harsh and dangerous mountain locale by seamlessly transitioning between a host of first-person free movement methods. Physically lean into the bends on your skis to master the slopes at high speed.  Reach out and hold on for your life as you climb and zipline far above the ground or perform audacious base-jumps to elude your foes.  No rails. No limits. No mercy.  

SAVE THE PLANET  
The corporation dug too deep unleashing the ‘Fracked’ from the depths below. Across one day, take on an interdimensional army that combines hive mind mentality and gun-wielding supremacy - the perfect targets to unload round upon round into.  Fracked is in-your-face action with a cutting commentary on corporate greed and the climate change emergency. Save the day, to save the world.  

DESIGNED FOR VIRTUAL REALITY
Created from the ground up for VR devices, Fracked pulls the action-adventure genre to revolutionary new heights through intuitive 1:1 VR gameplay. Interactions, locomotion and gunfights seamlessly combine in a single, pioneering VR game.



Continue reading","VIVE                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index","Adventure
Action","Seated
Standing
Room-scale","VIVE Controllers
Oculus Touch
Valve Index Controllers",13+,4/13/2022 0:00,5/6/2022 8:15,1.0.6,Game,Singleplayer,"English (United States)











Chinese (Simplified)











French (France)











German











Italian











Japanese











Spanish (Spain)"
9d3d89db-85f0-4fbf-9a03-23f3f404956b,After the Fall®,"¥4,100","Description

Built from the ground up for VR, After the Fall is the ultimate multiplayer zombie apocalypse! Team up with up to 3 fellow survivors and take on a twisted, hostile world where all hell has frozen over.

Welcome to ‘The Line’... Decades have passed since the apocalypse turned 1980s Los Angeles into a snow-crested wasteland, overrun by mutated undead. Starting out in an underground camp with up to 32 other player survivors, you take up arms as a new Harvest Runner. Your mission? Venturing out above ground to expand the Line’s reach into the city and fuel mankind’s survival for another day.

• 3 ways to play: Solo, 4-player co-op & the competitive Tundradome
• Explore sub-zero LA in a mission-based campaign
• Slay massive hordes, brutal specials & towering bosses!
• Craft, upgrade & wield dozens of weapons with real-life movements
• Join our ranks as LA expands with new maps, modes, threats, and armory



Continue reading","VIVE                            


                                                                                                                                                                VIVE Cosmos                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index                            


                                                                                                Windows Mixed Reality                            


                                                                                                                                                                VIVE Cosmos Elite","Adventure
Action
Shooter
RPG","Seated
Standing
Room-scale","VIVE Controllers
VIVE Tracker
Oculus Touch
Windows MR Controllers
VIVE Cosmos Controllers
Valve Index Controllers",17+,1/21/2021 3:04,4/28/2022 13:09,1.5.37145,Game,"Singleplayer
Multiplayer","English (United States)











Chinese (Simplified)











French (France)











German











Italian











Japanese











Korean (South Korea)











Russian











Spanish (Latin America)"
a54558fb-195b-4299-aa83-9edc4deff29c,The Walking Dead: Saints & Sinners,"¥4,100","Description

Face all the horrors that the living and the dead can offer in this new VR adventure in The Walking Dead universe. Travel through the ruins of walker infested New Orleans as you fight, sneak, scavenge, and survive each day unraveling a city wide mystery within the iconic quarters. Encounter desperate factions and lone survivors who could be friend or foe. Whether you help others or take what you want by force, every choice you make has consequences. What kind of survivor will you be for the people of NOLA? 
Explore New Orleans in a free roam survival horror adventure. 

Scavenge for anything that you can; weapons, food, tools, and clues.

Be wary of the living and the dead: spatial audio will draw attention to any loud noise, bullets or otherwise.

Craft makeshift gear out of scrapped material; blades, guns, medicine, and more.

Survive your way: Use stealth or fight head on. Scavenge or complete jobs for others.

Test your morals: make difficult choices for yourself and others.



Continue reading","VIVE                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index                            


                                                                                                Windows Mixed Reality                            


                                                                                                                                                                VIVE Cosmos Elite","Adventure
Action
Horror","Seated
Standing","VIVE Controllers
Oculus Touch
Windows MR Controllers
Valve Index Controllers",17+,8/12/2020 3:51,12/10/2021 6:34,Shipping / 2021.12.08 / build 218977,Game,Singleplayer,"English (United States)











French (France)











German











Japanese











Korean (South Korea)











Portuguese (Brazil)











Spanish (Spain)"
b37e01cc-d3a9-4f45-8c72-806f87b37bc9,Wanderer,"¥4,100","Description

Built from the ground up for VR, Wanderer has a unique blend of escape room style puzzles, tactile hands on interactions and action arcade sequences to bring you the ultimate time travel adventure. Are you ready to walk in the footsteps of those who have gone before you?



Continue reading","VIVE                            


                                                                                                                                                                VIVE Cosmos                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index                            


                                                                                                Windows Mixed Reality                            


                                                                                                                                                                VIVE Cosmos Elite","Adventure
Sci-Fi
Narrative","Seated
Standing
Room-scale","VIVE Controllers
Oculus Touch
Windows MR Controllers
VIVE Cosmos Controllers
Valve Index Controllers",13+,3/15/2022 11:19,5/18/2022 5:03,1.11,Game,Singleplayer,English (United States)
dd7febb9-8f8b-4ae5-906f-44d2a0128670,AREA MAN LIVES,"¥2,050","Description

AREA MAN LIVES. Or does he? If you could join a radio drama already in progress, talk to the characters and interact with the environments the story painted in your mind, you might find yourself in the world of the area man.

A quirky radio drama unfolds around you in VR while you do your best to keep the radio station humming along as its new DJ. You record commercials, interview callers and try your best to piece together how your actions inside the station impact your listening audience in scenarios so wild they can only live in your imagination.

If it all feels like too much, don’t worry, you’ll have your lonely producer, the resident skeptic, to guide you on your way, not to mention the vaguely British female voice inside your head.

When an unusual area man calls into the station asking for your help, you have to act fast. Will you trust the area man, or do your best to thwart his plans? Is there anything you can do to save the area man from himself?



Continue reading","VIVE                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index","Adventure
Casual
Narrative
Productivity","Seated
Standing","VIVE Controllers
Oculus Touch
Valve Index Controllers",13+,4/26/2022 7:12,6/6/2022 7:45,1.1.0,Game,Singleplayer,English (United States)
05144741-96a1-42dc-b636-5a4e00c88be2,The Room VR: A Dark Matter,"¥3,090","Description

Fireproof Games continue their award winning game series, The Room, with The Room VR: A Dark Matter.

The British Institute of Archaeology, London, 1908: The disappearance of an esteemed Egyptologist prompts a Police investigation into the unknown. Explore cryptic locations, examine fantastic gadgets and uncover an otherworldly discovery which blurs the line between reality and illusion. Designed from the ground up for the unique capabilities of virtual reality, players can inhabit the spine-tingling world of The Room and interact with its strange contraptions in this compelling new chapter.



Continue reading","VIVE                            


                                                                                                                                                                VIVE Cosmos                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index                            


                                                                                                Windows Mixed Reality                            


                                                                                                                                                                VIVE Cosmos Elite","Adventure
Narrative","Seated
Standing","VIVE Controllers
Oculus Touch
Windows MR Controllers
VIVE Cosmos Controllers
Valve Index Controllers",10+,7/30/2020 2:46,8/26/2020 7:00,1,Game,Singleplayer,"English (United States)











Chinese (Simplified)











Chinese (Traditional)











French (France)











German











Italian











Japanese











Korean (South Korea)











Russian











Spanish (Spain)"
458865ce-98ef-4e42-8576-0b2cda5f5b15,Song in the Smoke,"¥3,090","Description

Battle strange beasts and brave the elements to stay alive in Song in the Smoke: an expansive and mysterious VR survival game set in a world outside of time.

Song in the Smoke puts survival in your hands. Enter a dangerous world and craft weapons, make clothes, build fires, and brew potions to defend yourself against vicious predators. Block, parry, and strike back with your club, attack from distance with your bow, or use your wits to sneak past the lethal creatures that call this land their home.

The hunted also becomes the hunter. Use your senses to stalk prey in virtual reality: track their smell, follow their footprints, and plan your strike. When you’re ready, show off your skill with intuitive and responsive VR controls that let you execute the perfect shot.

Travel between wildly different environments as you follow the guidance of your ancestors, and uncover the secrets of Song in the Smoke.



Continue reading","VIVE                            


                                                                                                                                                                VIVE Cosmos                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index                            


                                                                                                Windows Mixed Reality                            


                                                                                                                                                                VIVE Cosmos Elite","Adventure
Action
Simulation",Standing,"VIVE Controllers
Oculus Touch
Windows MR Controllers
VIVE Cosmos Controllers
Valve Index Controllers",13+,12/10/2021 0:00,1/6/2022 8:27,1.5.3,Game,Singleplayer,"English (United States)











Chinese (Simplified)











French (France)











German











Italian











Japanese











Korean (South Korea)











Spanish (Spain)"
85e0279a-a9ec-4c48-a638-b6bf558c34b5,Myst,"¥3,090","Description

ABOUT THIS GAME

Welcome to Myst: a starkly beautiful island, eerily tinged with mystery and shrouded in intrigue.

Journey to Myst Island and other stunning, long dormant locations - called “Ages”- and begin to unravel the mystery you have been thrust into. As you learn what happened on the island, you will find that you are playing a key role in an epic story whose ending has not yet been written. Explore deeper connections in these stunning and surreal Ages, uncover a story of ruthless family betrayal, and make choices that will affect both you, and the world of Myst itself.

Cyan, the indie studio that created the beloved classic, has reimagined Myst.

Built from the ground up to play in VR, Myst is teeming with new art, new sound, re-imagined interactions, and even optional puzzle randomization. Finally... the highly anticipated Myst VR experience has arrived!

Now you can explore the Ages of Myst in a new dimension!

BUILT FOR VR

Designed and built from the ground up in Unreal Engine, this newly-reimagined version of Myst includes fresh takes on the visuals in every area in the game.

Experiencing this modern edition of Myst will immerse you in the world in a way that has never been possible before.

The VR experience includes both Free Roam and Teleport modes, and supports Valve Index, HTC Vive, Oculus Rift, Rift S, and Quest via Oculus Link.

Additionally, Myst includes many “comfort level” features for both new and experienced VR users, including the option to enable smooth or snap turning, quick travel up stairs and ladders, vertical height quantization, and more!

NEW AND REQUESTED FEATURES

For the first time in Myst’s history, enjoy the game in many different languages through localized UI, including dialogue and gameplay-context subtitles.
- A variety of accessibility options to assist in gameplay.
- Tired of taking notes? Now you can take photo captures in-game to keep track of what you’ve encountered!
- A large number of graphics options to choose from, such as supersampling options and Ray Tracing to bring the best Myst experience out of the hardware you have.

FREQUENTLY ASKED QUESTIONS

Q: Which VR headsets do you support?
A: Please see our “About” section for the VR headsets we support.

Q: I bought Myst when it first came out in 1993. Can I get a free upgrade to this new version?
A: Thank you for your support over the years! We are not giving out free upgrades to previous purchasers of the original Myst. We put a lot of effort into making this new version of Myst and would appreciate your financial support again!

Q: How do I launch Myst in VR?
A: You may launch Myst in VR through the VR launch options given to you when you start the game through the store platform. If you are launching through a shortcut on your computer and not through a storefront, we recommend adding the following flags to a shortcut (without quotes): “-vr -d3d11”

Q: I want to play Myst, but am concerned about my computer not meeting the minimum requirements. What should I do?
A: If your machine does not meet the minimum requirements and you still want to try Myst out, we recommend enabling one of our supersampling options through the graphics settings menu to see if it alleviates performance concerns. Depending on the storefront you purchase Myst from, you may be able to qualify for a refund through the store (not through Cyan support) if Myst does not run well on your platform. Please review each store platform refund policy for details.

Q: Will Myst support [insert language here] one day?
A: Possibly! We’d love to hear from you through our support team about any languages you’d like for us to support.



Continue reading","VIVE                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index                            


                                                                                                                                                                VIVE Cosmos Elite","Adventure
Narrative","Seated
Standing
Room-scale","VIVE Controllers
Oculus Touch
Valve Index Controllers",Everyone,8/13/2021 6:07,12/16/2021 7:11,1.7.0,Game,Singleplayer,"English (United States)











Chinese (Simplified)











French (France)











German











Italian











Japanese











Korean (South Korea)











Polish











Portuguese (Brazil)











Russian











Spanish (Latin America)











Spanish (Spain)"
2eeae35c-26e8-48cc-9138-2d586bcbc93f,Walkabout Mini Golf,"¥1,520","Description

Putt your way through beautifully designed courses, collect lost balls, challenge your friends and unlock bonus levels. Extremely realistic physics create the perfect experience for hardcore golfers and casual players alike. Mini golf has never been this fun!

8 unique 18-hole courses to master.
Unlock NIGHT MODE for more challenging versions of all courses.
Play solo, 1v1 online quick match, or create a private room with up to 5 players.
Extremely accurate physics feel just like the real thing.
Collect over 100 custom balls hidden throughout the courses.
Solve treasure hunts on each hard course to earn special putters
Supports cross-buy, cross-play, and 90hz on Quest 2
Teleport and Smooth locomotion supported, as well as the ability to fly!
Languages: English, French, Spanish, German, Japanese and Korean



Continue reading","VIVE                            


                                                                                                                                                                VIVE Cosmos                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index                            


                                                                                                Windows Mixed Reality                            


                                                                                                                                                                VIVE Cosmos Elite","Casual
Sports
Social","Seated
Standing
Room-scale","VIVE Controllers
Oculus Touch
Windows MR Controllers
VIVE Cosmos Controllers
Valve Index Controllers",Everyone,12/14/2021 8:27,5/18/2022 2:51,3,Game,"Singleplayer
Multiplayer","English (United States)











Chinese (Simplified)











French (France)











German











Japanese











Korean (South Korea)











Spanish (Latin America)"
162b2546-1aa5-45c9-8036-593f9987ae9c,Cooking Simulator VR,"¥2,570","Description

Become the ultimate chef! Take control of a highly polished, realistic kitchen equipped with all kinds of utensils and stands. Unlock and master over 80 recipes or use dozens of lifelike ingredients to cook everything you like. A simulator spiced up with a dash of real-life physics!

Key Features:

    Career and Sandbox modes
    80+ recipes
    140+ lifelike ingredients
    Perks and skills to unlock
    Advanced cooking mechanics
    Realistic physics




Your kitchen’s got all the gear a chef might need. Griddles, cookers, gas stands, ovens and tons of utensils like pots, pans, plates, knives, spatulas and blenders! On top of that there are over 140 ingredients available in the pantry: meat and fish, fruit and veggies, dairy products and various liquids. There’s also a full set of spices and herbs for adding that extra flavour!



Lifelike cooking experience! All the ingredients respond to your actions by changing temperature, appearance and taste. Every time you’re slicing potatoes, flipping steaks or boiling a soup, there are some real-life physics applied to it. Once you learn the cooking mechanics and start serving dishes, you’ll see yourself becoming a better chef with every new plate on the checkout.



Career mode is a culinary journey zero-to-hero style and your task is to gain fame for you and your restaurant. You’ll start from the basics and progressively unlock new more complex dishes and start serving more customers as your fame and experience grow. Once you master the recipes and workflow, you’ll be able to unlock various perks and skills.



However, if you’re not interested in playing by the rules, you’re going to love the Sandbox mode. Access all the recipes and ingredients and prepare whatever you like without any pressure. You don’t even have to cook anything! Game physics gives you unlimited opportunities. Throw knives like darts, set up cutting boards like dominoes, set the whole kitchen on fire, blow up the oven and save the day using a fire extinguisher!



Continue reading","VIVE                            


                                                                                                                                                                VIVE Cosmos                            


                                                                                                                                                                VIVE Pro                            


                                                                                                                                Oculus Rift                            


                                                                                                                                Oculus Rift S / Quest + Link                            


                                                                Valve Index                            


                                                                                                Windows Mixed Reality","Casual
Simulation
Education","Seated
Standing
Room-scale","VIVE Controllers
VIVE Tracker
Oculus Touch
Windows MR Controllers
VIVE Cosmos Controllers
Valve Index Controllers",Everyone,10/7/2021 11:35,11/16/2021 3:58,1.07,Game,Singleplayer,"English (United States)











Chinese (Simplified)











French (France)











German











Italian











Japanese











Korean (South Korea)











Polish











Portuguese (Brazil)











Russian











Spanish (Spain)











Turkish"
