Game_Id,Game_Name,Game_price,Game_Modes,Game_PlayerModes,Game_Controllers,Game_Platforms,Category,Game_Genres,Game_Languages,Game_Version,Game_Developer,Game_Publisher,Game_Website,Game_ReleaseDate,Game_Policy,Game_Space
4220006248051477,Warhammer Age of Sigmar: Tempestfall,"JP¥2,490",单人,坐式、立式,Oculus Touch,Quest 2,游戏,动作、冒险、探索,英语,0.23(LIVE),Carbon Studio,Carbon Studio,https://tempestfall.com/,2022年5月20日,隐私权政策,7.8 GB
4988470131168299,Little Cities,"JP¥2,208",单人,坐式、立式、游戏区移动,Oculus Touch,Quest、Quest 2,游戏,模拟、休闲,德语、日语、法语（法国）、英语、西班牙语（西班牙）、韩语,1.0,Purple Yonder,nDreams,https://ndreams.com/games/little-cities,2022年5月13日,隐私权政策,服务条款
2821509184606966,AREA MAN LIVES,"JP¥2,208",单人,坐式、立式,Oculus Touch,Quest、Quest 2,游戏,故事、益智,英语,1.0.32,Numinous Games,Cyan Ventures /  CityLights ,http://areamanlives.com/,2022年5月13日,隐私权政策,537 MB
3890197214406211,BlazeRush: Star Track,"JP¥1,490",单人、多人,坐式、立式,Touch（作游戏手柄使用）,Quest、Quest 2,游戏,动作、街机、竞速,俄语、英语,1.0.262,Targem Games,Gaijin Distribution Kft,http://blazerush.com/,2022年5月13日,隐私权政策,服务条款
4046879905345967,Cities: VR,"JP¥2,990",单人,坐式、游戏区移动、立式,Oculus Touch,Quest 2,游戏,模拟,德语、日语、法语（法国）、英语、英语（美国）、西班牙语（哥伦比亚）、西班牙语（墨西哥）、西班牙语（委内瑞拉）、西班牙语（智利）、西班牙语（波多黎各）、西班牙语（秘鲁）、西班牙语（阿根廷）、韩语,1.00.240,Fast Travel Games AB,Fast Travel Games,https://fasttravelgames.com/,2022年4月29日,隐私权政策,3.2 GB
5230505793640167,Cities: VR,"JP¥2,990",单人,坐式、游戏区移动、立式,Oculus Touch,Quest 2,游戏,模拟,德语、日语、法语（法国）、英语、英语（美国）、西班牙语（哥伦比亚）、西班牙语（墨西哥）、西班牙语（委内瑞拉）、西班牙语（智利）、西班牙语（波多黎各）、西班牙语（秘鲁）、西班牙语（阿根廷）、韩语,1.00.240,Fast Travel Games AB,Fast Travel Games,https://fasttravelgames.com/,2022年4月29日,隐私权政策,3.2 GB
3106117596158066,Painting VR,"JP¥2,208",单人,游戏区移动,Oculus Touch,Quest、Quest 2,游戏,教育、效率、艺术/创意,英语,.651,Oisoi Studio,Oisoi Studio,https://paintingvr.xyz/,2022年4月15日,隐私权政策,393 MB
3815577785147028,Green Hell VR,"JP¥2,990",单人,坐式、立式、游戏区移动,Oculus Touch,Quest 2,游戏,冒险、模拟、探索,中文（香港）、中文（简体）、德语、意大利语、捷克语、日语、法语（法国）、波兰语、英语、葡萄牙语（葡萄牙）、西班牙语（西班牙）、韩语,1.0.136,Incuvo S.A.,Incuvo S.A.,https://greenhellvr.com/,2022年4月8日,隐私权政策,服务条款
5437449896288644,iB Cricket,"JP¥2,990",单人、多人,立式、游戏区移动,Oculus Touch,Quest 2,游戏,模拟、体育、休闲,英语,4.2.0,ProYuga Advanced Technologies Limited,ProYuga Advanced Technologies Limited,https://ib.cricket/,2022年4月8日,隐私权政策,服务条款
3158342884265828,Liminal ,下载,单人,坐式、立式、游戏区移动,Oculus Touch,Quest、Quest 2,应用,360 度全景体验（非游戏）、放松/冥想、休闲,英语,2.8.45,Liminal VR,Liminal VR,https://api.liminalvr.com/,2022年4月8日,隐私权政策,服务条款
5077315605654672,Liminal ,下载,单人,坐式、立式、游戏区移动,Oculus Touch,Quest、Quest 2,应用,360 度全景体验（非游戏）、放松/冥想、休闲,英语,2.8.45,Liminal VR,Liminal VR,https://api.liminalvr.com/,2022年4月8日,隐私权政策,服务条款
4554248281328321,Cosmonious High,"JP¥2,990",单人,坐式、立式、游戏区移动,Oculus Touch,Quest 2,游戏,故事、冒险、太空/宇宙,德语、日语、法语（法国）、英语、西班牙语（西班牙）、韩语,26294,Owlchemy Labs,Owlchemy Labs,https://cosmonioushigh.com/,2022年4月1日,隐私权政策,服务条款
2280319701979278,Arkio,下载,单人、多人、多人合作,坐式、立式、游戏区移动,Oculus Touch、手势追踪,Quest、Quest 2,应用,工具、效率、艺术/创意,英语,1.2.2(LIVE),Arkio,Arkio,https://www.arkio.is/,2022年4月1日,隐私权政策,服务条款
5334662579895130,On The Morning You Wake (To the End of The World),下载,单人,立式、游戏区移动,Oculus Touch,Quest 2,娱乐,360 度全景体验（非游戏）、故事、纪录片与历史,德语、挪威语（巴克莫挪威语）、法语（法国）、英语,1.04(LIVE),"Novelab, Atlas V",ARTE France,https://www.onthemorningyouwake.com/,2022年3月25日,隐私权政策,8.3 GB
4900967296622279,Vermillion,"JP¥2,208",单人,坐式、立式,Oculus Touch,Quest 2,游戏,模拟、艺术/创意,英语,1.0.7(LIVE),Thomas van den Berge,The Aviary,https://vermillion-vr.com/,2022年3月25日,隐私权政策,服务条款
3967680489996895,Tentacular,"JP¥2,490",单人,坐式、立式、游戏区移动,Oculus Touch,Quest、Quest 2,游戏,动作、冒险、休闲,中文（台湾）、中文（香港）、中文（简体）、俄语、德语、日语、法语（法国）、英语、葡萄牙语（巴西）、西班牙语（西班牙）、韩语,1.0222,Firepunchd Games,Devolver Digital,http://tentacular.com/,2022年3月25日,隐私权政策,服务条款
2302319493201737,The Tale of Onogoro,"JP¥2,990",单人,坐式、立式,Oculus Touch,Quest、Quest 2,游戏,动作、冒险、益智,德语、日语、法语（法国）、英语、西班牙语（西班牙）、韩语,1.1.0045,AMATA K.K.,AMATA K.K.,https://onogoro.info/,2022年3月18日,隐私权政策,8.9 GB
3671539682885620,Startenders,"JP¥1,490",单人,游戏区移动、立式、坐式,Oculus Touch、手势追踪,Quest、Quest 2,游戏,街机、太空/宇宙、休闲,英语,1.4.4762_07a906671,Foggy Box Games,Yogscast LTD,https://www.joinstartenders.com/,2022年3月18日,隐私权政策,服务条款
6937410016334124,Alvo,"JP¥2,490",多人、多人合作,坐式、立式,Oculus Touch,Quest 2,游戏,射击,英语,0.18,Mardonpol Inc,OutsideIn Entertainment,https://alvogame.com/,2022年3月18日,隐私权政策,服务条款
5157404804284116,Nock,JP¥990,多人,立式、坐式、游戏区移动,Oculus Touch,Quest 2,游戏,体育,英语,1.2.0,Normal,Normal,https://nock.game/,2022年3月11日,隐私权政策,服务条款
2374555582668563,《搭便车者》——一款解谜游戏,"JP¥2,208",单人,坐式,Oculus Touch,Quest 2,游戏,故事,中文（香港）、中文（简体）、俄语、土耳其语、德语、意大利语、日语、法语（法国）、波兰语、英语、英语（美国）、荷兰语、葡萄牙语（巴西）、西班牙语（西班牙）、阿拉伯语、韩语,1.0.94,Mad About Pandas,Versus Evil,https://hitchhiker-game.com/,2022年3月11日,隐私权政策,服务条款
4705981139481778,Virtuoso,"JP¥2,208",单人,坐式、立式、游戏区移动,Oculus Touch,Quest、Quest 2,应用,休闲、艺术/创意、音乐,英语,1.0.1,Really Interactive AB,Fast Travel Games AB,https://fasttravelgames.com/games/virtuoso,2022年3月11日,隐私权政策,235 MB
1968697563211639,Vox Machinae,"JP¥2,990",单人、多人、多人合作,坐式、立式,Oculus Touch,Quest 2,游戏,动作、故事、模拟,英语,1.0.4 release - Quest,Space Bullet Dynamics Corporation,Space Bullet Dynamics Corporation,http://voxmachinae.com/,2022年3月4日,隐私权政策,5.0 GB
2465388190184288,MarineVerse Cup,"JP¥2,208",单人、多人、多人合作,坐式、立式、游戏区移动,Oculus Touch、Touch（作游戏手柄使用）,Quest、Quest 2,游戏,放松/冥想、模拟、体育,英语,0.606(LIVE),MarineVerse,MarineVerse,https://www.marineverse.com/marineverse-cup,2022年2月25日,隐私权政策,服务条款
